Tab,  Sheshí 
Thought , Yekpa 
 Thought, (expect) Yegan; Eye gan 
Thousand,  Kpotsun 
Thrash (flog)  ,Wulu
  Thrash (grain) , Tsu; Tsuyi 
Thrash out , Gunmikpango
 Thread  ,Lulugi; Lulu  
Thread ,  Fu
 Threat,  Basakun 
Threaten,  Nabasakun; Na basakun 
Three  ,Guta 
Three ,pence  Tóró 
  
Thresh  ,Tsu 
Thresher,  Kantsu
 Threshing floor , Finzo  
Threshold , Zògò
 Thrill  ,Jin dodonyi 
Thrill  ,Dodogi 
Thriller  ,Dodoci
 Throat,  Robo
 Throb , Jin bibinyi 
 Throne , Ebe  
Throng , Kupa
 Throng  ,Epaku 
Thronging  ,Kukupa 
Through , Tarú  
Throw , Ce 
Throw away , Ce ya
 Throw up  ,Jin mazuwa 
Thud  ,Bàmbà 
Thumb  ,Gingiṇniko 
Thumbprint  ,Tungwa 
Thump , Danko 
Thunder  ,Sa kparà 
Thunder  ,Kparà; Kparàsa 
Thunderbolt  ,Egba
 Thunderclap  ,Tsawa; Tsawa sama
 Thunderstroke  ,Sayi 
Thunderstruck , Wan sayi 
Thursday , Fontsuṇ; Efo tsuṇci  
Thus ,Áníngá  
Thyself ,Wotso; Otso 
Tick (flea)  ,Kótì 
Tick (cattle) , Gbiṇgbiaṇia 
Tick (deer),  Kopá 
Tick (sound) , Ti kenkennyi 
Ticket,  Labagi 
Tickle,  Mu shiaria   
Tidy  ,Tadzu
 Tidiness , Edzuta 
Tidings  ,Rúba  
Tie  Pa Tie (ends)  ,Fíṇ  
Tie (knot)  ,Kpigi 
Tie (necktie)  ,Ekpako; Èdě kpako 
Tiger nut , Efá 
Tight , Gbáṇnyi  
Tightfisted  ,Bagwa 
Tighten  ,Gice 
Tilapia , Tsokungi 
Tile  ,Giamạ 
Till ,Tunka; Tun eka  
Till,  Dùṇnu
 Tillage  ,Nudùṇ 
Tilt  ,Zheka 
Timber  ,Cínwâ 
Time , Èká; Kámi 
Time fix  ,Daka; Da ’ka 
 Time on , Dada
 Timely,  Kpesa
 Timid  ,Yesoci; Eyesoci 
Timid  ,Soye 
Timidity  ,Yeso; Eyeso 
Tin , Kpánù 
Tinder , Tamu
 Tingle  ,Fukiariangi 
Tingle , Kiariangi
 Tiny  ,Fiakangi
 Tiny , Cáriàgǐ 
Tip , Etigi 
 Tip  ,Zhegba 
Tiptoe  ,Din piampia
 Tire (tyre) , Karangba 
  
Tired,   Bo 
Tiredness , Ebo 
Tissue , Bògi 
Titanic,  Gbagalasa 
 Titillate , Fwa 
Title  ,Tíci 
 Title-holder,  Tícigíci 
To ,Ya; Nyi 
Toad  ,Tankpolo  
Toadstool  ,Munu tànkpóló
 Toady  ,Jin fadanci
 Toadying , Fadanci 
To and fro , Elo be ezhin i 
Tobacco , Tábà  
Tobacco flower , Fure 
Tobacco leaf , Sankara 
Tobacco pipe,  Èfà 
Today,  Nyina  
Toe  ,Tintigi 
Toe big , Tintiko 
Toe nail  ,Vùndùṇnù tintigi 
Together ,Gani Gangani  
Toilet  ,Shikpata
 Tolerate  ,Go; Go…wo 
Tomahawk , Gbakun
 Tomato , Bonro; Bonrwarwa
 Tomb,  Gbìngò  
Tome  ,Tadanreshi 
Tomorrow,  Èsuṇ  
Tom-tom , Tsari  
Toner , Zafaran 
Tongs,  Emuko 
 Tongue  ,Gintara  
Tongue-tied  ,Kadikadi 
Tonic , Ègbo
 Tonsure,  Kpìkpì 
Too , Mạ 
Too much ,Gangan
 Tooth  ,Nyika 
Toothpick  ,Gonginni 
Top , Kpěshè  
Top (cover) ,Kpegi 
Topsoil , Nyạkán 
Torah  ,Ataura 
Torch,  Nạvùṇ 
Torment , Gun fani 
Torment , Fani 
Torrid , Nyanyanyanyi 
Tortoise , Nyanda
  Tortoise (a type)  ,Kúkpáká 
Tortoise (land one) , Dùkú 
Tortoise (musk tortoise) , Nyálà 
Torture,  Pena 
Torture , Nape
 Toss (in sleep) , Sagara  
Total,  Gangari 
Touch ,To; Togwa
 Tough (substance)  ,Gbǎdi 
Tough(hardy person) , Guzunma
 Towel , Taweli 
Tower , Kakogá; Kata kogá 
Towering,  Dododo 
Town , Ezhì 
Toxin , Nạncé 
 Trace  ,Gba 
Trachea , Èshǎ  
Track , Ènǔ 
Track (pursue)  ,Fekpe 
 Trade , Cewo  
Trade  ,Woce 
Trader , Wocececi 
Tradition , Kùnnú 
  
Traffic , Rongípá 
Traffic,  Párongí 
Tragacanth , Nyici kuso 
Trail , Lamikpe 
Trail  ,Enu 
Train , Eyakin 
Train  ,Tǎ
 Trainee,  Zatǎ 
Trainer,  Tǎci
 Training,  Ètǎ 
Traitor,  Ṃàṇà 
Tramp , Èko 
Trample  ,Pabici 
Tranquil,  Bàfè 
Transact,  Zhegwa 
Transaction  ,Gwazhe 
Transfer,  Yishì
 Transform,  Shido 
Transgression , Yevungan 
Transient , Finye
 Translate , Gogan 
Translation , Gugogan 
Translator,  Goganci 
Transplan,t  Mushi 
Transmit  ,Yatsùṇ
 Transport , Zunkpan 
Transport , Kpanzun; Ekpanzun 
Transportation,  Zunzunkpan 
Transvestite,  Kóndó 
Tranquil  ,Gupi 
Trap  ,Tangi 
Trap (a type for fishing),  Zhini; Ezhin 
Trap (a type for fishing) , Lèkpe 
Trap set , Tso tangi  
Trappings  ,Yayisa 
Trash,  Tutu 
Trauma , Tìntáṇ; Etìn ètáṇ 
Travel,  Dalèngi; da lèngi 
Travel,  Lèngi  
Traveler  ,Lèngidaci 
Traverse ,Zuntu 
Trawl  ,Magbe 
Trawler  ,Gbemaci 
Trawl net , Ědân 
Tray  ,Votia; Evotia 
Treachery , Zamba
  Tread , Nibo 
Tread,  Eboni 
Treasurer  ,Zadzufan 
Treasury  ,Kata dukiya 
Treat (extra) , Ekan 
Tree,  Cigban  
Tree of life  ,Aduruku 
Tree ants , Minimini 
Tree trunk , Cigbanshin 
Tremendous,  Cirigi 
Tremble  ,Kùn 
Tremble(old age) , Jigbe
 Trembling , Jigbejigbe 
Tremoring , Kpelekpelegi 
Trench  ,Kporo 
Trespass , Gbintu 
Tribal mark , Eyesa; Eye sa 
Tribal mark have  ,Saye; Sa eye 
Tribal mark (the two on the face type) , Gbangúbà
 Tribe , Zhimi; Ezhimi 
Tribesman , Zhimici 
Tributary(river) , Èdo
 Tribute ,Tsàkpà 
Trick , Lòndzǒ 
  
Trick  ,Lòndzǒgi 
Trickle  ,Mishi 
Trickle  ,Mishigi 
Trifling , Tsagitsagi 
Trigger , Dèděngi; Didingi 
Trillion  ,Wótáwúrú 
Trillionaire,  Zàwótáwúrú 
Trim , Twá 
Trim (plants) , Ma; Ma ya  
Trim Tia ,Trimmings  Shiaraba 
Trinclets ,Tsanganagi; Sanganagi 
Trip (stumble) , Cin bici 
Tripe , Desakuna; Èdě sakun ena
 Triplet , Bàntá 
Triturate , Go ruku 
Triumph  ,Jin nasara 
Triumph  ,Nasarajin 
 Trivial, Gobogoda
 Tropic  ,Gogo 
Tropical  ,Gogogonyi 
Trot  ,Sakonya 
Trot , Konyasa
 Trouble,  Emusun 
Trouble , Sunmu 
Troublemaker, Emusunci 
Troublemaking,  Musunwa 
Troublesome , Musunkan 
Trough , Ekpan 
Trousers  ,Tsaka; Tsanka 
Trousers put on , Dạn tsaka 
 True , Gàṇmǎṇá  
Truancy , Nạngǎ 
Truant,  Kpanka 
Truck , Gongoro 
Truly , Maso 
Trumpet  ,Shìmù  
Trumpet (wooden)  ,Pampami 
Trunk , Gbòkò
 Trunk (box) , Kunkuru 
Trunk (elephant) , Elo; Elo tukpa 
Trunk (tree)  ,Cigbanshin 
Trunkfish , Dogbo 
Truss , Cekpasa 
Truss , Jěngi 
Trust  ,Kpemà 
Trust  ,Èmàkpe
 Trust (fund),  Dashi 
Truth  ,Mǎṇá  
Try  ,Lǔ 
Trying , Lúlǔ 
Tsetse fly,  Efě
 Tuareg , Buzu 
Tub , Buru 
Tubby , Banga
 Tube , Gbangunu; Ewa 
Tuber  ,Èfǐn 
Tuberculosis  ,Kpiankiáriá; Kpiankiáriági 
Tuck in , Kafi 
Tuesday , Fontá; Efo táci; Tàlǎtà  
Tuft , Ganawasa 
Tug , Godin
 Tulip tree  ,Dagba pamboci 
Tune,  Dáwà 
 Turban  ,Tswàfa 
 Turkey , Ezûṇ  
Tumble,  Gbězhé 
Turbulent , Gbôlo 
Turmeric,  Turi 
Turn  ,Zhe  
Turn, aside  Sa; Sakasan  
  
Turn around , Zheye 
Turn back  ,Kezhe  
Turn (on side)  ,Zhekasan 
Turnover  ,Zhèkpe 
 Turnover  ,Zhizhèkpe 
Turnip  ,Banfya 
Turquoise  ,Dongoro
 Turtle , Tatà 
Turtle (large one),  Yǎyi 
Turtle dove , Lùkóbǒkùṇgi 
Tusk , Nyikan dagba
 Tusk (boar),  Gara gbakun 
Tutor  ,Danyewu; Danye wu 
Tutor , Nwu 
Tuyere  ,Ewa 
Tweak , Ko vundunnu
 Twelve hundred , Kpotswanyi 
Twelve thousand  ,Gbotswanyi 
Twenty  ,Eshi
 Twenty thousand   ,Gura 
Twig  ,Diariagi 
Twin , Èbà; Èbàkombà; Bàkonbàgi 
Twine  ,Tsàkpà 
Twinkling,  Yeba 
Twinlet , Èpò 
Twins  ,Ebazhi; Bakombagizhi  
Twist  ,Tswani
 Twitch  ,Jin kokonyi 
Twitch the nose,  Sheye
 Two  ,Gúbà
 Two hundred  ,Kpákó 
Two thousand ,  Gbǎ
 Type , Kpia 
Type  ,Beyî  
Type (Printing press) , Beyigi 
Type , Zhe beyi 
Tyrannize , Jin zwalunci 
 Tyranny , Zwalunci 
Tyrant,  Azwalumi 
Tyre (tire) , Kònkárá   
  
Ubiquitous , Febandondo 
U-boat,  Eya-
Udder,  Bena; Ebe ena 
UFO , UFO 
Uganda  ,Yuganda 
Ugly , Biye 
Ulama , Ulamahu 
Ulcer  ,Egbò 
Ulterior,  Cetsozhi 
Ulterior motive  ,Keri cetsozhi
 Ultima , Wogbori 
Ultimate , Marika
 Ultimatum,  Wogboka
 Ultra , Zhunkpan; Zhun ekpan
 Ultraviolet  ,Jecizhunkpan 
Ululate , Kpawulele 
Ululation , Wulele 
Umbilicus  ,Kopú 
Umbrella,  Kàtà 
 Umbrella tree,  Cigban kata 
Umrah  ,Umura 
Unable ,Jinwo a
 Unalike , Tinyi 
Unanimous  ,Gbanni; Egban nni 
Unarmed  ,Gwabara; Egwabara 
Uncertainty  ,Tantama 
Uncertain , Jin tantama
 Uncircumcised  ,Ebadunci 
Uncle (paternal)  ,Ndǎgi  
Uncle (maternal),  Nṃà  
Uncomfortable,   Haha 
Uncooked , Mimì  
Uncountable ,Kungba 
Uncover,  Kpeya  
Uncovered,  Daka 
Unctuous , Tswanyi 
Under , Tako 
 Undercooked  , Ci  
Undercooked (very) , Kpúkúrù
 Undercover , Kperedan 
Undercurrent  ,Jetako; Ejetako 
Underdeveloped  ,Yelokpegba 
Underdog , Zagbagi 
Underestimate  ,Gbakunkunshi 
Undergird , Nindangba 
Undergo,  Wo kaliko
 Undergraduate  ,Katuncingbagi 
Underground , Kindanci 
Underline  ,Suntako 
Underling , Takoregi 
Undermine  ,Dinkujafo
 Underneath  , Betakori
 Underprivileged  ,Zagwagbagi 
Underrate , Gbamilo 
Undersecretary  ,Gitunbagbagi
 Undersized,  Gbàgbǎ 
Undersized (clothing)  ,Dzankpegi
 Underskate , Tòbǐgi
 Understand  ,Kpékò 
Understanding , Kokpe 
Undertake,  Zhe goro 
Undertaker,  Ndǎgòrò 
Undertaking,  Gorozhe 
Underwear , Janbi 
Underworld,  Yizhetako
 Underwrite  ,Katako 
Underwriter  ,Takokaci 
Undo , Jinzhi
 Undress,  Zhiwo 
Undue,  Zhilaki; Zhi alaki 
  
Unearth , Kpekpa; Kpe nyankpa 
Unemployed,  Zhitundan 
Unemployment,  Tundanzhi 
Unending , Zhizuzo 
Unenvious  ,Zhinyanyạgbàṇla
 Unequal , Zhilo 
Unfair,  Zhidede 
Unfaithful , Zhiyiyakpe 
Unfamiliar , Zhiyedakpe
 Unfeeling  ,Tiawunyi 
Unfilled,  Gbele  
Unfold  ,Zhikpe
 Unfortunate,  Wóbi 
Unfruitful , Eshe 
Ungainly,  Kpání 
 Ungrateful person , Manaawoci
 Unguarded , Zhihankalijin 
Unhappiness,  Ninmazhi 
Unhappy  ,Zhininma 
Unharmed,  Zhigunnyi 
Unhealthiness , Rashi 
Unhealthy , Jin rashi 
Unification , Nnirigun
 Unicorn , Panlili
 Uniform  ,Yegenni; Yege nni
 Unify,  Gunniri; Gun nniri 
Unilateral,  Kasanrinni 
Unimaginable , Zhizasanye 
Uninhabited,  Fonyi 
Unintelligible  ,Barara 
Union  ,Tígúṇkàn 
Union Jack  ,Jákǐ tígúṇkàn 
Unipolar,  Micinginni
 Unique,  Wurieni 
Unit , Nyamâ 
Unitarian,  Migungici 
Unitary , Migungi
 Unite , Gúṇmi 
United,  Migunci
 United Kingdom  ,Kintsu Migunci
 United States of America  ,Kinmishi Miguncizhi nya Àmerikà 
Uninteresting , Fáká 
Unity  ,Emigúṇ  
Universal , Gizhici 
Universe  ,Gizhi 
University , Gizhigi 
Unkempt , Dzugu 
Unknowing  ,Kpikpezhinyi 
Unknown , Zhikpikpe 
Unknown Soldier , Egunci Zhikpikpe
 Unlawful,  Zhiganmigi 
Unless, Aface  
Unlettered , Bekizhici 
Unlike , Kawa 
Unlikely , Kawanyi 
Unnecessary  ,Zhitintin 
Unprotected,  Kpésá 
Unravel  ,Wàyé  
Unripe  ,Tsuntsunnu Unruliness  Libi Eli bi 
Unruly,  Bili 
Unseal,  Gǔya
 Unsettled , Kpeji
 Unskilled , Kòtìkòtǐ
 Unstable , Mama 
Unsteadily ,Jijinyi 
Untenanted  ,Kagaruwa 
Untidy ,  Fúlá 
  
Untie  ,Lo  
Until , Dati  
Untrue , Bija 
Unwashed , Kashi
 Unwieldy  ,Gbanga 
Unyielding  Tambo Up ,Fiti 
 Upbraid , Nawunfi  
Update,  Jiba
 Upright  ,Wara
 Uproar,  Kasun 
Uproot , Mu
 Upset (anger),  Litsa 
Upset (turn upside down) ,Zhekpe  
Uptown , Nfiti; Ezhifiti 
Uranium , Kófìṇgi 
Uranus  Kófìṇ; Sòkófìṇ; Yurenusi
 Urchin  Eji 
Urethritis,  Gibagiba 
Urgent,  Kpêkpè 
Urinate ,  Urine   
USA  USA 
Use , Lò 
Use , Lulò  
Used coal ,Nango 
Used to   Dáyé 
 Useless , Sakpa  
Usual , Dáyé
  Usury,  Shiàshià
 Uterus , Borowan 
Utilize  ,Wanshi 
Utmost  ,Gaya
 Utter (say) , Cinmi 
Utter  ,Piti 
Utterly ,Pitinyi
 Uttermost , Iyaka  
 
 
 
 
 
 
 
  
  
V Vacate,  Kpé 
Vacate (deserted) ,Ya vunla 
Vacant ,Vunla 
Vacancy  ,Eba 
Vacation  ,Vunlaya
 Vaccillate , Banlobanzhin; Banlo banzhin
 Vaccinate,  Lu ginnnanko 
Vaccination  ,Ginninankolu 
Vaccine , Ginninanko; Ginni Nanko
 Vacuous,  Boro
 Vacuum,  Vunlakpan 
Vagabond  ,Zakanzalugi 
Vagina , Dzukò 
Vagrant , Rogbo 
Vague , Zhini 
Vain , Felanla 
Vainglorious , Safasakun 
Vainglory , Fasakun 
Valentine,  Valentanyin 
Valentine’s Day,  Efo Valentanyin
 Valet , Facigitsu; Faci gitsu 
Valid , Kowu; Ko ewu 
Valley  ,Kpankoro  
Valour  ,Gbowu; Gbo ewu 
Valuable Nyakunci
 Value  Dạn kuṇkuṇ
 Value , Kuṇkuṇdạn
 Valve  ,Fiṇnikpere; Fiṇni kpere  
Vampire  ,Gagianci; Ega egiaci 
Vandal  ,Nyawûyá 
Vandalize  ,Wûyá 
Vanguard  ,Gabatswa 
Vanish  ,Gbinye 
Vanity , Ègbe 
Vanquish , Giti 
Vantage  ,Dzoko; Edzo ko 
Vapid  T,oba Vapour  Ruvu 
Varenda  ,Diàdià 
Variegated , Kawa
 Variety,  Kagunkagun
 Various ,Kagungi 
Vary , Kagun 
Vase , Vobo; Evobo
 Vaseline , Vasilin 
Vassal  ,Wufa; Wuzhifaci; Wuzhi faci 
Vast  ,Bara 
Vat,  Batako 
Vatican  ,Vatikan 
Vatican City,  Banin Vatikan
 Vault , Katagipan
 Vaunt  ,Wúyéyè 
Vaunting  ,Yéyèwú 
Vector , Elagi 
Veer , Viaya 
Vegan  ,Eniangici 
Vegetable  ,Enian
 Vegetable oil  ,Emi enian 
Vegetation,  Eniangi 
Vehement  ,Koradza 
Vehicle , Ekiá 
Veil,  Kanye 
Veil , Enyayekan
 Veil (women)  ,Edetikpe
 Vein , Ejî  
Velocity  ,Vianyike; Vianyi ke 
Velvet (trade velvet)  ,Gbạnmạ 
  
Velvet , Luwagi 
Velvety , Luwagi luwagi 
Vendetta , Wunào; Ewun kpalo 
Vendor,  Kunyaci 
Veneer , Keliangi
 Venerable , Gorozo 
Venerate  ,Gibo 
Veneration  ,Ebogi 
Venereal disease,  Gbòdòngǐ 
Vengeance  ,Gunga 
Vengeful , Gagun 
Vent  ,Kofe 
Ventilate  ,Kofeya 
Ventilation , Fekoya; Efekoya
 Ventilator , Fekoyaci 
Ventricle , Gbakogi
 Ventriculus  ,Doncigi
 Ventriloquism , Gbakoswa 
Ventriloquiz , Swagbako 
Ventriloquy,  Gbakoswagi 
Venture  ,Zhiacin 
Venue , Gaba 
Verandah,  Diádiá 
 Veracity  ,Tutuntu
 Verb , Ganke
 Verbal  ,Gankegi 
Verbatim  ,Gankeci
 Verdict  ,Gangba 
Verge  ,Gunti
 Verification  ,Tashiruwa
 Verify  ,Watashiru
 Verily  ,Akika 
Vermilion  ,Nawun 
Vermin,  Kwaniagi 
Vernacula,r  Mangikinci; Mangi kinci 
Versatile  ,Nugbazheci; Nugba zheci 
Verse  ,Aya 
Version  ,Nugbazhegi
 Versus , Zhepan
 Vertebra  ,Tsukunzhe 
Vertebrate , Natsukunzhe; Ena tsukunzhe 
Vertex,  Patanti 
Vertical,  Vinyi 
Vertigo,  Eyizhi 
Very , Sáráṇyí 
Very , Gaya 
 Very (large)  ,Buduyi 
Vesicle , Kónuwạṇgi 
Vessel  ,Papa 
Vest  ,Tufuwo; Tufuwa ewo
 Vestige  ,Gbǐgì 
Veteran , Kurucalia
 Veterinary , Nankuku; Ena kuku 
Veto , Milakan 
Vex , Gasun  
Via ,Bekpa…e 
Viable  ,Fenawo 
Vial , Bodangi
 Vibe,  Kunsangi 
Vibrate , Sankun; Sansan kun 
Vibration  ,Kunsan 
Vibrator , Kunsanci 
Vicar  ,Gosuntan; Gosun etan 
Vicarious , Gosuntangi
 Vice , Tsaliyi 
Vice ,Gòsuṇbá; Gòsuṇ ebá 
Vice admiral , Amiru gosunba 
Vice chairman , Ndasako gosunba 
  
Vice chancellor  ,Mubarici gosunba 
Vice consul  ,Dadangi gosunba 
Vice deputy  ,Tuntungi gosunba 
Vice president , Egboshici gosunba
 Viceroy  ,Tsugosun
 Vice versa , Gosunba zhebodi 
Vicinity  ,Zhilegun
 Vicious  ,Gwongwonyi
 Vicious circle  ,Kuru gwongwonyi
 Vicissitudes  ,Gosungosun 
Victim  ,Nabala; Ena ebala
 Victimisize , Zhe nabala 
Victor,  Nasaradeci
 Victorious,  De nasara 
Victory  ,Ènyàgi 
 Victory gain,  Gi nasara 
 Video , Cinlegi 
Videotape  ,Karagi-cinlegi 
Vie,  Shemba; She mba 
View  ,Goye
 View , Yego 
Viewer  ,Yegoci 
Viewing , Yego
 Vigil  ,Kafegi
 Vigilance  ,Feka 
Vigilant  ,Kafe 
Vigour,  Nashe 
Vigourous , Nashe
 Vile , Kpwaye 
Vilification,  Nyinyiti 
Vilify  ,Nyinti 
Villa,  Zhiga 
Village,  Latí; Ezhìgi 
Village head , Tsunyankpa 
Villager,  Latíci 
 Villain , Shègùṇ 
Vindicate,  Boyega 
Vindication  ,Yeboga 
Vindictive  ,Yebogagi 
Vine , Enú  
Vinegar  ,Yìsábákági 
Vineyard , Zhempanu; Zhempa enu 
Violate  ,Nyirapan 
Violation  ,Rapannyi 
Violence , Ewùṇpáṇ; Wùṇpáṇ 
Violent , Pánwùṇ  
Violet , Jeci 
Violin  ,Gboge  
Violin play , Gbo gboge 
Viper,  Gbeji; Gbejigi 
Virgin , Nyǐkó 
Virginity to lose , Dande; Dan èdě 
Viridian,  Korina
 Virtual , Bakangi 
Virtue  ,Bakan; Eba kan 
Virtuous , Banyigan; Bagi nyiganci 
Virus  ,Cerenu; Cere Nuwan
 Viscous , Lentsa 
Visa  ,Nyaleye; Enya leye 
Viscera  ,Epá 
Visceral  ,Pángi 
Viscous  ,Litekan 
Viscosity  ,Tekanli 
Visible , Luye 
Visibility , Yelu 
Vision , Yébà 
Visionary,  Yébàci 
  
Visit , Dábǎ 
 Visit , Ebǎdá 
Visitation (epidemic) ,Efu
 Visitor  ,Wuwaloci; Wuwabeci  
Visual , Yegagi 
Visualize  ,Jin yegagi 
Vital,  Luna 
Vitamin,  Aminilina; Aminili ena 
Vituperate  ,Dan 
Viva!, Rayi kpalo! 
Vivacious , Sherayikpa 
Vivacity,  Rayikpashe 
Vivid , Fena; Fe ena 
Vizier,  Waziri 
Vocabulary,  Nyagan 
Vocal,  Nubere 
Vocation,  Kasagi 
Vogue,  Paro 
Voice,  Bèrè 
Void  ,Funá 
Void  ,Kondu 
Volatile , Funa 
Volcano  ,Patina; Pati ena
 Volley , Yefu 
Volleyball  ,Suṇgiyefu; Esuṇgiyefu
 Volt , Vólútì 
Voltage  ,Vólútìgi 
Volume (book),  Kitabu  
Volume (sound) ,Gùṇwo; Egùṇwo 
Voluntary  ,Wake; Ewa eke 
Volunteer , Wakeci 
Voluptuary,  Kùncagi 
Voluptuous , Bebegun 
Vomit  Tun; ,Yi kpwàrwǎ 
Vomitus,  Kpwàrwǎ 
Voodoo,  Vudu 
Voodoo doll  ,Kotogi 
Voracious  ,Gisokpa 
Voracity  ,Gigisokpa 
Vortex , Yizhi 
Votary  ,Ezhiku
 Vote  ,Zhìlì 
Vote , Lìzhì 
Voter  ,Zhìlìci 
Vouch  ,Yinya 
Voucher , Yinyagi 
