Fable,  Dzogàṇ
Founding , Kînta 
Foundation,  Kînshì 
Foundling,  Kpancǐạ 
Foundry,  Tswata 
 Fount  ,Dudugi 
Four  ,Gúṇni 
Four hundred , Kpoba 
Fourteen  ,Gúwo gúṇni 
Fourteen hundred , Kpótwabà
 Fourteen thousand , Gbotwabà 
Fourscore , Shini 
Fourth  ,Nici 
Four thousand  ,Gbobà 
Fox  ,Ṇyàkáṇgi 
Foxtail , Èsàgi lùkó 
Fracture (bone)  ,Bàṇbà 
Fragment  ,Sákùn
 Fragrance  ,Kàṇbe Ekàṇbe
 Fragrance to have   ,Bekàṇ
 Frame  ,Ròkò 
Framework , Ròkòkpà 
Frankincense,  Gogagi
 Fraud , Bòshí 
Fraudster , Bòshígi 
Freak,  Kpiaria
 Freak  ,Sò kpiaria
 Freaky,  Kpiariagi 
Free  ,Fo 
Free (of charge)  ,Èfiá 
Freebie,  Zankagi
 Free-born,  Egi maci 
Freely , Fonyǐ  
Freedom  ,Èfo 
Free set,  Sá fo 
Freeze , Wạṇ riri
 Freeze,  Rìrǐ
 Freezing  , Rìrǐwạṇ
 Freight,  Kàràdàgi 
French,  Fírenci
 Frenzied,  Fíṇyé 
Frenzy,  Yéfíṇ 
Frequent , Kándó
 Frequently , Kákándó
 Fresh (fruit) , Fumfúrú 
Fresh (fruit) , Fumfúrú
 Fret , Jin korokoronyi 
Fretful  ,Korokoro 
Friday , Fontswan Efo tswanyìci  
Friday , Jímâ Junma Jinma 
Fridge , Rìrǐkúgi 
Fried chips , Dìṇdi Dìṇdikòlò
 Friend,  Èyà  
  
Friendship  ,Yàzuṇ 
Friend to make , Dáyà 
 Frighten , Lidàṇ
 Fright , Edàṇli 
Fringe (decoration),  Dìndzǎ 
Frog , Kwàṇkwà  
Frog (bullfrog) , Dugba 
Frog (green water frog), Dzàgala 
Frog (small water frog) ,Kèrěgi 
Frolic , Túgǐdìgbà 
Frolic  ,Gǐdìgbà 

From , Fébè
 Front ,  Yégbóró 
Frontier ,Kátígi 
Frond , Elá 
Froth,  Pú  
Frown  Nuyé 
Frown , Yěnu Eyénu 
Fruit , Suṇsuṇ 
Fruit bat,  Èdǎṇ 
Fruitlet , Kpàlà 
Frustrate,  Zùṇtsà 
Frustration  ,Etsàzùṇ
 Fry , Kạn 
Fry (deep)  ,Ciàn 
Fugitive , Lábězhì
 Fulani (nomadic) , Bòro
 Fulani (settled) , Gǒyì 
Fulfill,  Nǔ 
Full  , Shé 
Full  ,Èshé 
Fulfilment , Núnǔnyi 
Fumigate,  Kpànạwú 
Fun , Dzòmǎṇ 
Fun have , Mǎṇdzò 
Fund  ,Gìyě 
Funeral  ,Gobi 
Fungus , Kòdò 
Funk  ,Sugi 
Funky  ,Sunyi
 Funnel  ,Èrwa Èlwa
 Funnel , Rwa 
Funny  ,Tsanda
 Fur , Biṇnì 
Furious  ,Jiṇ kùmbuli 
Furnace  ,Gubata 
Further ,  Èkà 
Furthermore , Bambe acinga e be
 Furtive  ,Sangisangi 
Fury , Kùmbuli 
Fuse , Vungun
 Fuss,  Bobo 
Future,  Èbè 
Future , Bèci 
Futile  ,Wonniagi 
Futility , Wonnia 
Fuzzy  ,Kpusu   
