Nab,  Ga 
Overweight , Putu 
Overwhelm  ,Pazo 
Owe,  Gigbata
 Gi ,gbata 
Owl (general term) , Yǐshìgi 
Owl (night) , Gbìgbì
 Owl(screech-owl)  ,Gàlú Gàlúgi 
Own , Wun 
Owner , Nyạntsǒ 
Ownerless,  Wana 
Oyo , Eya Biniya 
Oyster  ,Gbako   
 
Paca , Etsukoshiangi 
Pace , Ètà 
Pacification , Shishiṇyagbàṇ 
Pacify,  Shi nyagbàṇ
 Pack,  Èkpo
 Pack , Pakpo 
Package  ,Vodin  
Package , Dinvo 
Packed,  Èkpopaci 
Packet , Lefe 
Packing  ,Fúfù 
Packing net  ,Sạngbàrà 
Pact , Eganlashishi 
Pad, Eka 
Paddle,  Etè  
Paddle , Pá   
Pdleboat  ,Eyambara 
Plock , Cedangi 
Plock,  Cedan 
Pagan , Bólò 
Page , Èkpě 
Pajamas  ,Jampú 
Paillasse , Kpembo 
Pain,Eta
 Pain , Tạn
 Paint , Karo
 Paint , Tạn karo 
Painting,  Karogi 
Pair,  Goya 
Pal  ,Gwala 
Palace  ,Emitsu 
Pale , Bía 
Pale (spike)  ,Turiki 
Palise,  Gagi Egagi 
Pall , Epa 
Palm , Gwa 
Palm (cocoanut) , Yikunnu kpota 
Palm doom , Goriba
 Palm fronds  ,Edzugi yikunnu 
Palm fruit , Yikunnu 
Palm kernel,  Yikunu 
Palm kernel, oil  Èdǐṇ 
Palm nut  ,Yikunnu tsakpa  
 Palm nut ,fibre  Èkáṇ
 Palm oil , Emidzuru 
Palm tree,  Efu 
Palm tree snake,  Jǎsò 
Palm wine , Munge 
Pamper , Gotitugwa 
Pamphlet ,Kundi 
Pan , Kpánùgi 
Pancake,  Bambara 
Pancreas  ,Gbangbara 
Pandemonium,  Gbodoni 
Pane  ,Lefa 
Pangolin,  Gagula 
Panhandler,  Babagi 
Panhandle,  Jin babagi 
Panic , Nyạgbànkinni 
Panic , Nyạgbàn a nikin 
Panicle , Yìshi 
Pannier , Waga 
Panoply ,Kutufani 
Pant (underwear),  Emije Cf Urine 
Pant (shallow breathe) , Kpashi 
Pant (shallow breathe) , Eshi
 Pap  ,Ebé  
Pap (without Koko),  Boro 
Pap (sour) , Banga 
Papa  ,Bàbǎ 
 
Paper (leaf) , Kpere
 Paper (white),  Vuṇci 
Papule  ,Sun kpakugi 
Parable,  Egansantatun
 Parise , Alijenna
 Parox ,Batarama 
Paragraph , Sunmu
 Parallel , i 
Parallel  ,Waranyi 
Paralyze  ,Gbàṇ Gbàṇ nakan 
Paralyzed , Nạkàṇ agbàṇ 
Paralysis  ,Nạkàṇgbàṇ 
Paramount,  Kokontsoko 
Paramour , Nyacin 
Parapet , Zonko Eban zonko 
Parasite  ,Ètú 
Parcel , Égâ 
Parched  ,Gewu 
Pardon,  Fa 
Pardon , Fifa  
Pare , Pa 
Parent,  Nyamanci 
Parenthesis (mark),  Tancigi 
Paring knife,  Kokogi
 Park , Shìsa
 Park  ,Sashì 
Paroxysm ,Kpiariagi 
Parrot , Èlěgi 

Parrot  ,Dídia Dídiawòyě 
Parrot (foreign parrot)  ,Asheburu 
Parsimonious , Wúnu 
Part,  Danagi
 Partial , Boshi
 Partiality,  Boshigi 
Particle , Bêgè 
Participate  ,Lòdan 
Particular , Kpàtàkìci 
Particularly  ,Kpàtàki 
Parting gift , Dzana 
Partridge,  Kparo Kparogi 
Partner , Zàbàci 
Party (group) , Èṇà
 Pass  ,Gogan  
Passage  ,Goganba 
Passage (literary) , Goganbagi
 Pass away (die) , Fí
 Passingly , Fafafanyi 
Passion,  Jaraba Zaraba 
Pass on  ,Duya
 Pass out (faint)  ,Zunfi 
Pass over (hand over) ,la gun 
Passover  ,Vungan 
Pass wind , Sanbi 
Past,  Panyi 
Past,  Èlě 
Past  , Panyici 
Paste , Ekwa
 Paste , Mà
 Pastry  ,Jèwò 
Paterfamilias  ,Dzogun 
Patch  ,Bagun 
Patch , Gunba 
Path , Zoko
 Patho,nạtáṇ 
Pathogen,  Kânmạnạtáṇ 
Pathology  ,Kpikpenạtáṇ 
Patience , Nyangbanwu 
Patient,  Jin hankuri 
Patient (the sick) , Gunci 
Patridge , Kparò 
Pauper , Ètsa 
Pause  ,Shinu 
Pavement  ,Kpankara 
Pawn,  Swàfa 
Pawn , Jin swàfa
 Pawpaw  ,Konkeni 
Pawpaw (stalk)  ,Gbongunnu
 Pay  ,Yàwó 
Payable,  Yiyàwǒci 
Payment , Wóyà 
Peace,  Gbǎfû
 Peacefu,l  Gbǎfûgi
 Peace make,  Jin gbǎfû 
Peace maker  ,Gbǎfûjinci 
Peach , Gbashi
 Peak  ,Gbegbenti 
Peanut,  Gbègbè
 Pearl , Luluyi 
Peasant , Gbégbe 
Pebble  ,Takun sheshengi 
Peculiar,  Mikaeni
 Pedestal,  Dogba
 Pedigree,  Gbereka 
Peel (groundnut),  Là
 Peel (pare),  Pá 
Peel (skin)  ,Fè 
Peel (strip)  ,Fǎn 
Peeling  ,Kpara
 Peeler, Ekagi
 Peep  ,Shìyé 
Peeping  ,Yeshi 
Peg,  Kungi 
Peg,  Kun 
Pelican , Gbòdo Gbòdofianu Gbòdofia Nuwan
 Pelt , Fù 
Pelt , Buzu 
Pelvis , Shinvunnu Eshin vunnu 
Pen (writing)  ,Kági Èkági 
Pen (enclosure) , Ega 
Pen (bird) , Lúgbê 
Pen build , Shi lúgbê 
Pencil  ,Taragi Cintaragi Kalangi 
Pend,  Tu Kiri 
Pendant , Talatuni
 Pending,  Kiritu 
Peninsula,  Kòsùṇtíkòkó
 Penis  ,Eba Ebun 
Bun Penitence , Elizheban 
Penitent , Zheliban
 Penitent,  Elizhebanci 
Penknife  ,Angbori 
Penniless , Talaka 
Penny , Piania 
Penny (British penny),  Kobò 
Penny (half) , Dari
 Penury , Ègbǐ 
People , Ezazhi 
Pepper  ,Yaká 
Pepper (black) , Màsoro 
Perventure, Akpeshia
 Perceive,  Wokun 
Perch (bird)  ,Dagun 
Perchance , Wun aba 
Perched,  Gbagbara
 Percolate,  Pinshe 
Perfect , Fegé 
Perfection , Afegé 
Perfidy , Emì 
Perforate , Dzu Dzuyé 
Perfume , Danmagi
 Perhaps,  Wuṇ ába 
Period (time) , Èsà 
Period (menses)  ,Etswa 
Period! , Bokun!
 Periodic,  Ceka
 Periodically , Cefoce
 Perish,  Gbinmi 
Permanent , Ku 
Permanently , Kunyi 
Permission , Gwaya 
Permit,  Yagwa 
Perpendicular,  Munumununyi 
Perpetual , Cící 
Perplex,  Gízhi
 Perplexity  ,Ezhigi 
Perseverance,  Egbànyạ 
Persevere , Gbànyạ
 Persist , Nici 
Persistence , Cini 
Person , Ezà 
Perspiration , Enusan 
Perspire , Sannu 
Persue , Fi 
Persuasion (convince)  ,Fifi 
Pervasive , Fukufukunyi
 Pest , Managi 
Pesticide , Ega 
Pester,  Kunmi 
Pestilence,  Aloba Anoba
 Pestle,  Etùṇ 
Petite , Kwatiagi 
Petition , Robo 
Petition , Eboro 
Pet name , Ceye Ece ye 
Petrol  ,Minta
 Petroleum  ,Mintakun Emi takun 
Petticoat , Tobigi 
Phallus  ,Pigi 
Phantom , Kpà 
Phenol , Geyé Ege eyé 
Phial , Vodangi 
Phlegm , Kpalagia -phobe  Dàṇwǒ-
 Phobia  ,Dàṇwǒgạ -
phobia s,dàṇwǒgạ- 
Photograph  ,Foto 
Photograph , Wa foto 
Phrase  ,Mikaeni Egan mika eni
 Physic  ,Cigbe forofo 
Physical , Ekpasa 
Physician,  Guncidanci Guncidanyeci 
Physic, nut  Kasha
 Physics , Ekpasagi 
Pick (choose),  Li 
Pick (bone),  Bó 
Pick (gather) , Tun
 Pick (select),  Lì
 Pick (take up) , La 
Pickaback , Kpan 
Pickaback,  Kpikpan
  Picket,  Gara
 Picket , Lěṇà 
Picture , Zasan 
Piece,  Kanà
 Piece (rag),  Sakun 
Piece (of dress)  ,Kperegi Èdě kperegi 
Piecemeal , Langilangi 
Pier,  Cikun
 Pierce,  Fín
 Piety,  Guru 
Pig , Kútsùṇ 
Pig (wild) , Gbàkuṇ
 Pig (wild) , Goro 
Pig (bush pig)  ,Shìliǎ  
Pigeon,  Lǔkukù
 Pigeon (large one),  Zhìlǔ 
Pigeon (wild one),  Baba 
Piggyback  ,Kpan 
Piggyback,  Kpikpan
 Pigment,  Ètạngi
 Pike , Garagi 
Pile,  Eda 
Pile,  Kpa Kpa eda  
Piles , Gizogi 
Pile up , Tukpe 
Pill , Páyagi
 Pillar , Kpègi 
Pillory,  Shilia 
Pillow , Tuti 
Pillow case  ,Edetuti 
Pilot,  Gìn
 Pilot  ,Gìnza 
Pimp,  Bakánta
 Pimple , Ègbagi 
Pin , Ecǐn 
Pinnacle,  Gbètí 
Pinch,  Ko tikpa 
Pinch , Tikpa 
Pincers , Tikpakoko 
Pincushion  ,Mikin Emikin 
Pine (tree),  Nukpaci
 Pine (yearning) , Ebowan 
Pine  ,Wanbo 
Pineapple , Diàdiàgùṇ 
Pious , Deguru 
Pip  ,Ekpagi 
Pipa  ,Keregi 
Pipe , Èfà 
Pipe (tobacco)  ,Èfà tabà 
Pipistrelle,  Zunya 
Piss  ,Va vidìṇnì 
Piss  ,Vidìṇnì 
Pistol,  Àkùtiàgi 
Pit  ,Gushe 
Pit (seed) , Eda 
Pitch (tent) , Kan 
Pitch (smear),  Tan 
Pitch,  Tiri 
Pitch-black , Tirinyi
 Pitcher  ,Mange 
Pitfall  ,Eko 
Pithily , Turianyi 
Pity  ,Gùṇyè 
 Pity , Yěgùṇ  
Pivot  ,Sankara 
Place,  Ebà 
Placenta,  Elo Elogi 
Placid , Tunyi 
Plague  Pạmvugi 
Plain (clear)  Kpara 
Plain (field),  Làgǎṇ 
Plainly ,Yekpara 
Plait,  Tin 
Plan , Kpa
 Plan  ,Ekpa
 Plane  Pàlàgi 
Plane (aeroplane) , Yafitigi
 Planet , Nyạkǎṇ  
Planning  ,Kpikpa 
Plank , Patako Kpatako 
Plant , Dzò 
Plant  ,Sáṇṇá 
Plantain , Yàbàkó 
Plantation,  Cigbangata 
Planter , Enyzoci 
 
Plantlet,  Guluba
 Plaque, Wogiri
 Plaster,  Ezun 
Plaster,  Fizun Fi ezun 
Plaster , Ezun 
Plate  Tasagi ,Pileti 
Plateau , Edati 
Platform , Siṇsàrà 
Platter , Shapá 
Play,  Èdzǒ  
Play,  Dzódzǒ 
Playground , Dzomba 
Playmate,  Dzomaci 
Pleach,  Swagba 
Ple , Tangwa   
Pleasant  ,Gbezhi 
Please ,Awo 
Pleased , Mafi
 Pleasing , Mimafi 
Pleasure  ,Dàmàn
 Pleat , Yífí 
Pleat  ,Yífígi 
Pledge , Lànà 
Pledge,  Ànà 
Plenary , Janja 
Plenteous , Dangusa 
Plentiful , Dangu
 Plenty,  Dokun 
Pliability,  Elè
 Pliable , Lè 
Pliant , Lèlè 
Plinth,  Kinshigi Takun kinshi 
Plodding,  Fushe 
Plot (scheme,)  Pa
 Plot  ,Ribi
 Plot (land)  ,Ela 
Plot (rice plot),  Davo 
Plough  ,Dzuga 
Plough , Gzu 
Plover , Capayele 
Plow , Dugbashe 
Plow , Gbonu 
Pluck (fruits)  ,Fe 
Pluck , Bogi 
Pluck up  ,Mu Muya 
Plug , Nyagun 
Plug , Tè  
Plum  ,Jinjère 
Plum (black),  Edìṇ 
Plummet , Zunkin  
Plump   ,Yeye 
Plumpy,  Yeye Putunyi 
Plunk (exactly),  Yanyi 
Pocket  ,Dzufạn 
Pocket (side pocket)  ,Sàṇà 
Pod  ,Kpanko
 Podgy ,Bambu
 Poet , Miwu
 Point (finger),  Tagwa  
Point at  ,Tagwatun 
Point , Tígi Etígi 
Pointed  ,Mi 
Pointless , Felanla
 Poison,  Emí
 Poison (diabolical)  ,Cèrě 
Poison (for arrows) , Nạncé 
Poison (very dely poison) , Cékperí 
Poke  ,Gbogbó 
Poke , Tsun 
Poker,  Fàṇǎṇ 
Polar  Micingi 
 
Pole,  Kuci
 Pole (dye) , Mucia 
Police,  Cété 
Polish  ,Ko 
Polite ,De labi
 Politeness , Labi 
Politics , Alúgbό 
Polliwogs , Tanlegbegi Tanlegbelegbegi 
Pollen,  Ebi
 Poll tax  ,Haraji 
Pommel , Sakoro Esa koro 
Pompous , Mimi
 Pond , Ewan
 Ponder , Doko
 Pondering  ,Ekodo 
Ponderous,  Banku
 Pong  ,Etswanewu 
Pony , Èkpogi Èkiá kúrù
 Pool (water),  Ebú
 Pool (resources)  ,Tǔ 
Pooh! ,Wush! 
Poor, Jiya 
Poor,  Yajinci 
Pop , Tin 
Popcorn  ,Gúgúrú 
Popcorn (ground) , Pùtaka
 Poplar , Dokùṇgi
 Popper,  Gúgúrúkạnci 
Poppy , Ekan bokun 
Population,  Zhima 
Porch , Yakunti 
Porcupine,  Kpábi 
Porcupine (brushtail type)  ,Kùgběrè 
Pork,  Nakakutsun Naka kutsun 
Porpoise  ,Ena nuwan 
Porridge,  Eje Cf: 
Pap, (Kunnu) 
Port  ,Kpàtazúṇ
 Porter,  Ekpolaci 
Portion,  Jègǎn
 Portly  ,Sanra 
Position (place)  ,Ekpo 
Position (rank) , Kpomi Ekpomi 
Possess (own)  ,Dá 
Possessor,  Nyádá 
Possible,  Basun 
Possibly,  Wunjinwo ko 
Post , Èkpó 
Post (Support) , Gaṇgaṇ
 Post (fence) , Cigbangba 
Postern , Dzungi 
Posthaste , Paranyi 
Postpone  ,Takpa
 Postponement  ,Kpata Ekpata 
Pot , Dùkùṇ 
Pot (all clay types),  Nyạkùṇ 
Pot (large)  ,Dangàrà 
Pot (with a large mouth),  Egbagi 
Pot (with wide mouth),  Gba 
Potash,  Kạnwạṇ 
Potassium , Swaka 
Potato(general term),  Dùkú 
Potato (Irish) , DùkúAyirìshì 
Potato (sweet potato) , Kúdúndùkú 
Potency  ,Èkpì 
Potent,  Kpìkpì 
Potential,  Kpìkpìgi 
Pothole,  Gbòrǒ 
Potion , Eca 
Pot scrapings,  Ekan 
Potsherd  ,Yisakun 
Potter , Enyamici 
Pottery , Dukunmi
 Potto,  Gàdàgi 
Pouch  ,Banda
 Pounce on  ,Vakpe 
Pound  ,Pà 
Pound sterling , Pan
 Pounded yam,  Cingini 
Pour , Zhe
 Pout , Tsunmi 
Poverty,  Yàjì 
Powder,  Rùkùgi 
Powdery , Rùkù 
Power,  Kágbó 
Powerful,  Kágbóci 
Practice (tritions) , Zhìzhì 
Prairie chicken , Wakulawasa 
Prairie hen , Bishegi gonta 
Praise , Kin 
Praise , Kinkin 
Praise singer,  Kinkinci 
Prance , Jin tsotsonyi 
Prank play,  Tà
 Prank,  Tita 
Pray (supplicate),  Gǐye 
Pray (Sallat) , Jiṇ Sálla 
Prayer (supplication) , Bibebà 
Prayer (Sallat),  Sálla
 Praye,r bes  Tasabi 
Praying mantis  ,Làvonlàvo
 Preach , Shìwò 
Preacher  ,Wòshìgi
 Preaching , Wòshì
 Precarious , Kpege 
Precede , Goti 
Precedence  ,Etigo
 Precious stone,  Gbuzù 
Precipic,  Cínlà
 Precipitous,  Tukpiagi 
Precise , Fini
 Precisely,  Fininyi
 Preeminent , Kongoko
 Prefer  ,Naye 
Pregnancy , Ewan
 Pregnan,t  Dewan 
Prehistory  ,Tanfari Etanfari 
Prejudice , Ebonyi 
Premium , Harafiya
 Premolar  ,Gagawú 
Preparation,  Ekpatú 
Prepare , Túkpa 
Prepare the way,  Tukpa
 Preposterous , Felulu
 Prepuce , Bùṇ Ebùṇ 
Present to be  ,Danbo 
Present (now) , Kazuana
 Present (gift)  ,Túkúci
 Present , Wugban 
Presentation , Egbanwu 
Preserve,  Lezo 
Preside , Shigbo Shi yegboro
 Presidency,  Egboshicikpo
 President , Cata 
President-elect , Liwa-Cata 
Presidential,  Cataci 
Presiding,  Egboshi
 Press,  Pà 
Press  ,Kpókpó 
Press against  ,Fipa
 Press conference  ,Kukugunba Kpókpó 
Pressman,  Kpókpóci 
Presuppose  ,Kpayetu 
Pressure put on , Pàdzu 
Pressure  ,Èpà Pàpà 
Pressurize,  Pàba 
Prestige , Rufuma
 Presume,  Báyèshí
 Pretend , jin Baru 
Pretension , Baru 
Pretty  , Dzombagi 
Prevail,  Wuka 
Prevalent , Buda 
Prevalently  ,Budabudanyi 
Prevent , Kàṇ
 Prevention,  Èkàṇ 
Previous , Lele 
Previous , Le 
Price  ,Rùwó 
Price , Dá rùwó
 Price tag  ,Wokinwokin 
Prick (conscience),  Kpati 
Prick (sting)  ,Kin 
Prickle,  Gara
 Prickle,  Gě 
Prickly heat , Cecengi
 Pride,  Giwo Egiwo 
Priest,  Bǒci 
Primary  ,Dzòdzò
 Prime , Èdzò 
Prime Minister,  Ndaeji
 Prime of life  ,Takari 
Prince , Mamman
 Princess , Mama
 Principal (chief) ,  Kitso 
Principal (money)  ,Wonna Ewo nna 
Principle , Tídzò
 Print,  Pàkpó Pà kpókpó 
Print , Kpópàgi Kpókpópàgi
 Printer , Kpókpópàci
 Printing  ,Kpókpópà 
Print out,  Pàkpó tiṇya
 Prior, Kédzò
 Priority  ,Kédzògi
 Prism , Èdìngi 
Prison , Ledu 
Prisoner,  Kònǔ 
Prisoner of war  ,Konukun 
Privacy  ,Danle Edanle
