Baal , Bǎlà 
Banknote,  Ewó wárá 
Banned,  Shiwuci 
Bantam,  Bishe liàliàgi 
Baobab,  Muci Emuci 
Baobab fruit , Emu 
Baobab leaf,  Kuká
Baptize , Kiàdù
 Baptism,  Dùkià 
Bar (rod) , Kwǎdú Kwǎkwǎdú 
Bar (counter) , Fábà Efá ebà 
Bar,  Gù Gù kwǎdú
 Barb  ,Wạntí 
Barb,  Ekạngi
 Barbecue,  Fesha 
Barber  ,Etíwạnci
 Barber shop,  Èdàgi 
Barbing saloon,  Èdàgi Bare  Dǎkạn 
Bare (body)  ,Kpáṇṇá 
Bare  ,Wúkpala 
Bargain,  Cèwò 
Bargain , Ewòcè 
Barge,  Eya kpánù 
Bark  ,Gulu Bark  Gbó 
Bark beetle,  Eyigi 
Barking,  Gbugbó 
Barn  ,Èdo 
Barnacle  ,Kandùsaṇ 
Barracks,  Èdògùṇ Èdò ègùṇ 
Barrel,  Bùrù
 Barren (woman)  ,Ràmạ 
Barren (land)  ,Mana 
Barricade , Kàṇga Kàṇ èga 
Barricade , Egakàṇ 
Barring , Àfè 
Barrister , Fábàci Efábàci 
Barter , Zolo
 Base  ,Gbigbi 
Baseborn , Egishempa 
Basic  ,Gbigbici
 Basic , Gbigbigi
 Basilisk,  Dinasa 
Basin  ,Gbángbámí 
Basin (small size)  ,Tàràbì 
Basin (medium size) , Dana 
Basin (large size)  ,Sawa 
Basin (bath)  ,Shapá 
Basis , Dudugi
 Bash (festivity) , Mbànshi  
Bashful , Dezùṇyě 
Bashfulness , Zùṇyěde 
Basket  ,Kasa 
Basket (fowl cage),Gudugudu 
Basket (of two halves),  Lèfe 
Basket (oblong type) , Kòndzùrùgi 
Basketball , Èkòkasa 
Bastard  ,Eginyàṇciṇ 
Baste (stitch),  Fù
 Bat (fruit bat) , Èdǎṇ 
Bat (house bat) , Pìtìngi 
Bat (vampire bat)  ,Gbìnyǎ
 Bathe , Fù nuwạṇ
 Bath , Nuwạṇfù 
Bathos  ,Kwàbwà
 Bathroom  ,Ébó 
Bathtub  ,Gbada 
Baton  ,Elá 
Batten  ,Ekagi 
Batter,  Ban 
Batter (beat),  Banba 
Battering-ram , Matalaka 
Battery (beating) , Baban 
Battery (electronic) , Suṇgbógi Esuṇgbógi
 Battle  ,Gún 
Battle , Ègún 
Battlefield  ,Kuṇgùṇbà Ekuṇgùṇbà 
Battlefront,  Daga 
Battleground , Ekuṇda 
Battlement,  Nạmi 
Bawd  ,Nṇǎ shankala 
Bawl  ,Gbóguṇ 
Bay (sea) ,Ebu 
Bay (horse) , Èkiá 
sari Bayonet,  Kpanga 
Bazaar,  Èswàkó 
Bazooka , Atakoshi 
Be  ,Dạnbo Dạn 
Be  Fe  ,Be  Yì 
Beach , Kákpạṇ 
Beachfront , Kákákpạṇ Kákákpạṇgi 
Beacon , Sheci 
Bead , Nyǎṇsuṇsuṇ 
Bead  Fu Bead (fancy ones)  ,Dúyé 
Bead (loin beads)  ,Fùkǒ 
Beadle , Mábàgi 
Beak  ,Nukpà  
Beaker  ,Batage Bata ege 
Beam (roof)  ,Gwadwa 
Beam (weaving) , Zhiǎki 
Bean(general term),  Ezo 
Bean , Gbángbárà 
Bean (a specie) , Gbíṇni 
Bean (cooked) , Èwà Zowà 
Bean (cultivar)  ,Sheshe 
Bean green , Zongbárà 
Bean (ground) , Edzu Yédzu 
Bean (grown on flood land) , Kapangi 
Bean kidney  ,Ezo kadangi 
Bean (small specie)  Ezo kapangi 
Bean porridge  ,Zoboci Ezoboci 
Beam  ,Eshá 
Bear , Shìnyi Eshì enyì 
Bear (carry),  Lá
 Bear (birth)  ,Mạ
 Bear (fruits general) , Suṇ 
Bear (fruits Lonci tree),  Jè 
Bear (corn)  ,Watí 
Beard  ,Nukpanyì 
Beard grow , Kàṇ nukpanyì 
Beardless,  Shiàgiri 
Beast  ,Nakin 
Beat  Wu Beat (flog) , Wulu 
Beat (floor) , Pa 
Beat (drum)  ,Nìṇyà 
Beater (food)  ,Dzùṇwo Sokùṇdzùṇwo 
Beater (hunting)  ,Nạṇyáci Enạṇyáci 
Beater (smith)  ,Tsuci Ètsuci 
Beautiful , Sà 
Beating ,Luwu
 Beauty  ,Èsà 
Beaver , Eshíkó bàtà 
Beaver (mountain) ,Gbaragi 
Because  ,Ebó Ebónạ 
Become,  Zhè 
Bed  ,Lukpó 
Bedbug , Jìgàngi 
Bedchamber , Katale 
Bedclothes , Nyạtaci 
Bedsheet , Èdětíle 
Bedspread,  Letítaci 
Bee  Èsǔ ,
Beehive  ,Dùkùṇfú 
Beer,  Ege 
Beer (a type) , Tùtùgi 
Beer (informal name) , Gárági 
Beetle  Emu Beetle (red) , Ndǎkóbasa 
Beetle (a specie)  ,Gbáṇgúṇnú 
Beetle (a specie,)  Kpakala Beewax  Tefú Ete efú
 Befall,  Tsun 
Before (in time,)  Bědzò 
Before (in front of place),  Yita 
Beforehand, Kédzò 
Befriend,  Dáyà
 Beg,  Bà 
Beget,  Mạ 
Beggar,  Maba 
Begetter,  Egimạyiwo 
Begging (casual),  Enyạbà 
Begin,  Cià 
Beginning  ,Ciàbà Èciàbà 
Beginner,  Èciàci 
Beguile,  Gibì 
Behave,  Jiṇbó 
Behaviour , Ebójiṇ
 Behead,  Batí 
Beheading,  Etíba 
Behind ,Zungbe
 Behold (look) , Táyé 
Being, Fifé 
Being,  Nyạkúngi
 Belch,  Bènín
 Belch,  Nínbè 
Believe,  Yàlǒ
 Belief  ,Lǒyà Elǒyà 
Belittle , Gbaye 
Bell,  Esáṇ 
Bellow  ,Shìwú 
Bellows,  Gúrù 
Belly,  Gbàkó 
Belly dance , Eṇyà gbàkó 
Beloved  ,Ciṇciṇci 
Belt , Nînkegi 
Bench  ,Èsáduru Èsá duru 
Bend (body) , Yá Yakun 
Bend (body) , Èyá 
Bend (thing),  Kan 
Bending,  Yiyá 
Bend over , Yákpe 
Beneath  ,Betàkò 
Benediction , Eca 
Benefact , Jin zhínke 
Benefaction , Zhínke 
Beneficent , Wògici  
Benefit,  Giba 
Benefit , Bagi
 Benevolence,  Sáṇbàṇ
 Benevolent , Sáṇbàṇjiṇci
 Bent  Kan, Kạndạn 
Benue (River)  ,Dùzhìkò Èdù zhìkò
 Benumb,  Tàyì 
Bequeath , Swágúṇ 
Bequest , Swágúṇgi 
Berry  ,Yengigi Yengi gigi 
Besides  ,Bambènyi 
Besiege , Gùṇzhì 
Besom , Sokùṇgi 
Best  Ge, gan kpata
 Best man  ,Báyàwǒ kpatsùṇ 
Betray  Dan ,kòcě
 Betrayal,  Kòcě 
Betroth  ,Túbá 
Betrothal  ,Ebátú 
Better  ,Gegạn
 Better , Gaṇmáṇ 
Beverage  ,Ṃàkwàrà 
Between,  Yitacin 
Bewail  ,Tílali
 Bewailing  ,Lalití 
Beware,  Ṃàshiá 
Bewilder  , Kayéwuru Kayé wuru
 Bewilderment , Yékawuru 
Beyond (out of reach) , Cé 
Bias (textile,  Amáwòlì 
Bible,  Lítáfi lilici Baibu 
Bicker , Gímikpá 
Bickering,  Emikpágí 
Bicycle,  Kiákiá 
Bid  ,Dạnwó Dạn ewó 
Bidding , Ewódạn 
Bide,  Pàká Pà eká 
Biding , Ekápà 
Big  ,Wạṇcíṇ 
Bigheaded  ,Gbótí 
Bigheadedness , Etígbó 
Big man  ,Zàkó Ezàkó 
Bigwig , Tínyìkókó 
Bilateral,  Kạnsuṇba 
Bile  ,Egà 
Bilharziasis , Bìdìnnìkàṇ 
Bill  ,Guṇtèka
 Billy (goat) , Gbàbin
 Billion , Gbǎwùrù Gbǎ wùrù 
Billionaire,  Zàwógbǎwúrú 
Bind  Pa Paba Biogenesis  ,Kákânmạnạ Kákânmạ enạ 
Biology  ,Kpikenạ Kpikpe enạ 
Biotic , Nạkuṇ Enạkuṇ
 Bird  ,Elú Elúgi 
Birdie  ,Pishe 
Birth give  ,Mạ Mạgi 
Birth , Egimạ 
Birthday , Fonmạ Fongimạ 
Biscuit  ,Dankuwa 
Bit , Túkùṇ 
Bit (of bridle) , Egi dzǎmi 
Bit by bit, Féfé 
Bite  Ko, nyíkàṇ 
Bitter , Lukù 
Bitter kola  ,Ewogici 
Bitter leaf,  Tsùlá 
Bitter lemon,  Lèmǔkuṇ lukùgi 
Bittern , Kpalushe 
Bitterness,  Ekùlu Kùlu 
Bizarre , Gbugbu 
Blabber  Fantan Black  ,Zhìkò
 Black,  Zhìkò 
Black , Shízhìkò 
Black (very)  ,Patampa 
Blackberry,  Dangoro
 Blackboard  ,Shìbà 
Blacken  ,Dạn zhìkò 
Black-eyed pea, Ezo bokungi 
Black magic , Bàzhìkò 
Black man , Pàzhìkò
 Black pepper , Ṃàsoro 
Black plum nut , Edíṇ 
Black plum tree,  Díṇci
 Black pudding , Nạnkógià
 Blacksmith  ,Tswaci Tswaci gbágbà
 Black widow  ,Gàranta 
Bladder  ,Bìdìnnì
 Blade  Baka Blame  ,Yabo
 Blame , Boyà 
Blanch ,Kuká
 Bland ,Tùbù
 Blank,  Gbele 
Blanket , Gbòdò 
Blaspheme  ,Gi tokódèdè 
Blasphemy , Tokódèdè 
Blast furnace , Èdùdạnbà 
Blaze , Lánạ
 Blaze , Enạlá 
Blazing,  Enạláci 
Bleach  ,Vuṇbǒkùṇ 
Bleaching , Bǒkuṇvuṇ 
Bleed  ,Tígià 
Bleeding , Egiàtí 
Blemish,  Ráni 
Blend  Le Bless  Cami 
Blessed,  Camici 
Blessing  ,Eca Cami Ècami 
Blind , Bòyé
 Blind  ,Yébonci 
Blindness , Yéṇà Eyéṇà
 Blink,  Bayé
 Blink  ,Yěba Eyéba
 Blinking  ,Bayébayé 
Blistering (hot)  ,Tsạnnạ 
Bloat , Sạnbà 
Bloated  ,Cikpuyǐ 
Bloc , Gàgùrà 
Block  ,Kanku
 Block (road)  ,Zúṇtu Zúṇ yèkó tu
 Blood , Egià 
Bloodshot , Dzúkáṇ 
Bloodstained  ,Tạngià Tan egià 
Bloodsucker,  Egiàfíṇci
 Blood vessel,  Giàkè 
Bloody (bloodstained) , Jiṇgià 
Bloom,  Ná 
Bloom , Niná 
Blossom  ,Mamawu
 Blossom,Wumama 
Blot , Shiǎda
 Blotch  ,Dzun
 Blotch,  Edzun 
Blow (air into) , Bè 
Blow (wind)  ,Tswáṇ Efètswáṇ 
Blow (punch),  Dạnkǔn 
Blow (punch) , Ěkǔn 
Blow the nose , Ṇyǎcíṇ 
Blowtorch , Gbúlù 
Blubber  ,Emí nạkàṇ 
Blubbery , De mínạkàṇ 
Blue   ,Dòfa 
Bluebell  ,Láyagisòkó 
Bluff , Lábà 
Bluff  ,Pabàṇ 
Blunder , Jiṇ shiàshiàgi 
Blunder  ,Shiàshiàgi 
Blunderbuss , Cákáfùrà 
Bluing,  Dòfashì 
Blunt (not sharp)  ,Tù 
Boar  , Gbàkuṇ Kútsùṇbá 
Board , Pàtàkùṇ 
Board , Dạnya 
Boast , Dubó 
Boasting , Ebódu 
Boat , Eya nuwạṇ 
Boat hook  ,Gòròkó 
Boatman  ,Eyapaci 
Bobbin,  Wofi 
Bobble , Gwagi Egwagi 
Bobtail,  Cintàràkolú 
Body  ,Ebà 
Body (biological)  ,Nạkàṇ 
Body (physical)  Gába
 Body  (mass) , Kámàṇ 
Bodyguard , Dagagi 
Bog , Shidàṇ 
Boil (water) , Gbin 
Boil (cook)  ,Du 
Boil , Sûṇ 
Boiler  ,Dùkùṇkó 
Boiling (hot)  ,Gogonyi 
Bolt , Nạsáṇ Enạsáṇ
 Bolt (fastener) , Kuni 
Bolt (lightening) , Egbà 
Bolt,  Sáṇnạ
 Bolus (food),  Jètswáṇ 
Bomb , Nạtiṇgi 
Bomb , Tiṇnạ 
Bombax  ,Kuci 
Bond,  Teba 
Bond , Ebate 
Bond (finance) , Rǐgbà Èrǐ gbàtà
 Bone , Tsúkùṇ 
Bone (hard) , Tsúkùṇ tambo 
Bone marrow ,Èmùgi 
Bonus , Wǎngigi 
Bony (lean), Gósónyǐ 
Booby trap , Nyạnkpagi 
Book , Epà 
Bookmark , Pàmà 
Boomerang,  Vugú 
Boondocks,  Kpata
 Boost , Cepata 
Boost , Patace 
Boot , Doncigi 
Boot (for riding horse) , Kúbùta 
Boot (kick) , Fútsùṇ 
Booth  ,Evuṇgi 
Booty  ,Lèkuṇ Èlè ekuṇ 
Border  Egáṇ 
Border on ,Gbá 
Bore  ,Dzufo 
Borehole,  Nyàbǒ 
Boring  ,Fushe
 Borough,  Ezhìgwa 
Borrow,  Ṃà
 Bosom , Gàba 
Boss, Kútsu 
Both  ,Gúbàbà
Bother  , Bobo 
Bottle , Bàbò 
Bottle (glass bottle),  Kpálábá  
Bottle gourd , Bingi 
Bottom , Tàkóyé 
Bottomless , Kódo 
Bough , Ètàkǒ 
Boulder , Rógó 
Bounce , Fúya 
Boundary,  Ègǎn 
Boundless,  Bǎra 
Bounty , Dangura
 Bountiful  ,Dangurasa
 Bouquet  ,Tíkàṇ 
Bow , Yá 
Bow (of arrow),  Tanci
 Bow (of boat), Eyami 
Bowel, Edzùgi 
Bowel movement  ,Kiánkiá edzùṇgi
 Bowman , Ekpàcéci 
Bowmanship , Ekpàcé 
Bowl  ,Tása 
Bowlegged  , Eduṇkạnci 
Bowstring  ,Egbiáṇ 
Bowstring hemp  ,Ecani 
Box  ,Kpànkò 
Box (fight)  ,Cé ṇáshi 
Boxer , Ṇáshicéci 
Boxing,  Ṇáshicé 
Boy , Egi bagi 
Boyhood  ,Egibagibó 
Brace , Gòsuṇgwagi 
Brace , Tsòyé 
Bracelet , Yayìsa 
Bracken , Giama cintara 
Brackish,  Gàsạn 
Brackishness,  Esạngà 
Brag  ,Gǐgbè 
Bragging  ,Gbègǐ  
Brain , Bìdzo Bìdzobìdzo 
Brake,  Kàṇzàṇ Kàṇ ezàṇ 
 
Brake , Zàṇkàṇgi 
Bramble  ,Dạngòdì 
Bran,  Dùsa
 Branch,  Gwala 
Branch,  Sá 
Branchlet,  Gwalagi 
Brand , Tsonạ
 Brand,  Nạtso 
Brandy,  Barasa 
Brass , Fíṇdzú Efíṇ dzúrú 
Brass smith , Tswaci yèkògi
 Brass worker (the chief)  ,Múkû 
Brave , Pàyé 
Brave person  ,Yépàci 
Bravery , Yépà 
Bravo! , Gawamạ! 
Brawl  ,Kpómi
 Brawl , Mikpó 
Brawny  ,Gbanyaka 
Brazen-faced  ,Gòyézàwǒ 
Brazen-facedness,  Eyézàgòwǒ 
Brazenly,  Gangádányǐ Eyé gangádá
 Bread  ,Gbànkùrùko 
Breadth , Ebu 
Break (into pieces),  Là 
Break (in two) , Kpiṇ Kpiṇfi 
Break (crosswise) , Zúṇ Zúṇfi 
Break away,  Dzáya 
Breakfast  ,Gúṇ làzhìṇ 
Breakfast (fasting)  ,Kpémi 
Breakfast , Làzhìngúṇ 
Breakfast (fasting)  ,Emikpé 
Break off (piece)  ,Sáya
 Break off (rebel) , Bògi 
Break out (fire) , Tiṇnạ 
Break out (skin disease)  ,Ko 
Break out (spread),  Bạn shebà 
Break the law  ,Gbiṇtú Gbiṇ gạnmi tú 
Break through  ,Fe 
Break up (ground) , Dzú 
Break up (meeting),  La 
Break up (split)  ,She 
Break wind  ,Sáṇbi 
Breast,  Ebé 
Breast (of young girl) , Jèkuṇ 
Breastplate,  Dangaba 
Breastband , Nyạgbàṇbagi 
Breath  ,Esuṇsúṇ 
Breathe  ,Súṇsuṇ 
Breathing , Suṇsúṇ 
Breathless,  Hàṇhàṇyǐ 
Breeze  ,She 
Breeze,  Eshê 
Brew,  Dage 
Brewer , Egedaci 
Bribe , Enyạyěshi 
Bribe , Leyě 
Bribery  ,Eyěle 
Brick  ,Lànkpà 
Bricklayer  ,Lànkpàtaci 
Brickmaker  ,Lànkpàsáci 
Brick red ,Dzúrú lànkpà 
Bride  ,Yàwǒ
 Bridegroom , Enu 
Bride price  ,Wódá yàwǒ 
Bridge,  Kpandara
 Bridge  ,Tákpandara 
Bridle,  Dzǎmi 
Bridle,  Dạn dzǎmi 
Brief , Kpégé 
Briefly  , Géréginyǐ 
Bright   ,Tiṇyé 
Bright (clever),  Koyé 
Bright (light) , Dzwan 
Brighten  ,Dzwa 
Brightness (light)  ,Èdzwàṇ 
Brilliance  ,Ewùṇá 
Brilliant , Ṇáwùṇ 
Brim,  Emigi
 Brine,  Nuwu 
Bring , Lá bě 
Brisk , Yěyě 
Briskly , Yěyěyí 
Britannia metal , Cìnkâ 
Brittle  ,Gbánsányí
 Broad  ,Gòpè 
Broad bean , Bangi 
Broadcast (agriculture) , Mí 
Broadcast (agriculture),  Mímí 
Broadcast (news)  ,Tásàṇ 
Broadcast,  Esàṇtá 
Broadly ,Pàrànyǐ 
Broadness  Epègò 
Broadsword , Èbikùṇ
 Brocade,  Ranta
 Broil,  Kpe 
Broker , Shìkwatia Shìnyàkwatia Shìnyà kwatiagi 
Brook  Dara Broom , Sokùṇ Sokùṇbàfìṇ 
Broomweed  ,Sàṇgi yèkó
 Broth  ,Niyekpárá Eni yekpárá 
Brother , Mapû 
Brother (sibling) , Yégi bagi 
Brother half  ,Tsógi bagi 
Brow , Yégbó 
Browbeat,  Bèyéfi
 Browbeating,  Eyébèfi 
Brown , Dòkạn 
Brown(skin complexion) ,  Zànínzà
 Bruise  ,Bò Bǒtìṇ 
Bruise  ,Tìṇbǒ Etìṇ bǒ 
Brush,  Èfìṇgi 
Brush , Fìṇpíṇ 
Bubble , Rogo 
Buck,  Elo
 Bucket , Kpánùmí 
Buckle , Nínká 
Bucolic , Budě
 Buck (money) , Giangia 
Bud , Lakoro 
Bud , Korola 
Buffalo,  Èya 
Buffer,  Kàṇgu 
Buffer,  Gukàṇ 
Buffet,  Biki 
Buffoon  ,Mama 
Bug , Jìgàngi 
Bugle  ,Fugba
 Build,  Tú 
Builder  ,Ebàtúci 
Building  ,Nakûṇ 
Bulb,  Kandu
 Bulbous,  Bwanti
 Bulge,   Jin puyi 
Bulgy,  Kobe  
Bulk  ,Gbagba 
Bulky ,Gbagbagba
 Bullet , Kúrubu 
 Bullheaded, catfish  Fusan 
Bully , Dzùṇbàyě 
Bully  ,Bàyědzùṇci 
Bullying , Ebàyědzùṇ 
Bum , Kontsa
 Bump , Zhe
 Bump , Kpótungi
 Bumper , Gbamputu 
Bumpy,  Gbórogbòro
 Bunch,  Tsakpa
 Bundle , Èpa 
Bundle,  pa 
 Bungalow,  Katafìtí 
Bunion  ,Poge 
Bunk , Lukpò 
Bunny,  Fanyi
 Bunt , Kàṇgbó 
Buoy , Gbabo 
Buoyant , Tsútsúgi 
Burgeon , Sálákpá 
Burly , Kpabu 
Burden,  Èkpo 
Burn,  Dìṇnạ 
Burr,  Ṃàṃǎrìgbò 
Burrow,  Èyè 
Burrow , Shèyè 
Burst,  Là 
Burst , Èlà 
Bursting , Lilà 
Burst forth,  Là tiṇya 
Burweed,  Popogi 
Bury,  Dzu 
Burying beetle , Kubimkubi
 Bus,  Kukàṇmạ 
Bush,  Gónta 
Bush-candle,  Eshia 
Bush cat , Dàngi lati Èvuṇgi
Bush pig , Shìliǎ Sùriǎ
 Bushy, Dusunyǐ 
Business,  Gbàsà 
Businessman  ,Gbàsàci 
Bust , Běkò  
Bustard , Zolá 
Busty  ,Bekogi 
Busy , Jiṇ bùcá 
But, Àmâ 
Butane  ,Míkònạ 
Butcher , Mafoci 
Butt,  Dạngbò 
Butter  ,Míkò Emí ekò 
Butter (Manshanu Fulani butter) , Gomi 
Butter bean,  Zomgbara 
Butterfly,  Nạmpàpàgi
 Butteris , Èkàṇgi
 Buttock , Biyé Biyékàṇ
 Buttock (behind),  Ègùṇ 
Button , Wónígi 
Butyric , Míkòri
 Buxom  ,Běkó
 Buy,  Shi 
Buzz  ,Lewú 
Buzzer,  Lewúgi 
By , Benyi 
By no means , Atáṇ 
Bypass,  Kpá  
