Jackal , Shìgbi
Lose (miss),  Cinbo 
Lose (business) , Zunya
 Loss , Gbigbinya; Asara 
Lost (property)  ,Ya 
Lost (direction),  Gbinka
 Lot (group),  Dwanyi 
Lot (land) , Ègò 
Loud  ,Gbogun 
Loud , Gungbo; Egungbo
 Lounge,  Yáyé 
Louse  ,Kokota 
Lout,  Dzan 
Love , Cin
 Love , Cincin
 Loveable  ,Yefaci 
Loveableness  ,Etimananci
 Love grass,  Esogi luko 
Lovely,  bolobolo; bolobologi 
Lover  ,Nyàciṇ
 Low , Kukunyi
 Lower, Dá 
Lower   ,Sama ashi
 Lowering  ,Samashi 
Lowland , Kinbata 
Lubricious  ,Cinamia; Cin’a mia 
Lucid , Gbagi
 Luck , Sa 
Lucky,  De sa
 Ludicrous , Shiririta 
 
Luggage,  Pokun
 Lull  ,Vo 
Lukewarm , Wàgiwàgǐ 
Lump ,  Kporo 
Lump (gruel)  ,Gbwàlwàgi 
Lunch,  Yidu 
Lunch  ,Gi yidu 
Lung,  Yefuka; Eye fuka 
Lungfish , Edan; Edangi 
Lure  ,Nyamu 
Lure , Munya; Emunya 
Lust , Vunba 
Lust , Bavùṇ
 Lustrous  ,Daragi 
Lute, (hunter’s)  Dùngùrù
 Lye , Gbodo
 Lye (for dye pit),  Zanta 
Lye (wood)  ,Swaka 
Lymph node,  Kutagi 
Lymph node (swelling)  ,Kodagi
Lynx,Gaba dzurugi
