Quadruped , Gwadagi Nagwadagi Ena Egwadagi
Rice (a cultivar) , Mamudugi 
Rice (a cultivar) , Edzògi 
Rice (a cultivar) , Edzòkó 
Rice (a cultivar,)  Zhiànto 
Rich  ,Dewo 
Riches,  Wode
 Rich person , Wodeci Ewodeci 
Rick , Bandogo Ban dogo
 Rick,  Gbema
 Rick (sprain)  ,Bà Ride  Tu 
Ridge (farm),  Ewo 
Ridgepole , Kòka 
Ridicule,  Lami 
Ridicule,  Emila 
Riddle (sieve)  ,Cǐsàn 
Rife , Berekete Barikate 
Rifl,e  Àkpárà 
Right (not left),  Gwalò 
Right (not wrong) , Mábó 
Right (human rights etc),  Ebó 
Right away,Vianyi 
Righteous person  ,Eza gaskiya 
Righteousness  ,Gaskiyajin 
Rightful,  Alali 
Right hand , Egwa gwalo
 Right now ,Gbaniana
 Rigid  Tsaku, Rigorous  
Rigorousness,  Tantana 
Rim  ,Kangba 
Rind  ,Lia 
Ring , Ruka 
Ring (sound) , Sáṇ 
Ring (bell) , Zhe 
Ring (give a bell) , Cefin 
Ringleader , Tswana 
Ringworm,  Èká 
Ringworm plant  ,Gungoroko 
Rinse , Dzáṇ 
Rinse (mouth) , Tsumi 
Riot , Ewunko 
Riot police, Gbadzagi Gbadzankawungi Gbadzankawun 
Rip , Lè Ripe   Kó  
Ripeness,  Èkó 
Rippen , Do
 Ripple ,Wogba Ewogba 
Ripple , Dogba 
Rise , Nạshè
 Risk take  ,Takpatsun Takpatsuncici
 Risk , Kpatsunta 
Rival  ,Tsudo
 River,  Èlà 
Riverine  ,Làgi
 River Niger , Ndaduma Edu
 Riverside , Danpà 
Rivet , Yeka 
Rivulet , Diyé 
Roach  ,Eyigi 
Road  ,Ekpa 
Roadblock  E,kpazun Ekpazuntu 
  
Roadside , Ekpamisun 
Roar , Kpinye 
Roast,  Po 
Rob , Dágará 
Robbery , Garádá
 Robber , Garádáci 
Robust , Pimpinyi 
Roc  ,Luko 
Rock , Tákùṇkó 
Rock (dance) , Tsaṇ nyà
 Rock and roll , Tsaṇyà pinyà 
Rock salt  ,Esankpaku 
Rod , Kwǎkwǎgúṇ 
Rodent  ,Kugbere 
Rodomontade,  Shemi 
Rodomontade,  Emishe
 Roll  ,Piṇ 
Roll , Èpiṇ 
Roly-poly , Bankoyi 
Roof , Patanti 
Roof , Zun Zunba 
Roofing , Ebazun 
Rooftop  ,Katangbeti 
Room  ,Kata
 Rooster , Bishebako
 Root , Gbèrè 
Root (origin) , Asali 
Rope , Egban 
Rope maker,  Egbanpinci
 Rosary beads,  Tasabi 
Rose  ,Kodzûn Korodzûndzûn 
Rose imperial , Gombara bagi 
Roselle  ,Emagi
 Rosewood , Zanci
 Rot,  Kó 
Rot (cloth) , Mu 
Rot (fruit),  Bo 
Rot (wood),  Giko 
Rot , Èkó Kódo 
Rotate,  Zhina
 Rotten , Vo 
Rotund  ,Gbianyi
 Rough (surface)  ,Kari 
Rough  ,Gbórogbòro 
Rough-and-tumble , Dzombodzombo 
Round (circular) , Kala 
Round (sphere) , Rubu 
Round (fat) , Dannyi 
Routine , Ekagi 
Row (line) , Elo 
Row (quarrel) , Kotoma 
Row (quarrel)  ,Ma koto 
Rowboat  ,Eya parongi 
Royalty , Lǒwàṇ 
Rub (apply),  Tan 
Rub (softly) , Zun
 Rub (actively) , Gbo 
Rubber , Ètegi 
Rubber tree  ,Cigbàṇ ete
 Rubbish,  Gbǎtì 
Rubbish(filth),  Enya 
Rubbish  ,Jin enya 
Rubicund , Bébé 
Ruby,  Tangangi Tangantangangi 
Ruffled  ,Wulawula
 Rug , Pocè 
Rugged,  Dzaga 
Ruggedness,  Dzagadzaga 
Ruin  ,Nyinye
 Ruin , Yenyi 
Ruin (building) , Gusa 
  
Rule,  Be 
Rule , Bibe 
Rule (for measurement) , Èmàṇgi 
Ruler,  Gbata 
Ruler (for measurement) , Èmàṇ 
Rumble  ,Wuja 
Rumble , Jawu 
Ruminant animal  ,Ebitaci 
Ruminate  ,Tabi 
Rummage , Gbegbe 
Rumour,  Tangota 
Rump  ,Dunduko 
Rumple  , Munumunu 
Run , Bici 
Runner , Ecibici 
Runner (courier) , Ezàṇgi
 Runner (plant),  Erí 
Running , Ecibi 
Runny (watery) , Woro 
Rupture , Gú
 Rupture (wound)  ,Èpógi 
Rush , Sanin 
Rush  ,Ninsan 
Rust , Kpe kazo Kpe Kadzo 
Rust  ,Kazo Kadzo 
Rustic  ,Gberi 
Rutabaga ,Baje 
Rye,  Kakpa 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
  
Saber  Shinpagi ,Ebi shinpa  
Sable , Tili 
Sabotage  ,Bagurabiye
 Sac  ,Tambutu 
Sack (in war)  ,Gi evun  
Sack  ,Gura  
Sacrifice  ,Bala Ebala 
Sacrifice , Laba 
Sacrum,  Kopin 
Sad,  Nyi nyạgbàn 
Sadden , Nyi nyạgbàn
 Saddle,  Esa doko 
Saddle , Pa sa Pa sadoko 
Saddle bag , Zabira 
Saddle blanket,  Sapa Esapa 
Saddlecloth,  Zabuka
 Saddle girth , Esadin 
Saddleless,  Barije
 Sadness,  Nyạgbànnyi
 Safe,  Sǎṇbo 
Safe,  Bogi 
Safeguard , Gu 
Safety  ,Ebwagi 
Saffron , Turi 
Sag , Laja 
Sagacity , Kóntágbạṇ
 Sagacious,  Lùkóntágbạṇ 
Sage,  Zagbangbanci 
Saggy,  Jala 
Sail , Pǐ 
Sail  ,Pipigi 
Sailor,  Piza 
Saint , Wali 
Sake for the  ,Tobo… bo 
Sake , Eboto 
Salad,  Cianciangi 
Sal ammoniac , Shinnada 
Salamande,r  Katangbinni 
Salary  ,Ewotswa Ewo etswa 
Sale  ,Nyạkún 
Saleable  ,Kunkunci 
Sales , Nyạkúnzhi 
Salesman , Zànyakunci 
Saliva  ,Micinni 
Salt  ,Esaṇ 
Salts  ,Cigbesan 
Salty , Yarayaranyi 
Salver , Bangashire Tasa bangashire 
Same,  Dozhin 
Sample  ,Màmakici 
Sampling , Màmakicigi 
Sanctuary,  Zhìbà 
Sanctum,  Dzǎmàṇta 
 Sand , Jìkàṇà 
Sandal,  Bandìṇ 
Sandbank , Gunji 
Sand divination,  Yisabi 
Sandfly , Bǐngi 
Sandle  ,Edagban Eda egban 
Sandpaper tree,  Kawusa 
Sandstone , Takunjikana 
Sap,  Bunú 
Sapling  ,Ebaba 
Sapphire , Taliki 
Sash , Èdzǎ 
Sash  ,Gbadza
 Sasswood  ,Lakpa
 Satan , Gùzhèzà 
Satchel , Ekpán 
Satiate , Funîn 
  
Satiated , Funîn 
Satiation  ,Nînfu 
Satisfactory  ,Kunye 
Satisfy,  Kunye
 Satisfy (satiate) , Funin 
Satin,  Antele 
Saturate  ,Tsori 
Saturated , Jin tsoritsori 
Saturday  ,Fontwa Efo twabàci 
Sauce,  Eni 
Sauceless , Jètsáṇ 
Sauce make, Luni Lu eni 
Saucepan  ,Dukunnilu 
Saucepot,  Dukunni 
Saucer , Nifigi 
Sauciness , Ragbanzhi 
Saucy  ,Zhiragban 
Sausage tree,  Beci 
Sauté,  Cin 
Savant , Zalilici Eza lilici 
Save (rescue) , Bò Bòya 
Save (money),  Sowo  
Save (except) ,Afede 
Savior , Zagin 
Savior (witchdoctor) , Bǒci 
Saviour , Zagin 
Savour  ,Marimari 
Savor , Marimari 
Say , Gan 
Saying  ,Egangan 
Saying (proverb) , Gancin 
Saxophone , Pampami
 Scabbard , Etswa 
Scabies,  Ekògi 
Scald,  Po 
Scalding  , Dzwam 
Scaldingly ,Dzamdzwamnyi 
Scale (for weighing) , Tsunwangi 
Scale (pot) , Èbǎ 
Scale (fish) , Gulu
 Scale (iron)  ,Fiafia Nyankpa fiafia
 Scallion , Lowogi
 Scam , Shianci 
Scamp , Èkpa 
Scan,  Fu 
Scanty , Katakpoti 
Scar  ,Ritin Erie tin 
Scarab , Gbangunnu 
Scarce,  Fialia 
Scare , Waniko Wanikosa 
Scarecrow,  Ezhín
 Scared  , Sawaniko 
Scarf ,Dzùmà 
Scarify , Katsa 
Scarification,  Etsa
 Scarification mark , Etsaye 
Scarlet , Bondo 
Scatter , Gaya 
Scenery , Bayě 
Scheme (plot) , Kpìn 
Scheme (plot) , Kpìgi 
Schistosomiasis , Vidìṇnìkáṇ 
Schizophrenia  ,Zanazana 
Scholar (Islamic),  Mâṇ 
School , Makanta 
Schoolbag, Ganfaka 
Schoolteacher  ,Nda makanta 
Science  ,Kpega Kpikpega 
Scientific  ,Kpegagi 
Scientist , Kpegaci 
Scimitar,  Tamuga 
  
Scissors , Makashi Sizosi
 Scoff , Kpègè 
Scoff , Ègè 
Scold  ,Nawun 
Scolding , Ewunna 
Scoop , Kpantoro 
Scope , Làgǎṇ 
Scorch  ,Vunna 
Scorching  ,Sudanyi 
Scorchingly ,Sudasudanyi 
Score (twenty) , Eshi 
Score (notch),  Ègwà 
Scorn,  Lafi
 Scorn , Efila
 Scorpion , Kínkèrè 
Scorpion (sand scorpion) , Napísí
 Scoundrel , Zebi 
Scour (search), Kpinba za 
Scout , Màtswá 
Scout , Tswàmà 
Scouting  ,Tsutswàmà 
Scowl, Beyeba
 Scowl , Yebe Eyebe 
Scrabble  ,Gigwa 
Scraggy  ,Kazhianyi 
Scramble  ,Gigwako 
Scramble (for),  Díṇ 
Scrap , Kùtùgi
Scrape , Wa 
Scratch  ,Wa Wa vundunnu 
Scratch (itching),  Le 
Scream , Tiwu 
Screech  ,Sawu 
Screw,  Kàṇtsa 
Screw  ,Pa kàṇtsa 
Script  Rubutu 
Scripture, Litafi 
Scrotum , Tsugbadun 
Scrubland , Pǔlú 
Scruffy,  Kpalà 
Scum,  Kodo 
Scurvy , Gbesan 
Scythe , Goke Ego ke 
Sea  ,Èlà 
Seal  ,Tè 
Seal (stamp) , Tèguṇ Ètè eguṇ
 Seal (ocean mammal) , Shìdùsạn Eshì edùsạn 
Seaman,  Ndǎdù Ndǎ edù 
Search,  Waza
 Searing  ,Gaganyi 
Seasoning,  Ninyạ 
Seat,  Cetsùṇ 
Seat (in a canoe),  Èko 
Second , Bàci 
Secondary , Bàcikun 
Second nature , Gborogbozhin 
Seconds (food)  ,Yegi katsan 
Secours  ,Sanban 
Secret , Efiá 
Secret , Fiá 
Secretly ,Fiányi
 Secretary , Egwakóba 
Secretary , Egitunba 
Sect , Wurùmi 
Section  ,Swagi Eswagi 
Sedge  ,Ceyi 
Sedge (for perfume),  Efákó 
Sediment , Gbwàdwà 
See  ,Leye
 Seed  ,Edzò 
Seedling  ,Gbegbe 
  
Seeing  ,Yele 
Seek  ,Tìṇ 
Seem,  Ke 
Seer  ,Ebaboci 
See you later!  ,Wun a zhe kandoci! 
Segment,  Bisa
 Seism , Kishe Kinshekpe 
Seize  ,Bò Bòlò 
Seizure , Bibò 
Select , Tsà 
Selection  ,Tsitsà 
Self , Eyê 
Self-effacing ,Soye
 Self-important , Tu kunti
 Self-importance , Tinkun
 Self-important,  Kunti 
Selfish,  Wòye 
Selfishness , Yèwo 
Sell , Kun 
Seller  ,Nyakunci 
Selvage , Tukpati 
Semen,  Yence 
Semisolid , Dàbò 
Send  ,Tun Tuntun 
Senescence ,Datidzo
 Senile,  Jin nusako Nusako 
Senior  ,Nugùṇci
 Senna , Filasiko 
Senna (tea),  Gabaruwan kasa 
Sense  ,Egbáṇ Gbáṇro 
Senseless , Ṇámù 
Sensible ,  Gbáṇ 
Separate,  Kanyi 
Separate,  Gan 
Separately , Kakanyi 
Sepulcher , Ruwo 
Serf  ,Fenú 
Serious  ,Luye Lu eye 
Seriousness  ,Yelu Eyelu 
Serpent  ,Duwa 
Serpentwood , Lialiagi 
Serum , Ègbàṇ
 Serval,  Èmàṇgi
 Servant  ,Zàwun  
Serval , Emagi 
Serve (work for) , Wun
 Serve (food)  Fi Service,  Wunwun 
Service (religious),  Ibada
 Sesame,  Eso
 Set,  Eda 
Set aside,  Wa ka 
Set down,  La shishi 
Set free,  Jin ceto 
Set on fire,  Dan na
 Settle (camp) , Wando
 Settle (sediment),  Shi
 Settle (conclude), Ekpankpe
 Settlement (camp) , Edo Edowan
 Settlings  ,Tiatia
 Setup,  Gbúlú 
Seven , Gutwaba 
Seventh  ,Twabaci
 Seventy , Adwani
 Sever , Te Dzá 
Severe  ,Tsanan
 Severity  ,Natsan Enatsan 
Sew  ,Kin 
Sew (stitch) , Gun 
Sex , Ciṇ 
Sex  ,Ecin 
  
Sex (gender)  ,Ciṇkuṇ 
Shabby  ,Swakun
 Shackle,  Kurù
 Shackle , Dan kurù 
Shade  ,Wùrù 
Shades (ancestors)  ,Koyì 
Shadow , Fìfíṇgi 
Shaft , Mícìṇ 
Shaggy,  Furagi 
Shake , Du 
Shake (tremble)  ,Kùn 
Shake (body parts),  She 
Shake down,  Kundan
 Shake hands,  Yagwa 
Shake head , Pan ti 
Shake off  Kunya ,Kun ya 
Shake out  ,Miya
 Shake up  ,She Shekpe 
Shall , Gà ’à
 Shallow,  Piaria 
Sham , Kulelegi 
Shame , Gbinkó  
Shanty  ,Tokpe  
Shape,  Nayì 
Share,  Gáṇ tònto 
Share , Tònto 
Shares,  Tòntozhì 
Sharp,  Gi 
Sharp (quick-witted) , Gbódzú 
Sharp (keen) , Nu 
 Sharpen,  Lè 
Shatter  ,Sa Saya
 Shave , Jin giaria
 Shavings,  Cikara 
Shawl , Fangi 
She , Wun  
Shea  ,Eko kpara 
Shea ,butter  Míkòte Mǔkòte 
Shea fruit , Kòmbó 
Shea kernel , Kporo
 Shea nut,  Ekò 
Shea tree , Kòci  
Shea tree (hard one)  ,Kéré  
Sheaf  ,Yipa Eyipa Epa 
Shear  Mu ,Muya 
Shears , Alumakashi 
Sheath , Efa 
Sheave , Yìga 
Shed,  Rufa 
Shed (skin) , Wafa
 Sheep , Ěkin Kingbagba
 Sheep (general term for sheep and),  Nangi 
Sheer  ,Tsaba 
Sheet  Fere ,Feregi 
Sheikh , Shéwù
 Shelf  ,Kpiakpia 
Shell , Yě 
Shellfish,  Kange
 Shelter  ,Efûn
 Shepherd,  Nạkàṇci Enạkàṇci
 Sheriff  ,Olokpa 
Sherd  ,Vonkpara 
Shield , Wògiri 
Shield (face shield),  Kpátá 
Shield(hand shield) , Kùkélè 
Shiftiness  ,Ekugi 
Shifty , De ekugi 
Shilling , Sule
 Shilling (silver)  ,Liyan 
Shin  ,Rogbó
 Shine,  Banna 
  
Shingles , Enayeshi 
Shingle wood  ,Eji 
Shining,  Enaban 
Ship , Mạnda 
Shirr  ,Tuṇba 
Shirt,  Èwò 
Shiver , Kun 
Shiver , Kunkun 
Shoal  ,Yara 
Shock , Do Li do
 Shock,  Doli
 Shocked,  Lido 
Shockheaded , Gizo 
Shoddy , Twatwan
 Shoe,  Èdà 
Shoe (cover shoe) , Wufi 
Shoe lace , Dàdìṇ  
Shoe last  ,Cigban kubuta 
Shoemaker,  Èdàkinci 
Shoe put on ,Dạn èdà 
Shoot  Ce Shoot (gun) ,Ke nạtso
 Shooting star  ,Tswangi ceperegi 
Shop,  Edagi 
Shore , Kákpạn
 Short  , Gba 
Short (person) , Kukurugi Eza kukurugi 
Short (thing) , Kolu 
Shorten,  Koke
 Shortsighted , Jin mishi 
Shortsightedness,  Mishi 
Shotgun  ,Nạtsoke Nạtsokùṇ keci 
Should , Gà ’à
 Should , Gá 
Should (in case),  Abeke 
Shoulder,  Ekpá 
Should in case , Abeke 
Shout  ,Kpogun 
Shove , Kunlo 
Shovel , Katampa 
Shovelful  ,Ebo 
Show , Wú Lawú
 Show,  Èwú 
Showcase,  Wúgwa
 Showing,  Wúwú 
Shower , Shedù 
Shower  ,Dùshe Èdùshe
 Show off  ,Loye 
Showing off  ,Eyelo Yelo
 Shred  ,Sankoro
 Shrew , Gàdànjì 
Shrewd , Gbodzu 
Shriek , Kowu 
Shrimp,  Katsagi 
Shrine  ,Gunnuba 
Shrink , Gbǎ 
Shrink (cloth) , Fù Fùba 
Shrink (decrease) , Yìkú
 Shriveled , Gegere 
Shroud,  Gántárìgǐ 
Shrub,  Enu 
Shuck , Kparagi 
Shudder  ,Kpakakpaka
 Shun,  Dakia
 Shush,  Fa 
Shut , Tsu Kpe 
Shutter , Shegi Eshegi 
Shuttle , Yikaci
 Shuttlecock  ,Koshiya 
Shy ,  Sunzùṇyě 
Shyness,  Zùṇyěsuṇ  
  
Siam weed  ,Ekpe gbakun 
Sibling  ,Yegi 
Sick,  Sân 
Sickle , Lenzhe 
Sickness , Nyasân 
Side,  Kàṇsàṇ
 Sideboard  ,Kpàkota 
Sideburns  ,Somgbàká 
Sidestep , Sakato
 Sideways  ,Ebama 
Sieve  ,Sanmi
 Sieve,  San 
Sigh  ,Kposun Kpo esun 
Sightless,  Làràci 
Sightlessness,  Làrà 
Sign,  Èlǐ 
Sign (brand) , Kara
