Habit , Ebó  
He , U Wun Nwi 
Head (Modern Nupe) , Etí 
Head (Old Nupe) , Ètsò 
Head (biology)  ,Tuko 
Head (leader) , Tíshì 
 Head (lead),  Shìtí
 Head (go) , La ti tun 
Headache,  Tsoro 
Headband , Sagiti Esagi eti
 Headboard  ,Leti 
Heading (leadership) , Etishi 
Heading (going)  ,Etitun Etilatun
 Headman  ,Tukó 
Head of State  ,Tishikin 
Head rest,  Letí  
Headscarf , Rufuta 
Headgear  ,Kanbi 
Headsquare , Dankwali
 Headstrong , Gbotika
 Headstrongness , Etigboka
  Heal   Health,  Èdǎ 
Healthy,  Dǎyè 
Heap (yam mound) , Èwò Wogba
 Heap,  Kpajê 
Hear,  Wo 
Hearing  ,Wuwo 
Heart (the organ)  ,Eci 
Heart (the shape)  ,Eko Ekogi 
Hearth  ,Nance
 Heat , Nạguṇ
 Heathen  ,Hanhan 
Heat season , Banagun
 Heave  ,Kekan
 Heaven,  Shemi 
Heaviness  ,Èkpiṇ Ekpiṇlu 
Heavy,  Lukpiṇ 
Heavyset , Buru 
Hectic , Gaganyi 
Hedge-hog,  Kurengbe 
Hedonist  ,Gbafaduria
 Heed , Ka 
Heft , Dzu cinle 
Hefty  ,Kpácí 
He-goat,Wuria 
Heel , Bòkùn Bìcí bòkùn
 Hefty , Lakpa 
Height  ,Ètoke 
Heir  ,Magaji 
Heir apparent  ,Makun 
Heliotrope  ,Etigulu Eti gulu 
Hell , Èmìnạ Èmì enạ
 Hell fire , Nạnku Enạ eku
 Hello ,Alo 
Helmet , Marufa 
Helmet (metal)  ,Kpankpan 
Helmsman , Yazunfeci 
Help , Cewu 
Help  ,Wuce 
Help (aid) , Cewú 
Help (give a hand)  ,Dangwa
 Help (relieve)  ,Gogwa 
Helpless,  Jin takayici 
Helplessness , Takayici
 Hem  ,Yapa
 Hemi,  Gandan 
Hemorrhoids , Kombila 
Hemp,  Nyimfùrù 
Hen  Bise, yíwó Bishe 
Hen-coop , Ega bishe 
Henna,  Lǎli 
Her ,U Wun Nwi
 Herb  ,Cigbe Medicine (Egun) 
Herbalist  ,Gbénya 
Herd  ,Kan 
Herdsman,  Enakanci 
Here , Babo
 Hereafter,  Èku 
Heritage,  Ègbâshì
 Here it is , Wun dana 
Hernia,  Epo
 Hero  ,Maza 
Heron  ,Nyiwanyiwa 
Herpes , Ena
 Herself , Wuntso 
Hesitate , Jin tanti 
Hesitation , Tantitanti
 Hew  ,Mi 
Hex  ,Tágùṇ 
Hex- , Tágùṇci
 Hexa- , Tágùṇci 
Hexamine , Sạnmạgitágùṇci 
Hibernate  ,Geyé 
Hiccough,  Shíkià
 Hiccough , Ekiàshí
 Hidden,  Susoci
 Hide  ,So
 Hide , Kpana 
Hide-and-seek , Wurúngi 
Hide-and-seek play  ,Kpewurúngi 
Hideout , Èsóbà 
High  ,Keto
 High-level  ,Gbabara 
High priest , Zhìgì 
High-spirited , Wonakan
 Highway  ,Dzùko 
Hill  ,Epé 
Hill (small),  Fèlělègǐ 
Hillock,  Kùnkùn 
Hil,t  Dùṇmǔ 
Him , U Wun Nwi
 Himself , Wuntso
 Hinge , Kere
 Hinterland , Kinti
 Hip  ,Eshin 
Hippopotamus,  Kankuru
 Hire , Jin lada
 Hiring  Ladajin
 Hiss  ,Latswáṇ 
History,  Ètàṇ 
History relate,  Kpiṇtàṇ 
Hit (punch) , Danya 
Hither and thither , Celo cezhin
  Hives  ,Eshiko 
Hoary , Alugbo 
Hobble,  Gbashì 
Hobble (rope)  ,Kondorogi 
Hockey,  Gòròkùṇ
 Hoe  Dugba 
Hoe (small one)  ,Pótóníṇyàgi 
Hoe (a medium-size type) , Katampà 
Hoe (a large one), Zukùṇ Zukùṇkó 
Hoe (very large one),  Dugbashe 
Hoe (for weeding),  Dàmpara 
Hoe , Bán 
Hoe (slang),  Gbofú 
Hoe (slang)  Gbonu 
Hog , Suriagi 
Hogweed , Tankpolo nyila 
Hoist , Dzu
 Hoist , Kpako 
Hold , Lagwasun
 Hold on,  Pata Pa ta 
Hole,  Èfo
 Holiday , Yefa
 Holiday , Faye 
Hollow (concavity) ,  Vunnu 
Hollow (hole)  ,Foto Fòròfoto 
Holy  ,Shìrǔ 
Holy Spirit , Guzhe Shìrǔ 
Home,  Èmì
 Home-breaker , Lómìlámì 
Homeland  ,Kinmi 
Homesick  ,Wanfemi
 Homesickness , Efemi
 Homestead , Éyí 
Homework , Mùci 
Homicide  ,Kponu 
Homosexual  ,Ciṇdò Ciṇ dòzhǐ 
Homosexualism,  Dòzhǐciṇ
 Hone , Gè 
Honest  ,Lakadanyi 
Honest , Lakada 
Honey , Èfú 
Honeybee , Bini 
Honeycomb,  Parafu Para efu Efu para 
Honing , Lile 
Honour,  Cinwan
 Honourable (person) , Eza cinwonci 
Hood , Koro 
Hoodwink,  Lovo 
Hoodwinking , Volo Evolo 
Hoof ,Èkú 
Hook  ,Gòrò 
Hooked ,  Kòtò  
Hooker , Shiankalagi 
Hoop , Kangba
 Hoop  ,Ka 
Hoot owl , Yishigi
 Hop , Tsunkia Tsun kiankia
 Hope  ,Cemù 
 Hope , Mùce
 Hopeless , Wofi 
Horde,  Baban
 Horizon,  Nugúṇfìṇ 
Horizontal , Nugúṇfìṇci
 Horn (of animals) , Guru 
Horn (bugle) , Ema  
Horn , Sama 
Hornbill,  Gbạndungbandun
 Hornet  ,Ékpín Kpinni
  Horse,  Èkiá Kiákiá Dòkò
 Horse ,bean  Bangi 
Horse-boy  ,Èkiákpaci 
Horse feed  ,Alikiangi 
Horsefly , Gibo 
Horseman , Èkiáci 
Horserace , Dokomi 
Horse rider,  Èkiátuci 
Horse rope , Egban èkiá 
Horsefly , Gǐgbô 
Horseman,  Èkiáci 
Horseradish tree  Tambo ,yákági 
Horse trainer , Èkiázàṇwǔci 
Horrible , Dèdè 
Horrify  ,Wǒdo
 Horrifying,  Èdowǒ 
Horror , Èdogi 
Hospital , Gunsaba Egunsaba 
Hospital,  Kuga 
Hospitability , Egaku 
Hospitalize,  Kanta 
Host (crowd)  ,Bambafu 
Host (guests)  ,Gagòci
 Host,  Gòga 
Hostess  ,Gagòyíwó 
Hot , Wónạ 
Hot , Yipa Bipa 
Hotheaded person , Ewu 
Hotel , Gakuba Egakuba 
Hotelier,  Gakuci Egakuci
 Hot season  ,Banagunka
 Hound , Èmǐ 
Hound , Damǐ 
Hour , Kákuṇ 
House,  Àbùgi 
Houseboy  ,Egi kata 
Housefly , Dinni 
Household  ,Zamizhi Eza mizhi 
Householder,  Emitso 
Housekeeping , Shena Eshena 
Housemaid’s knee , Koko vokpa
 Houseplant , Tsutapawu  
Hour , Èsà 
How ,Kena o 
However ,Kendona
 Howl  ,Towú 
How many  ,Gunkin
 How much  ,Wokin 
Hug , Lá gwa gbà 
Huge,  Banti 
Hugging , Egwalágbà 
Hulk (ship)  Eyatikolu 
Hulk (large)  ,Gbaga 
Hulking , Gbagala 
Hull , Eya zunma 
Human being,  Zàwǎngi 
Humanity (mankind)  ,Zangoti 
Humble,  Dakpia
 Humbleness  ,Ekpiada
 Humble person,  Migbaci Emigbaci 
Humbug  ,Duba 
Humility,  Kudiri 
Hummingbird , Elukpantorogi 
Hummock,  Gbongbo
 Humour (fun)  ,Tsanka Etsan ka 
Humour (body fluid)  ,Gbannin Egban nin
 Hump,  Eban
 Hump (cow),  Tozo
 Hunchback  ,Bukiá 
Hundred , Shitsun 
Hundred and twenty  ,Shitswanyi 
Hunger  Mạndạngùṇ 
Hungry  ,Gùṇ mạndạn 
Hungry person,  Mạndạngùṇci
 Hunk,   Tsatsagi 
Hunkers , Goloma 
Hunt  ,Egbè
 Hunt , Gbè 
Hunt (in group)  ,Dagbe 
Hunt (night) , Manakan 
Hunter  ,Ègbèci cf Grandmaster 
Hunter (Chief hunter)  ,Ndagbe 
Hunting , Nagbe 
Hurdle,  Wafuru 
Hurrah ,Ayo 
Hurricane , Vùṇvùṇ 
Hurricane lamp,  Fitila koyigi 
Hurt , Tan 
Hurry  ,Sáṇnîn 
Hurrying , Nînsáṇ
 Husband , Eba 
Husband-snatcher  ,Ebágògi 
Hush  ,Vo 
Hushed  ,Tsunyi
 Husk , Barwa 
Husky  ,Danci 
Hustle , Jin bakanta 
Hustler,  Bakanta 
Hut,  Èvuṇ 
Hut (barn) , Gbàvuṇ 
Hutch,  Shiga 
Hyacinth bean , Finzo 
Hydride , Mạnuwạnri 
Hydrochloric acid  T,sàrìgi Gónumạnu
 Hydrochloride  ,Gónumạnugi 
Hydrogen,  Mạnu Mạnuwạngi Yémạnuwạngi 
Hyena,  Màkuṇduṇnu 
Hyper-,céci cicéci 
Hyperactivity  ,Bibákàncéci 
Hypertension , Egiagun Giagun 
Hypocrisy , Dàngida 
Hypocrite , Dàngidaci
 Hysteria , Kpatatsozhi
 Hysteric,  Kpatatsogi 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 

