Mace , Eman 
 Moat  ,Bangushe; Eban gushe 
Mob (crowd) , Bege
 Mobile  ,Kégà
 Mobile,  Gàké 
Mobility , Èké 
Mock , Jin tsama 
Mock  ,Tsama
 Mode  ,Mámi
 Moderate,  Zázá
 Modern,  Zhiankarago
 Modernize  ,Go zhiankara 
Modest  ,Gbàyà 
Modesty  ,Yàgbà 
 Modify , Zhegba 
Moisten , Da
 Mohair , Ranta
 Moisture,  Yètò 
Molar , Kokoroko 
Mold  ,Mi 
Mole  ,Eshiáṇkó 
Moment  ,Kákùn
 Momentarily ,Kákùnyi
 Momentous , Kpiàṇkùṇ
 Mommy  ,Mámá  
Mona (monkey) , Dǎkò 
Monarch  ,Kuti
 Monday , Fonbà; Efo bàci 
Money,  Ewó 
Money (coin) , Akpa
 Moneybag  ,Gurawo 
Mongoose , Nyakan; Nyankangi
 Mongrel  ,Gikatamba; Egi katamba
 Monitor , Danye
 Monitor lizard  ,Ebo
 Monkey , Ebe
 Monkey (black)  ,Dako 
Monkey (small),  Kánạ
 Monster , Wáká 
Month  ,Etswafo; Etswa efo 
Monument  ,Kutiba 
Mood,  Bugba 
Moon , Etswa 
Moon,  Ce 
Moonlight , Efiá 
Mooring-pole  ,Enyangudu 
Mop,  Mamaka
 Morass , Gbodonji 
More , Jesun 
Moreover, Be acinga e be 
Morn  ,Asuba 
Morning,  Lazhin
 Morning glory,  Edzògi 
Morning glory (swamp)  ,Daman 
Morning glory vine  ,Lakankpo
 Moron  ,Tatanawungi 
Morphology  ,Kpikpemiyé
 Morrow  ,Yeli 
Morrow , Liye 
Morsel  ,Loma 
Mortar  ,Donci 
Mortar (cannon) , Bindigako
 Mortar (cement),  Longoro
 Mosque  ,Salaba; Saraba 
Mosquito  ,Emagi 
Mosquito net  ,Èdě magi
 Moss , Ègiṇ 
Most , Dokundo
 Motel  ,Ecindan 
Mother , Ǹmá 
Mother-in-law  ,Bayiwo 
Motherless child,  Céyagi 
Motion  ,Tiántiá 
Motion , Tiá 
Motive  ,Tiárí 
Motor  ,Tiági; Tiántiági
 Motorcycle  ,Kurugbàtiági 
Motorcycle (informal)  ,Pupugi 
Mould , Mi 
Mouldy ,  Rufugi 
Mould,  Rufu
 Moult,  Sannyi 
Mound , Dankun
 Mountain , Pati
 Mountain beaver ,Gbaragi 
Mount Sinai , Pátí Siṇa 
 
Mouse  ,Kòshiangi 
Mouse (field)  ,Ndǎkó dagbagi
 Mouse (striped field)  ,Gbárági 
Moustache,  Gbenyi 
Mouth,  Misun; Emi 
Mouth (biology),  Egbê 
Mouth orga,n  Binakun 
Move (general term) , Kiá
 Move (biological)  ,Ma 
Movement,  Èkiá 
Movie,  Kiánkiági 
Mow , Gbě 
Mown , Gbě 
Mr  ,Àmà 
Mrs  ,Àmá 
Much  a,Kùngba 
Mucky , Shiakia
 Mucus  ,Ecin
 Mucus (dried) , Ecin kankanigi 
Mucus (running) , Ecin worogi 
Mud,  Edò 
 Muddle , Ta yeteyete 
Muddle,  Yeteyete 
Mudy , Ciankian 
Mud house , Kodondo
 Mudu (Cereal Measure) , Gwayì 
Muezzin,  Ladan 
Mug,  Lema
 Mug (fool),  Nyazhé
 Muggy , Tsaman
 Mule  ,Dzǎka
 Muller  ,Gintun 
Multiply  ,Bekpan 
Multitude , Eji 
Mum,  Wanfugi 
Mumble  ,Ta kanaji 
Mumbling,  Kanajikanaji; kanaji 
Mumps , Gboringbori
 Municipality , Zhigwala; Ezhigwala
 Murder , Kpònu
 Murder  ,Wu kpònu
 Murderer , Kpònugi 
Murky ,Tsuna
 Muscle,  Nyavun
 Muse,  Lolo
 Mushroom , Munu
 Mushroom (edible) , Baci 
Mushily , Nyamanyamanyi 
Mushy,  Dubú 
Music,  Ètò 
Musician , Torokoci
 Musk  ,Zúda
 Musket,  Agba 
Musketeer , Agbaci
 Muskrat  ,Eshinuwan; Eshigi nuwan 
Muslim , Mùsùlìmi 
Muslin,  Sata 
Mussel  ,Àkàngu 
Mussy , Taratara 
Must , Tile
 Muster , Dankun
 Muster  ,Kundan; Ekundan 
Mutant , Kpambasogi 
Mute,  Sagi 
Muted  ,Sagisagi 
Mutiny , Jin tawaye 
Mutiny  ,Tawaye 
Mutual,  Kunsun 
Muzzle,  Gunmika -mycete  Kuru- 
 
My Lord!, Ebà! 
Myself , Mitso   

