I , Mi 
Instruct , Wutun 
Instruction  ,Tunwu
 Instructor  ,Tunwuci 
Instrument , Nyatunwugi
 Instrumental  , Jin nyatunwugi 
Insufficient  ,  Gba
 Insult , Gitomi 
Insult,  Tomi; Tomigi 
Insure  ,Bányạgbàn; Bá nyạgbàn 
Insurance,  Nyạgbànbá 
Intact,  Gunguru
 Intake,  Gínyi
 Integer  ,Fenigi; Fennyi gi 
Integral , Fennyi
 Integrate,  Jin fenigi
 Integration , Fenigijin 
Intelligence , Yěṃà 
Intelligent , De yěṃà 
Intelligent person ,Yěṃàdeci
 Intend , Shìkpà 
Intense   ,Tsana 
Intensify , Tsana 
Intensity , Natsan; Enatsan 
Intention  ,Ekpàshì; Kpàshì 
Intentionally ,Shìkpàshì
 Inter alia , Nimi azhi o
 Interact,  Lena 
Interaction,  Nale; Enale 
Intercede,  Baye 
Intercession , Yèbà 
Intercept,  Cédzùṇ
 Interest,  Èfà 
Interest (in commerce)  ,Shiàshià
 Interested be , Fàyě 
Interest show , Fàyě 
Interfere,  Cegwazun
 Interference , Gwacezun 
Intermittent,  Kandokando
 Intern,  Dzu; Dzukun; Dzu ekun 
Instigate , Sawun
 International,  Kinmacidozhi 
Interpret,  Goyegan 
Interpretation , Gugoyegan
 Interpretation  ,Gugoyegan 
Interpreter  ,Gogan; Gogayeganci 
Interrogate , Nyabo
 Interrogative article,  Bô
 Interrupt  ,Figbê 
Interruption , Gbêfi
 Interval , Gandan
 Intervene,  Dan gan mi  
Intestine , Edzungi 
Intimacy , Sabo 
Intimate  ,De sabo
 Intimate,  Yifefi
 Intimidate  ,Dobafi 
Intimidation,  Ebadofi
 Intoxicate,  Gbạṇ 
Intoxication,  Gbigbạṇ 
Intractable , Cingan 
Intricate , De doninya
 Intricacy , Doninya
 Introduce, Kpinsun 
Introduction , Sunkpin 
Intrusive , Koye 
Intrusiveness,  Koyekoyegi 
Inundate,  Fugi 
Inundation,  Efugi
 Inure , Gba naka
 Invention  ,Dzóndzóró
 Invent,  Dzóró
 Inverted,  Dibi 
Invest , Dzo
 Investigate , Kpinba  
Investigation,  Bakpin
 Investmen,t  Wúfạn; Awúfạn
 Investor,  Zawúfạn
 Invisibility medium,  Bazhiko
 Invitation,  Kanyà 
Invite, Nyànka
 Invoke,  Bú 
Involve , Dangwa 
Involved (complicated) , Gbagagidi 
Inward ,Nin nin Ire  Funtsu
 Irate , Jin Funtsu
 Irish potato  ,Duku Nasara
 Iroko  ,Wuchi; Roko
 Iron  ,Nyạnkpa 
Iron , Ko
 Ironweed  ,Egiagi 
Ironweed (small one) , Tsula bishe
 Ironworker , Kpankpagi
 Irrigate,  Ta nuwan 
Irrigation , Nuwanta
 Irritable,  Fú
 Irritate,  Gě 
Irritation  ,Funtsusun
 Is (be),  Yi 
Is (continuous) , Ga e 
Is ,Mạ 
Is it? , Beke… na 
Is that so? ,Ko? 
Island  ,Esùṇ 
Isle,  Kòsùṇ
 Isolate , Badan
 Israel , Isirayila 
Issue (disease)  ,Tsaratsoro
 It  ,U; Wun; Wuncin
 Itch , Lé
 Itch , Lilé 
Itching,  Lile
 Item,  Nyạkàn 
Itself  ,Wuntso 
Ivory,  Nyikan dagba  

 
 
 
 
 

