Surah 39:1   ,   The revelation of this Book is from Allah the Exalted in Power full of Wisdom.,Cin cin yan Litafi nnan dagan eba Soko bo nan yi Etsu zankpe nan u ma yi Etsu hikima nan.
Surah 39:11 ,       Say: "Verily I am commanded to serve Allah with sincere devotion;,Gan gan: Akika a jin mi foro kede mi'inji bawa'nya Soko gbaugi nan. Mi man'nla edzuta-nla-ndan jin-jin yan adinio ebo'ubo.Surah 39:12    "And I am commanded to be the first of those who bow to Allah in Islam."Ama jin mi foro gan min lanfe-ndan mini za nanzhi yi kakanca eba kpatsun ta ya Soko nao.
Surah 39:13  ,      Say: "I would if I disobeyed my Lord indeed have fear of the Penalty of a Mighty Day.",Gan gan: Akika mi'e sundan yan lenba yan Tsoci mi ebo azaba yan efo nan wancin nao.Surah 39:14     Say: "It is Allah I serve with my sincere (and exclusive) devotion:Gan gan: Soko gbaugi ga mie jin bauta yao. Mimae la adini mi tadzu yau.
Surah 39:15  ,                "Serve ye what ye will besides him." Say: "Truly those in loss are those who lose their own souls and their People on the Day of Judgment: Ah! that is indeed the (real and) evident Loss!,Efe jin bauta yan nan ga bae nan ke Soko lugwa. Gan gan: Akika za nanzhi yi eza asarazhi nan a ga yi za nanzhi ga ajin asara yan etitacin'a to yan iyaliazhi efo alkiyamiy nao. Akika wuncin ga yi a sara nantso a tula nao.
Surah 39:16      ,         They shall have Layers of Fire above them and Layers (of Fire) below them: with this doth Allah warn off his servants: "O My Servants! then fear ye Me!",A yi be rufazhiy dagan mini enao fitiabo yantaci yan enan ma'akezhe dan takoabo. Nannan ga Soko e la li wuzhi'uzhi dan'o. Ya ye wuzhi Mizhi efe tswa Mi re.
Surah 39:17   ,        Those who eschew Evil- and fall not into its worship- and turn to Allah (in repentance)- for them is Good News: so announce the Good News to My Servants-,Zananzhiy ma 'a kpeya be bauta jin ya kutizhi nan a ci kezhe'a egwasun bauta Soko nan yangban fa wun'ajin tabbata ya'a (dan Aljannao) fe ya wuzhi Mizhi labari yan yangban fa.
Surah 39:18  ,          Those who listen to the Word and follow the best (meaning) in it: those are the ones whom Allah has guided and those are the ones endued with understanding.,Za nanzhi e shitukpa ya egan nan acie lamitu bolobolo'u nan za wuncinzhi ga Soko wu bao a ga mayi eza ankalizhio.
Surah 39:19   ,      Is then one against whom the decree of Punishment is justly due (equal to one who eschews Evil) Wouldst thou then deliver one (who is) in the Fire,Ngba zanan kalma azaba wun'ajin tabbata ta eti ubo nan (Wyo la za wuncin ke eko wo) Kashi za nan gaa lo gun enao nan wyo wa'u tinya wo
Surah 39:20     ,              But it is for those who fear their Lord. That lofty mansions one above another have been built: beneath them flow rivers (of delight): (such is) the Promise of Allah: never doth Allah fail in (His) promise.,Amma'de. Za nanzhi gae sundan Sokonan a yi be katazhiy kpe fitia bo ganni be kata ndocizhi nanzhi yi tutuci nan nuwan zhi afe je fi tako'shin'abo na Nannan alkawali ko uyio Soko mae le alkawali baa.
Surah 39:21   ,                           Seest thou not that Allah sends down rain from the sky and leads it through springs in the earth Then He causes to grow therewith produce of various colours: then it withers; thou wilt see it grow yellow; then He makes it dry up and crumble away. Truly in this is a Message of remembrance to men of understanding.,Ye leye gan Soko gae du'le zhin dagan sanma boa Uci'u la'agan dan mini eye nuwan zhio nanzhiy fi kinbo na'a Gancin U cie la yangici sun-sunzhi tinya iri irizhi. Gancin U ci gaa wo uci gazhe dzukan dzukan. Gancin uci gaa zun-ya. Akika mini wuncin'o ayazhi danbo ya zanazhiy ga de ankali nan.
Surah 39:22    ,               Is one whose heart Allah has opened to Islam so that he has received Enlightenment from Allah (no better than one hard-hearted) Woe to those whose hearts are hardened against celebrating the praises of Allah! they are manifestly wandering (in error)!,Ngba za nan Soko ga yangban'u fe gwigwoci ya musulunci nan u cia fe dan mini haskeo dagan nko Tsoci'ubo nan (U ga'zhe ye'ni be za nan yangban'u wun'a tsu nae) Akika azaba tsuntsunu wun'ajin tabbata ya zanan yangban'u gaa: wo ke pipa Soko lugwa nan. Zawuncinzhi a fe dan mini egbin nantso atula nan.
Surah 39:23    ,                             Allah has revealed (from time to time) the most beautiful Message in the form of a Book consistent with itself (yet) repeating (its teaching in various aspects): the skins of those who fear their Lord tremble thereat; then their skins and their hearts do soften to the celebration of Allah´s praises. Such is the guidance of Allah: He guides therewith whom He pleases but such as Allah leaves to stray can have none to guide.,Sokoa egan nan gye gan egan kpata nan cin be Litafi Alkur'anu nan be dozhi nan u ma yi be fuska gubae (gangba be labari yangbanfae). Epa nankan kpace yan zanazhie sundan Soko nan wun'ajin ufe zhe dozhi be gbigbau yin epa'zhi mae la fu yeko yangban'azhi maashe be pipa Sokoe. Wuncin bawu Soko Uyio za nan ma ga bau nan wun'e lau wuba be Alkur'anuy. Akika zaeni ndondo nan Soko ga'u gbin nan aa de zando na'awu'u ba wo be na'a.
Surah 39:24,            Is then one who has to fear the brunt of the Penalty on the Day of Judgment (and receive it) on his face (like one guarded therefrom) It will be said to the wrong-doers: "Taste ye (the fruits of) what ye earned!",Ngba za nae tswa eti tacin'u be azaba dede yan alkiyamiy nan (u ga zhe yeni be za nae tswa'a nae) A cia gan be azwalumi zhiy gan: Efe fin azaba yan etun dede nanzhi yetso lo nan.
Surah 39:25    ,     Those before them (also) rejected (revelation) and so the Punishment came to them from directions they did not perceive.,Za nanzhiy shiadzo nan atsoa egan Soko yi ganmanan azaba ci fe be ya' dagan ba nanzhi a kpa ye tua nan.
Surah 39:26 ,          So Allah gave them a taste of humiliation in the present life but greater is the punishment of the Hereafter if they only knew!,Soko ci jin'a azaba yan zunyesun dan mini izheo gancin azaba yan efo alkiyami u gbota gan a ga kpe nan.
Surah 39:27 ,         We have put forth for men in this Qur´an every kind of Parable in order that they may receive admonition.,Akika Yi la misalizhi do'kun be ya zawangizhi fi mini Alkur'anu nan nao eti alamari ndondo ebo ade baa laa san'atu.
Surah 39:28 ,     (It is) a Qur´an in Arabic without any crookedness (therein): in order that they may guard against Evil.,Alkur'anu nan yi azhimi Larubawazhi nan U ma de kinkan ndondoa ebo a fea tswa Soko.
Surah 39:29    ,              Allah puts forth a Parable a man belonging to many partners at variance with each other and a man belonging entirely to one master: are those two equal in comparison Praise be to Allah! but most of them have no knowledge.,Soko la misali be nyan eza bagi ndoci (wuzhi) nan yi be ndakatazhiy dokun nae nanzhiy ma e din'u be dozhiy nan (eti etun nan a dan'u nan) be bagi ndoci (wuzhi) nan Ndakata nini ke te gau deo nan ngba za guba(wuzhi) nan nanzhiy ga'azhe yeni eba misalio Akika yebo kpata ajin tabbata ya Soko. Akika ekun dondoazhi ade kpikpea.
Surah 39:30  , Truly thou wilt die (one day) and truly they (too) will die (one day).,Akika wye za nan gaatsu nan wyo yio to atso ma ga'tsu ma.
Surah 39:31   ,   In the end will ye (all) on the Day of Judgment settle your disputes in the presence of your Lord.,Gancin be akika efo alkiyamiy ye'azhi yegboro Tsoci yebo ye cia fe jin husuma.
Surah 39:32 ,             Who then doth more wrong than one who utters a lie concerning Allah and rejects the Truth when it comes to him; is there not in Hell an abode for blasphemers,Ngba ziy zwalunci'u gaagan yan za nan zunwan ta Soko nao u ci kezhe a gaskiya yi ganmanan kaminan ube ebau nao Asa emi leci'u danbo ya kafirizhi dan mini enan jahannama boa (Akika u danbo).
Surah 39:33    ,   And he who brings the Truth and he who confirms (and supports) it - such are the men who do right.,Za wuncin nan be be gaskiyae nan to za nan ga ya'u gaskiya nan akika zawuncinzhi ga yi za nanzhie sundan Soko nao.
Surah 39:34    ,   They shall have all that they wish for in the presence of their Lord: such is the reward of those who do good:,Egagba alheri yan yandondo nan agae wa nan wun'ajin Tbbata ya'a dan eba Tsoci'abo. Wuncin ga yi egagba yan za nanzhie jin bolobolo nao.
Surah 39:35    ,       So that Allah will turn off from them (even) the worst in their deeds and give them their reward according to the best of what they have done.,Ebo nan Soko ga etun dede nanzhi a lo na fin-ya ya'a u maa ga'agba wangi be nantso gye gan etun nanzhi a lo nan.
Surah 39:36 ,             Is not Allah enough for his Servant But they try to frighten thee with other (gods) besides Him! for such as Allah leaves to stray there can be no guide.,Ngba Soko kunke ya wuzhi'u woa Acie li wyo dan be za ndocizhi nanzhi jin Soko a nan. Akika za nan Soko ga'u gbin nan a de za nan awu'u ba naa.
Surah 39:37  ,         And such as Allah doth guide there can be none to lead astray. Is not Allah Exalted in Power (Able to enforce His Will) Lord of Retribution,Zaeni ndondo nan Soko ga'u wuba nan a de za naa gbin'u wo be naa. Asa u-jin Soko gayi Etsu zankpea Etsu nae wan za cie jin'u azaba naa
Surah 39:38        ,                           If indeed thou ask them who it is that created the heavens and the earth they would be sure to say "Allah". Say: "See ye then the things that ye invoke besides Allah- can they if Allah wills some Penalty for me remove His Penalty- Or if He wills some Grace for me can they keep back his Grace" Say: "Sufficient is Allah for me! In Him trust those who put their trust.",Wallahi wyo ga gbin'a gan gan: Zii jin sanma to kin zhio Akika agan gan: "Soko". Gan yaa gan: Ngba za nanzhi ye jin bauta ya ke Soko lugwa nan Soko gaa kpa gan wun'a mami cin le be egun ndociy ngba ajin cigbe egun wunci wo Kashi U ga bau gan wun'a twarya ye gun'u ya mi a kan'u wo Gan gan: Soko kunke ya mi Soko ga Muminizhie ya kpeo.
Surah 39:39 ,       Say: "O my People! Do whatever ye can: I will do (my part): but soon will ye know-,Gan gan: Ya ye jama'a yan mizhi ya eye dan etun'ezhi bananzhiy ye ga dan nan. Akika Mi tsoe lo tun bele yin man ye'a be de kpikpe.
Surah 39:40 ,      "Who it is to whom comes a Penalty of ignominy and on whom descends a Penalty that abides.",Za nan azaba yan zunyesun gaa be yau nan be za nan azaba yan tutun yin ga'acin ta etiu bo nan.
Surah 39:41,                 Verily We have revealed the Book to thee in Truth for (instructing) mankind. He then that receives guidance benefits his own soul: but he that strays injures his own soul. Nor art thou set over them to dispose of their affairs.,Akika Yi cin Litafi be ya wye be gaskiyae ya zawangizhi ebo acin'o za nan gaake eko nan wuncin yi ebo tiu bo za nan ma gaa gbin nan u gbin gbin ya etiu akika a tun wye gan wyo feo tswa'aoza'a.
Surah 39:42   ,                      It is Allah that takes the souls (of men) at death; and those that die not (He takes) during their sleep: those on whom He has passed the decree of death He keeps back (from returning to life) but the rest He sends (to their bodies) for a term appointed verily in this are Signs for those who reflect.,Soko gae gwo rayizhi dan eka yan tsutsu'abo to nanzhiy ma la'tsu'a nan Lokaci nan a gae lele nao. U ci ga egwasun nanzhiy u ga tsutsu ka ta etiabo nan Uci ga nanke nanzhiy lugwa da ekandoci nan yibe iyakae nan. Akika mini wuncin'o ayazhi danbo ya zanazhi gae kpaye nan.
Surah 39:43 ,            What! Do they take for intercessors others besides Allah Say: "Even if they have no power whatever and no intelligence",Kashi ade zandocizhi de nanzhi a tangwa'a nan Gan gan: Ngan kutizhi a de mulki yandondoa a ma de to ankalia.
Surah 39:44,          Say: "To Allah belongs exclusively (the right to grant) intercession: to Him belongs the dominion of the heavens and the earth: In the End it is to Him that ye shall be brought back.",Gan gan: Egwa tan kpata Soko wun'o Soko ga wun mulki yan sanmazhi to kin yin'o. Gancin ma ebau ga yea kezhe lo
Surah 39: ,When Allah the One and Only is mentioned the hearts of those who believe not in the Hereafter are filled with disgust and horror; but when (gods) other than He are mentioned behold they are filled with joy!,Kami ndondo nan aga Soko tunye gbaugi nan yangban yan za nanzhi a ya gaskiya be efo zoba yin'a nan wun'e laa yiku. Kamina a ga tun zandoci ye nanzhi ajin Sokoa nan kanga ajin afe man'nin. 45                 
Surah 39:46    ,            Say: "O Allah! Creator of the heavens and the earth! Knower of all that is hidden and open! it is Thou that wilt judge between Thy Servants in those matters about which they have differed.",Gan gan: Ya wye Soko nan jin sanmazhi to kin nan Etsu nan wun kpikpe yan naaswo nan to nan tula nan. Akika wyo gaa jin hukunci tsakani wuzhi wyozhi bo eti yan nanzhi ela ce dozhi leba nao.
Surah 39:47,                        Even if the wrong-doers had all that there is on earth and as much more (in vain) would they offer it for ransom from the pain of the Penalty on the Day of Judgment: but something will confront them from Allah which they could never have counted upon!,Da aci gan yan nanzhiy fi kinbo kpata nan azwalumizhi ga wun'o to ndoci dozhin'u be da'aga etia sa be'ayin dagan azaba tsuntsun'nu yan efo alkiyamiy. Yan nanzhiy ma a kpaye tu gan'a leyea nan u ga tula ya'a.
Surah 39:48    ,      For the evils of their Deeds will confront them and they will be (completely) encircled by that which they used to mock at!,Etun ndondo nanzhi a lo nan cia tula yaa alamari azaba nan afe la lami nan cia jin tabbata ta etiabo.
Surah 39:49   ,                  Now when trouble touches man he cries to Us: But when We bestow a favour upon him as from Ourselves he says "This has been given to me because of a certain knowledge (I have)!" Nay but this is but a trial but most of them understand not!,Kaminan egun ndoci gaa tswan zawangi nan wun'a fe yi Yi ye gancin Yi ga bea niima laa yau dagan eba Yibo wun'ajin u gan: akika a la'u la ya mi ebo ilimi nan mi de nan. A'a ngan wuncin gayi fitinao ammade ekun dondoazhi a kpea.
Surah 39:50,          Thus did the (generations) before them say! But all that they did was of no profit to them.,Akika za nanzhiy shiadzo nan gan' gan iri na naa ni etun nanzhiy ma afe lo nan u kunke ya'eko ndondo boa.
Surah 39:51  ,            Nay the evil results of their Deeds overtook them. And the wrong-doers of this (generation)- the evil results of their Deeds will soon overtake them (too) and they will never be able to frustrate (Our Plan)!,Ebo acin'o egagba dede yan etun dede nazhiy a lo na cia jin tabbata ta etia bo. Akika za nazhio nan egagba yan etun dede nazhiy a.ga lo nan ga'jin tabbata ta etiabo a maa gan gwaa.
Surah 39:52 ,             Know they not that Allah enlarges the provision or restricts it for any He pleases Verily in this are Signs for those who believe!,Kashi a kpe kpe gan Soko ajin'u kpe-gwa arziki ya za na ga ba u naa U maajin Wun'u I'ku ya za na ga bau na'a Akika mini wuncin'o ayazhi danbo ya jama'a nazhi ga imani jin na.
Surah 39:53,                   Say: "O my Servants who have transgressed against their souls! Despair not of the Mercy of Allah: for Allah forgives all sins: for He is Oft-Forgiving Most Merciful.,Gan gan: Ya ye wuzhi Mizhiy nazhia eti tacin'azhi jin gun be zunubizhiy na ega ba kawna be yegun Sokoe ma. Akika Soko Etsu gafara u yio Etsu yegun u yio.
Surah 39:54  ,          "Turn ye to our Lord (in repentance) and bow to His (Will) before the Penalty comes on you: after that ye shall not be helped.,Ye mae kezhe e dae tsun Soko ye mae la kpatsun'e tae ya u tun shidzo ka'fi azaba u beu yae nan ebo na kanga a'jin'e taimakoa.
Surah 39:55  ,             "And follow the best of (the courses) revealed to you from your Lord before the Penalty comes on you - of a sudden while ye perceive not!-,Ye mae la'mie tu (bawu) bolobolo nan acin be ya ye da gan eba tsoci ye bo nan tun shidzo kafi azaba'u beu dzun'u fie nan Kami na yeasan tua nan.
Surah 39:56    ,         "Lest the soul should (then) say: ´Ah! Woe is me!- In that I neglected (my duty) towards Allah and was but among those who mocked!´-,Ebo rayi fe be ti lali gan:Kasamire! Mie ti ronbonkpe eti hakki Soko nazhi mi-gi nao akika mia fe dan mini za nazhi fe la'mi nan.
Surah 39:57 ,       "Or (lest) it should say: ´If only Allah had guided me I should certainly have been among the righteous!´-,Koma Wyo'a gan gan: Da aci gan Soko wu mi ba wu da'mi ga'fe dan mini za na zhie sundan Soko nao.
Surah 39:58  ,         "Or (lest) it should say when it (actually) sees the penalty: ´If only I had another chance I should certainly be among those who do good!´,Ko ma Wyo'e fe gan gan.'kami na wyo ga le azaba ye nan da aci gan miga de kafa de akika mi gaafe dan mini za nazhi ejin bolobolo nao.
Surah 39:59   ,      "(The reply will be:) ´Nay but there came to thee my Signs and thou didst reject them: thou wast Haughty and became one of those who reject faith!´",Soko cia gan gan: A'a akika aya Yizhi be ya wye wyo ciu yi ganmanan wyo cia eti la'adan fin'o wyo cia fe dan mini kafirizhio.
Surah 39:60    ,         On the Day of Judgment wilt thou see those who told lies against Allah;- their faces will be turned black; Is there not in Hell an abode for the Haughty,Efo alkiyamiy wyo'a le za nazhi zun'wan ta Soko na ye fuska'zhi ga' shi- zhiko.Asa ecin ba dan jahannamao ya kafirizhia
Surah 39:61   ,       But Allah will deliver the righteous to their place of salvation: no evil shall touch them nor shall they grieve.,Soko ga za nazhi gae sundan'u na wadzun ganni be etun'azhiy eyan dede ndondo a two'a gwaa a maa le yangban yin yea.
Surah 39:62,        Allah is the Creator of all things and He is the Guardian and Disposer of all affairs.,Soko ga jin alitta kpatao akika Soko ga mae tswa yandondo.
Surah 39:63 ,         To Him belong the keys of the heavens and the earth: and those who reject the Signs of Allah- it is they who will be in loss.,Giyeko yan sanmazhi to kin egwa'u bo udan'o. Zanazhi gaajin kafirinci be aya Soko zhiy nan za wuncinzhi ga yi eza asarazhio.
Surah 39:64,      Say: "Is it some one other than Allah that ye order me to worship O ye ignorant ones",Gan gan: Ngba zandoci na jin Sokoa nan u ga ye'jin mi foro gan minjin bawtan yao ya ye eza eti zhiko na nan zhiy
Surah 39:65        ,     But it has already been revealed to thee- as it was to those before thee- "If thou wert to join (gods with Allah) truly fruitless will be thy work (in life) and thou wilt surely be in the ranks of those who lose (all spiritual good)".,Akika a jin wahyi be ya wye to za nazhiy shi wyo dzo nan Wallahi Wyo ga eyan laapa Soko baci etun guruo zhi kpata gaa gbin ya. Wyo ma ga'fe dan mini za nazhi a jin asara nan
Surah 39:66 ,    Nay but worship Allah and be of those who give thanks.,A'a Soko gbaugi wyo'a wun'owyo mao laofeo dan mini za nanzhi e jin yebo ya Soko nan.
Surah 39:67     ,           No just estimate have they made of Allah such as is due to Him: On the Day of Judgment the whole of the earth will be but His handful and the heavens will be rolled up in His right hand: Glory to Him! High is He above the Partners they attribute to Him!,Akika ye la cinwan ya Soko kendoe U gwo yin gwo na'a akika kin nan nan kpata ' u dan egwa Soko'.Sanmazhi ma; ayi finfanci dan gwalo'u bo. Lili kpata ajin tabbata ya Soko u maa latu ke eyan-wo kpata lugwa.
Surah 39:68      ,              The Trumpet will (just) be sounded when all that are in the heavens and on earth will swoon except such as it will please Allah (to exempt). Then will a second one be sounded when behold they will be standing and looking on!,Aci ga kafo be zandondo nan ga fi sanmazhio to kin bo nan gaajin hallaka sai de za na ga ba Sokouci'u ya nan. A cia kezhe be kafo yan zubaci be gancin alittazhi kpaata ga'nankin fe cin bazhi le.
Surah 39:69      ,        And the Earth will shine with the Glory of its Lord: the Record (of Deeds) will be placed (open); the prophets and the witnesses will be brought forward and a just decision pronounced between them; and they will not be wronged (in the least).,Kin kpata ma'afe ya haske be haske yan Tosci'u yin a ciga litafi etun zhi ku ke fili. Gancin acia. Be be Annabizhiy to shuhada'uzhiy aci ga hukunci jin tsakani zawangizhio be gaskiyae a maajin zaeni ndo ndo egun'a.
Surah 39:70 ,       And to every soul will be paid in full (the fruit) of its Deeds; and (Allah) knoweth best all that they do.,Acia ga rayi ndondo gba be iri etun nanzhiy Ulo nan Soko ma de kpikpe yan etun nanzhiy a lo kpata na.
Surah 39:71         ,                        The Unbelievers will be led to Hell in crowd: until when they arrive there its gates will be opened. And its keepers will say "Did not messengers come to you from among yourselves rehearsing to you the Signs of your Lord and warning you of the Meeting of This Day of yours" The answer will be: "True: but the Decree of Punishment has been proved true against the Unbelievers!",Acia ku zana zhia jin Kafirinci na lo ena jahannama jamaa jammazhi edana agae tunbo na aga ekouzhi kpe zanazhie pau na cia gan'a gan:"Beke Tuci (Soko) zhi be yaye nazhi fe gba aya Tsoci ye zhi yaye yea na a ma jin ye gangba yan gungun ye kan yan efo ye yin naa Atso ci gan:"E'ba adabe amaade hukunci azaaba wun'ajin tabbata ta eti kafirizhio.
Surah 39:72   ,     (To them) will be said: "Enter ye the gates of Hell to dwell therein: and evil is (this) Abode of the Arrogant!"Aci gan'a gan: E gan dan eko yan jahannamazhio baagabo ye'a fi tutun yin'o allawa be. Ezhekeba yan za nanzhie gbo'tika nae.
Surah 39:73    ,               And those who feared their Lord will be led to the Garden in crowds: until behold they arrive there; its gates will be opened; and its keepers will say: "Peace be upon you! well have ye done! enter ye here to dwell therein.",A cia yi za nazhie sundan Tso cia na lo Aljanna jama'a jama'a zhi.Kami na a ga. Tun bo na a ga ekouzhi kpe malaikazhi cia gan gan; Aminci Soko ulau jin tabbata'u ya ye akika ye'a de saa efe gandan bo ye ma'a fibofi tu tun Yin.
Surah 39:74   ,            They will say: "Praise be to Allah Who has truly fulfilled His Promise to us and has given us (this) land in heritage: We can dwell in the Garden as we will: how excellent a reward for those who work (righteousness)!",Aci gan: Yebo kpata ajin tabbata ya Soko naa alkawaliu she ya yi nan u ci kezhea kin yan A'ljanna gi-gun ya yi acia fe ecin ba ya yi nan ban dondo na ga bayi mini'ubo nan yia cin fi bo. Madalla be egagba wangi yan za nanzhie lotun wangi nan.
Surah 39:75 ,               And thou wilt see the angels surrounding the Throne (Divine) on all sides singing Glory and Praise to their Lord. The Decision between them (at Judgment) will be in (perfect) justice and the cry (on all sides) will be "Praise be to Allah the Lord of the Worlds!",Wyo maa le Malaikazhi ye a fe ma Al'arashi kezhe a fe li Soko tsa tsa yin ganni be yebo jin'y ya Tsocia. Aci ga hukunci jin tsakaniabo be gaskiyae. Acia gan gan: Yebo kpata ajin tabbata ya Soko Etsu nae kpa alittazhi kpata nan. 
