Surah 23:1  , The believers must (eventually) win through-,Hakika muminizhi'ade robo.
Surah 23:47 ,     They said: "Shall we believe in two men like ourselves And their people are subject to us!",A cigan: Ngba yi ga imani jin ebo zawangi guba nazhi yi dozhin yizhina alaali ma za miazhi kpaata wuzhi Yizhi ayio na.
Surah 23:48  , So they accused them of falsehood and they became of those who were destroyed.,Acia egan'azhi yi ganmana aciafe dan mini zanazhia-jin hallaka na.Surah 23:49     And We gave Moses the Book in order that they might receive guidance.Hakika ma Yi la Litafi (Attaura) ya Musa ujin-wo be wuncin'y alaade bawu.
Surah 23:50  ,        And We made the son of Mary and his mother as a Sign: We gave them both shelter on high ground affording rest and security and furnished with springs.,Yi ma cia egi Maryama to Nna'u la'afe aya Yici yaa edun feba dan pati ndocio bana aade efa nuwan mae je na
Surah 23:51   ,       O ye messengers! enjoy (all) things good and pure and work righteousness: for I am well-acquainted with (all) that ye do.,Ya ye Tucizhi! E gi dagan mini yangici lilici zhio ye mae lotun wangi. Hakika Mi yi be kpikpe etun nazhi ye lo na.
Surah 23:52   ,    And verily this Brotherhood of yours is a single Brotherhood and I am your Lord and Cherisher: therefore fear Me (and no other).,Hakika ma alumma ye nana; al'umma nini yeyi Mi ma ga yi Tsoci ye yeo ebo acin'o e sundan Mi.
Surah 23:53     ,   But people have cut off their affair (of unity) between them into sects: each party rejoices in that which is with itself.,A cia alamariazhi sa-ya tsakaniabo bedozhi kpere-kpere ena ndondo cie jin alfahri be yan'uyin.
Surah 23:54 ,   But leave them in their confused ignorance for a time.,To a ya gun mini pipeazhio har da lokaci ndoci.
Surah 23:54   , But leave them in their confused ignorance for a time.,To a ya gun mini pipeazhio har da lokaci ndoci.
Surah 23:55,      Do they think that because We have granted them abundance of wealth and sons,Kashi e leye le gan ekundo yan arziki be egizhi na Yie la yaa na.
Surah 23:56   ,   We would hasten them on in every good Nay they do not understand.,E leye le gan gbatawo uyio yan etun alheri na ade lo nao A'a ujin acin'a; amaade ajin fahimta'a.
Surah 23:57  ,    Verily those who live in awe for fear of their Lord;,Hakika zanazhie sundan azaba Tsocia acie tswa'U na.
Surah 23:58  ,  Those who believe in the Signs of their Lord;,To zanazhie jin imani be ayazhi yan Tsocia yin nae.
Surah 23:59  ,  Those who join not (in worship) partners with their Lord;,To zanazhi e la yandoci aa pa Tsocia bacia na.
Surah 23:60    ,     And those who dispense their charity with their hearts full of fear because they will return to their Lord;-,To zanazhie twarya be yandondoe wo na gancin yangban'azhi mae laashe be dansun'y kede eba Tsocia tsa aa sheban lo na.
Surah 23:61 ,     It is these who hasten in every good work and these who are foremost in them.,Zawuncinzhi kpaata aafe zanazhie dinye dan etun alherizhio na ama'ajin afe sa'nga-na danbo na.
Surah 23:62   ,        On no soul do We place a burden greater than it can bear: before Us is a record which clearly shows the truth: they will never be wronged.,Yi mae la kpaka ta rayia saide yan yanna ugade ba-- 'u na. Litafi madan eba Yibo nae gangan be gaskiyae na. Amaa jin'a zwaluncia.
Surah 23:63  ,           But their hearts are in confused ignorance of this; and there are besides that deeds of theirs which they will (continue) to do-,A'a yangban'azhi de dan mini pipeo eti alamari (Alkuranu) nanao amayi be etun docizhi be banbe nanazhi na aajin'a lo na.
Surah 23:64 ,      Until when We seize in Punishment those of them who received the good things of this world behold they will groan in supplication!,Harda kamina Yi ga kaafa decizhi wan be azabae na. Kanga gancin acia fe gbindun.
Surah 23:65 ,     (It will be said): "Groan not in supplication this day: for ye shall certainly not be helped by Us.,E ga gbindun ndondo yinna ma hakika zandondo danbo na'ajin ye taimako ke azaba Yi lugwa na'a.
Surah 23:66 ,       "My Signs used to be rehearsed to you but ye used to turn back on your heels-,Hakika aafe afe gba aya Mizhi ya ye ye ciafe zanazhie yati lo zunma na.
Surah 23:67 ,  "In arrogance: talking nonsense about the (Qur´an) like one telling fables by night.",Yecie gbotika beuyin yecie baza dede ye ciajin ye fe nyin Alkuranu (be gintara ye yin).
Surah 23:67  , "In arrogance: talking nonsense about the (Qur´an) like one telling fables by night.",Yecie gbotika beuyin yecie baza dede ye ciajin ye fe nyin Alkuranu (be gintara ye yin).
Surah 23:68         Do they not ponder over the Word (of Allah) or has anything (new) come to them that did not com,e to their fathers of old,Ki'ila acie kpaye na shidu na etiuboa yin'o kashi yandoci tsa be ya ao na ma be ya yanmanciazhi yan mafaria nao.
Surah 23:69 ,     Or do they not recognise their Messenger that they deny him,Kashi akpe Tucia kpe yea a ciafe zanazhie la nanvo wu'u na.
Surah 23:70   ,      Or do they say "He is possessed" Nay he has brought them the Truth but most of them hate the Truth.,Kashi e gangan-gan wyun'a togwa to a'a ujin acin'a wyun de bebe be gaskiyae. Ekun dondoa ma zanazhie na gaskiya vo na ayio.
Surah 23:71   ,            If the Truth had been in accord with their desires truly the heavens and the earth and all beings therein would have been in confusion and corruption! Nay We have sent them their admonition but they turn away from their admonition.,Da'aci gan gaskiya gamitu etun yangban'azhi tu da sanmazhi to kin to yannazhi fi tacin'abo kpaata na gaa nyin-ya. Hakika Yide bebe yaye be eyan cinwan yeyin acie laa bici ke eyan cinwan'a lugwa.
Surah 23:72      ,  Or is it that thou askest them for some recompense But the recompense of thy Lord is best: He is the Best of those who give sustenance.,Kashi wyoe gbin'agan edu gbin (yan laada etun na wyoe lo na) Ngan laada yan Tsoci wyoe uga de alheri gan'o. Soko gamayi Etsu arzikio.
Surah 23:73  ,  But verily thou callest them to the Straight Way;,Hakika ma wyoe yia yi lo eko natso yi gboro na.
Surah 23:74     ,  And verily those who believe not in the Hereafter are deviating from that Way.,Hakika ma za nazhie jin imani be Alkiyami yin'a na e laapan ke eko gboro lugwa.
Surah 23:75 ,         If We had mercy on them and removed the distress which is on them they would obstinately persist in their transgression wandering in distraction to and fro.,Kaa ma Yi ga gun'aye Yicia egun nadan bea yin na la'ake yabo ya'a aafe pepe gun mini gbingbin tuazhio.
Surah 23:76  ,     We inflicted Punishment on them but they humbled not themselves to their Lord nor do they submissively entreat (Him)!-,Hakika ma Yi wan'a be azaba yin'ani ama ta kpatsun ya Tsocia'a ama da ti ci cia.
Surah 23:77  ,         Until We open on them a gate leading to a severe Punishment: then Lo! they will be plunged in despair therein! ,Har daa kamina Yiga kpe eko azaba dede ya'a na wyoa tsun'a agaa gizhi fibo.
Surah 23:78   ,      It is He Who has created for you (the faculties of) hearing sight feeling and understanding: little thanks it is ye give!,Wyun gayi Etsu najin gan-wo to bayele to yangban yaye nao degi gama ye jin yebo.
Surah 23:79,      And He has multiplied you through the earth and to Him shall ye be gathered back.,Wyun ga mayi Etsu najin alita ye kpe kin bo nao ebau gama aa kuye yekan-zhio.
Surah 23:80 ,        It is He Who gives life and death and to Him (is due) the alternation of Night and Day: will ye not then understand,Wyun ga mayi Etsu naejin rayi nao wyunga mae wu rayio wyunga mae la yeshi be batin'y cie ce leba dozhio. Ki'ijin yecie jin hankalia yin'o
Surah 23:81  ,   On the contrary they say things similar to what the ancients said.,A'a ade gangan gan iri na za mafarizhi gan na.
Surah 23:82    ,   They say: "What! when we die and become dust and bones could we really be raised up again,Agan: "Ngba Yigaa tsu Yicia gi ya fi jikannao cia ke tsukunzhi agayi la nakin kabario
Surah 23:83  ,         "Such things have been promised to us and to our fathers before! they are nothing but tales of the ancients!",Hakika to yi to yanmanci yizhi ajin yi alkawali nana leani alkawali nana ma ufea sai de ecin yan za paa yin zhi.
Surah 23:84 ,      Say: "To whom belong the earth and all beings therein (say) if ye know!",Gan (yaa) gan:"Nbga zi'i wun kin to yannazhi fi nin yan'ubo kpaata nao yegade kpikpe de na
Surah 23:85 ,   They will say "To Allah!" say: "Yet will ye not receive admonition",A gan'wyo gan; Soko wun'o to gangan: ki'i la yecie santu'ayin'o
Surah 23:86  ,     Say: "Who is the Lord of the seven heavens and the Lord of the Throne (of Glory) Supreme",Gangan: zi'i yi Tsoci yan sanma gutwa'abao to yan Al'arashi na yi cinwanci naoSurah 23:87    They will say "(They belong) to Allah." Say: "Will ye not then be filled with awe"A' gan gan Soko wun'o gangan: ki la yecie sundan Sokoa yin'o
Surah 23:88     ,        Say: "Who is it in whose hands is the governance of all things- who protects (all) but is not protected (of any) (say) if ye know.",Gangan: Zi'i mulki yandondo dan gwa'ubo wyun ga mae kangwao amae kan za gwa ke wyun'a yin'o ye gade kpikpe de nao
Surah 23:89 ,   They will say "(It belongs) to Allah." Say: "Then how are ye deluded",A gangan Soko wun'o to keu dada acie la ye pan keu lugwa nao
Surah 23:90 ,   We have sent them the Truth: but they indeed practise falsehood!,A'a yide be yaa be gaskiyae hakika ma ganmana zuncinzhi ayio.Surah 23:90    We have sent them the Truth: but they indeed practise falsehood!A'a yide be yaa be gaskiyae hakika ma ganmana zuncinzhi ayio.
Surah 23:90   , We have sent them the Truth: but they indeed practise falsehood!,A'a yide be yaa be gaskiyae hakika ma ganmana zuncinzhi ayio.
Surah 23:91          ,             No son did Allah beget nor is there any god along with Him: (if there were many gods) behold each god would have taken away what he had created and some would have lorded it over others! Glory to Allah! (He is free) from the (sort of) things they attribute to Him!,Soko degia Tsoci ndoci ma pama beU yin'a kacan'a Tsoci ndondo ga gwasun yan na Ujin na daa sashi ama gaa zankpe ta eti sashio. Lili kpaata ajin tabbata ya Soko ke yannazhie e laaji u ye na lugwa.
Surah 23:92 ,    He knows what is hidden and what is open: too high is He for the partners they attribute to Him!,Wyun gayi Etsu na wun kpikpe yan na'a swo kpata nao to na tula nao. Soko ma'a latu ke yannazhie laa pau baci na lugwa.
Surah 23:93   ,  Say: "O my Lord! if Thou wilt show me (in my lifetime) that which they are warned against-,Gangan: "Tsoci! Ujin wo ko wyoa la yandoci wumi mini yannazhi wyola jin'a alkawali yan azaba na.
Surah 23:94 ,    "Then O my Lord! put me not amongst the people who do wrong!",Tsoci! Ga la mi dan mini jama'a yanazwalumizhio ma.
Surah 23:95  ,    And We are certainly able to show thee (in fulfilment) that against which they are warned.,Hakika ma Yide i'iko na Yiala yanna Yie la jin'a alkawali na wu wyo na.
Surah 23:96 ,       Repel evil with that which is best: We are well acquainted with the things they say.,A eyan dede dagwa ya be yan natso gyegan nae. Hakika Yikpe yannazhi e laa ji wyo ye kpaata na.
Surah 23:97,      And say "O my Lord! I seek refuge with Thee from the suggestions of the Evil Ones.,Wyo mao gan-gan Soko tswa mi be wasiwasi (swiswo lo yangban) yan shetan yin.
Surah 23:97,      And say "O my Lord! I seek refuge with Thee from the suggestions of the Evil Ones.,Wyo mao gan-gan Soko tswa mi be wasiwasi (swiswo lo yangban) yan shetan yin.
Surah 23:98 ,   "And I seek refuge with Thee O my Lord! lest they should come near me.",Mimae ba etswa be wyo yin ebo aga be eba mi ma.
Surah 23:99 ,      (In Falsehood will they be) Until when death comes to one of them he says: "O my Lord! send me back (to life)-,Har da kamina ajali ga be ya zaeni mini abo na ugan: Tsoci a mi la zheban daa (izhe).
Surah 23:100          ,     "In order that I may work righteousness in the things I neglected." - "By no means! It is but a word he says."- Before them is a Partition till the Day they are raised up.,Ujin wo ko mia da lotun guruzhi dan mini yannazhi mi yadan zunmao na. Ba wun'aye jin'o! Hakika nana egan tsa uyio na wyun'e gan na yekan ndoci ma dan tsakaniabo (be izhe) har da fo na agaa na'akin na.
Surah 23:101   ,      Then when the Trumpet is blown there will be no more relationships between them that Day nor will one ask after another!,Gancin kamina aga efe be fi kafo (yan Alkiyami na) to dangibo ndondo danbo na'ajin anfani fo wuncin naa amaa gbin dozhi gan'a.
Surah 23:102    , Then those whose balance (of good deeds) is heavy- they will attain salvation:,To zandondo na tsunwan etun (guru'u) gaa lukpin na to zawuncinzhi'a de robo.
Surah 23:103 ,        But those whose balance is light will be those who have lost their souls in Hell will they abide.,Zana ma tsunwan etun'u gaa cin-dan na to zawuncinzhia asara ladan eti tacin'a ama gaa gan dan ena jahannamao tutun yin'o.
Surah 23:104,     The Fire will burn their faces and they will therein grin with their lips displaced.,Ena cia fe nia fuskazhi mu ama'afibo fi fuska nyin-nyin ci.
Surah 23:105  ,     "Were not My Signs rehearsed to you and ye did but treat them as falsehood",Asa afe gba aya Mizhi yaye (izhe boa) ye ciafe ye fe yio ganmana'a
Surah 23:106 ,      They will say: "our Lord! Our misfortune overwhelmed us and we became a people astray!,Agan: Tsoci yi! Tiabi (gbugbuke) yan yi wun'a rukpe yi yi ma'a fe zanazhia gbin na.
Surah 23:107  ,    "Our Lord! bring us out of this: if ever we return (to Evil) then shall we be wrong-doers indeed!",Tsoci yi! A yi wa tinya dagan miniubo yima ga kaara ci jin'acin be to yi yia fe azwalumizhi dan'o na.
Surah 23:108  ,  He will say: "Be ye driven into it (with ignominy)! And speak ye not to Me!,Ugan: yea emiezhi tsu gun baagao ye mae ga kaara gangan be mi yin ma.
Surah 23:109 ,            "A part of My servants there was who used to pray ´our Lord! we believe; then do Thou forgive us and have mercy upon us: For Thou art the Best of those who show mercy!",Hakika zandocizhi'afe dan mini wuzhi Mizhio nazhie gangan: Tsoci yi! Yi yia imani jin fa be yi yin hakika wyo gayi Etsu yegun kpaatao.
Surah 23:110,       "But ye treated them with ridicule so much so that (ridicule of) them made you forget My Message while ye were laughing at them!,Ye ci fe laa mi har yecia pipa mi batan yecia fe matsan kpea.
Surah 23:110 ,      "But ye treated them with ridicule so much so that (ridicule of) them made you forget My Message while ye were laughing at them!,Ye ci fe laa mi har yecia pipa mi batan yecia fe matsan kpea.
Surah 23:111 ,      "I have rewarded them this Day for their patience and constancy: they are indeed the ones that have achieved Bliss...",Hakika Mia gaa gba yinna ebo hakuri na'ajin na hakika ma agayi eza robo zhio.
Surah 23:111  ,     "I have rewarded them this Day for their patience and constancy: they are indeed the ones that have achieved Bliss...",Hakika Mia gaa gba yinna ebo hakuri na'ajin na hakika ma agayi eza robo zhio.S
urah 23:112 ,     He will say: "What number of years did ye stay on earth",Ugan: Lisafi eya gunkin ye yea fedun dan izhe bo
Surah 23:113  ,     They will say: "We stayed a day or part of a day: but ask those who keep account."Agan:",Yi fedun yan fo eni koma ganfi yan foeni amaa wyotso gbin (malaika) nazhie ba'fozhi na gan.
Surah 23:114 ,       He will say: "Ye stayed not but a little- if ye had only known!,Ugan: Ngan ye fedun ndocia sai de yan lokaci degi.
Surah 23:115    ,   "Did ye then think that We had created you in jest and that ye would not be brought back to Us (for account)",Kashi ye kpaye kpa gan Yi jin alita yejin eti edzo ye maa kezhe zhin be tsun Yi yia
Surah 23:115   ,    "Did ye then think that We had created you in jest and that ye would not be brought back to Us (for account)",Kashi ye kpaye kpa gan Yi jin alita yejin eti edzo ye maa kezhe zhin be tsun Yi yia
Surah 23:116,          Therefore exalted be Allah the King the Reality: there is no god but He the Lord of the Throne of Honour!,Elatu kpaata ajin tabbata ya Etsu gaskiya wuncin ade Tsoci ndocia saide Wyin'y. Wyunga mayi Tsoci Al'arashi na wancin nao.
Surah 23:117     ,            If anyone invokes besides Allah Any other god he has no authority therefor; and his reckoning will be only with his Lord! and verily the Unbelievers will fail to win through!,Zaeni ndondo nama gada jin bauta ya Tsoci ndoci pama ganni be Sokoe na to ude dalili ndondo eti bauta wuncin boa hakika egagbau danbe Sokoe. Hakika ma kafirizhia tso guria.
Surah 23:118     , So say: "O my Lord! grant Thou forgiveness and mercy for Thou art the Best of those who show mercy!",Wyo mao gangan: Tsoci! Fa be yi yin wyo mao gun-yi-ye hakika wyo gayi Etsu yegun kpaatao.

