Surah 55:1 ,(Allah) Most Gracious!,Soko (Etsu yegun).
Surah 55:53 ,  Then which of the favours of your Lord will ye deny,Kici mini aya yan Tsoci yezhio danbo nan ye'ayi ganmanan nao
Surah 55:54    ,    They will recline on Carpets whose inner linings will be of rich brocade: the Fruit of the Gardens will be near (and easy of reach).,A ga kpe tso fe woma ta eti yantacikozhio nin pa yan nin yan yantaci wuncinzhi istabrak a jin wun'o (wato silki nae ya'na nan) cigban sunsun yan aljannazhi ma ga tsoba kin kpan kpan yin (ebo fi fe gio).
Surah 55:55 ,  Then which of the favours of your Lord will ye deny,Kici mini aya yan Tsoci yezhio danbo nan ye'ayi ganmanan nao.
Surah 55:56   ,     In them will be (Maidens) chaste restraining their glances whom no man or Jinn before them has touched;-,Miniabo ynzagizhi fibo nanzhie cin ba le zaanan (sai ebaa zhi). Zawangi ndondo ma la'a la egwa tu'a lea jannu ndondo mala la gwatu'a le shi dzo'a boa.
Surah 55:57   ,Then which of the favours of your Lord will ye deny-,Kici mini aya yan Tsoci yezhio danbo nan ye'a yi ganmanan nao
Surah 55:58 , Like unto Rubies and coral.,Ynzagi wuncinzhi wyo'a ye gan ko yakutuzhi be mirjanuzhi a yio. (takun zhi a yio nanzhie ban'nan ama de daraja nan).
Surah 55:59,   Then which of the favours of your Lord will ye deny,Kici mini aya yan Tsoci yezhio danbo nan ye'ayi ganmanan nao
Surah 55:60  ,  Is there any Reward for Good - other than Good,Ngan egagba yan etun wangi sai de egagba wangi.
Surah 55:61 ,  Then which of the favours of your Lord will ye deny,Kici mini aya yan Tsoci yezhio danbo nan ye'a yi ganmanan nao
Surah 55:62,  And besides these two there are two other Gardens-,Zunma wuncinzhio be aljanna guba danbo.
Surah 55:63   ,Then which of the favours of your Lord will ye deny-,Kici mini aya yan Tsoci yezhio danbo nan yea yi ganmanan nao.
Surah 55:64,Dark-green in colour (from plentiful watering).,Nanzhie bannan yan aliga aliga nan kezhea shi zhiko be enaban'e nan.
Surah 55:65 ,  Then which of the favours of your Lord will ye deny,Kici mini aya yan Tsoci yezhio danbo nan ye'a yi gan manan noa
Surah 55:66  ,In them (each) will be two Springs pouring forth water in continuous abundance:,Miniabo eye nuwan guba danbo nae dzun tin ya kandondo nan.
Surah 55:67   ,Then which of the favours of your Lord will ye deny,Kici mini aya yan Tsoci yezhio danbo nan ye'a yi ganmanan nao
Surah 55:68 ,  In them will be Fruits and dates and pomegranates:,Miniabo yangi ci sunsunzhi to dobina to yangici yan rumanu fi bo.
Surah 55:69   ,Then which of the favours of your Lord will ye deny,Kici mini aya yan Tsoci yezhio danbo nan ye'a yi ganmanan nao
Surah 55:70,  In them will be fair (Companions) good beautiful;-,Miniabo ynzagizhi fibo nanzhi yi wangi wangi zhi nan a mayibologi bologizhi.
Surah 55:71  , Then which of the favours of your Lord will ye deny-,Kici mini aya yan Tsoci yezhio danbo nan yea yi ganmanan nao.
Surah 55:71,   Then which of the favours of your Lord will ye deny-,Kici mini aya yan Tsoci yezhio danbo nan yea yi ganmanan nao.
Surah 55:72 ,  Companions restrained (as to their glances) in (goodly) pavilions;-,Ynzagi yan Hurul 'aynizhi a yio nanzhi eyeazhi fu bokun sarauyin nan Uma kezhe shi zhiko sarauyin nan a ma swo'aswo fi eswo-bagi zhio.
Surah 55:73,   Then which of the favours of your Lord will ye deny-,Kici mini aya yan Tsoci yezhio danbo nan ye'a yi ganmanan nao
Surah 55:74    , Whom no man or Jinn before them has touched;-,Zawangi ndondo ko jannu u la'a la'gwa tu'a le shidzo eba'azhi boa.
Surah 55:75   ,Then which of the favours of your Lord will ye deny-,Kici mini aya yan Tsoci yezhio danbo nan yea yi ganmanan nao
.Surah 55:76   ,  Reclining on green Cushions and rich Carpets of beauty.,A ga kpetso cia fe wo'man ta eti gado putu ndocizhio nan yi nuwan aliga allga nan ganni be yantaci. Kozhi nanzhiy sa wangi nan.
Surah 55:77  , Then which of the favours of your Lord will ye deny,Kici mini aya yan Tsoci yezhio danbo nan ye'a yi ganmanan nao
Surah 55:78 ,    Blessed be the name of thy Lord full of Majesty Bounty and Honour.,Elatu a jin tabbata ya sunna Tsoci wye akika Soko Etsu cinwan U yio Etsu elatu uyio
