Surah 7:1, Alif Lam Mim Sad.,Alif. Lam. Mim. Swad.
Surah 7:12 ,               (Allah) said: "What prevented thee from prostrating when I commanded thee" He said: "I am better than he: Thou didst create me from fire and him from clay.",Ugan: Ki'i kan wyoe ci jin sujada' yan'o kami na mijin wyoe foro nao Ugan: "Ngan mi gan'u ebo na wyo jin mijin dagan enao wyo ma jin'ujin dagan egun'o.
Surah 7:13 ,           (Allah) said: "Get thee down from this: it is not for thee to be arrogant here: get out for thou art of the meanest (of creatures).",Ugan: To acin (da kin) dagan mini'ubo ugwo yin ya wyoe na wyoa lati dan fin'o dan miniubo na'a ebo acin'o acin daa kin akika wyodan mini eza gbigbacizhio.
Surah 7:14,    He said: "Give me respite till the day they are raised up.",Ugan: To pata ya mi har da efo na'a na' akin na.
Surah 7:15   ,(Allah) said: "Be thou among those who have respite.",Ugan: Akika wyo dan mini zanazhi Mia pata ya na.Surah 7:15   (Allah) said: "Be thou among those who have respite."Ugan: Akika wyo dan mini zanazhi Mia pata ya na.
Surah 7:16  ,    He said: "Because thou hast thrown me out of the way lo! I will lie in wait for them on thy straight way:,Ugan: "Mi zhi kuti be hallaka na wyo jin min na akika mi ga fedun ya'a ta eti ekpa wyoe natso yi gboro nao.
Surah 7:17     ,         "Then will I assault them from before them and behind them from their right and their left: Nor wilt thou find in most of them gratitude (for thy mercies).",Gancin ma akika mia fe dzun fia dagan yegboro a bo to dagan zumazhio to dagan gwaloazhio to dagan gwapin'zhio wyomaa tsun ekun dondoazhi ajin eza ye bo Sokozhia.
Surah 7:18  ,         (Allah) said: "Get out from this disgraced and expelled. If any of them follow thee- Hell will I fill with you all.,Ugan: Atinya dagan miniu bo eza aibu eza nyin nyi yaci. Akika zandondo na ga emitu wyoe miniabo na akika miga jahannama she pin-yin dagan miniebo baenio.
Surah 7:19 ,              "O Adam! dwell thou and thy wife in the Garden and enjoy (its good things) as ye wish: but approach not this tree or ye run into harm and transgression.",Wyo ma Adamu! Da fedun to wyoe to nyinmi wyoe Aljannao ye mae fe gi dagan bandondo na ga bae na: ye mae ga tsoba cigban na na ma kacan'a' yegaa fe dan mini azwalumizhio.
Surah 7:20,                        Then began Satan to whisper suggestions to them bringing openly before their minds all their shame that was hidden from them (before): he said: "Your Lord only forbade you this tree lest ye should become angels or such beings as live for ever.",Shetan ci swo egan dede loa yangban'o ebo u'la sutura na fan na kan'abo ci kan yavun'a na-uku'u ya uci gan: Ujin yandondo la Tsoci ye ci kan ye cigban nana yin gia saide ebo yebea azhe malaikazhi ma-ko ma ebo yebe fie bo be za nazhia fibo tutun yin nama.
Surah 7:21,    And he swore to them both that he was their sincere adviser.,Uci zhi kutiya zagubaba: Akika mide dan mini gangba jinci zhio ya ye.
Surah 7:22 ,                          So by deceit he brought about their fall: when they tasted of the tree their shame became manifest to them and they began to sew together the leaves of the garden over their bodies. And their Lord called unto them: "Did I not forbid you that tree and tell you that Satan was an avowed enemy unto you",Uci tagwa wuaba be etae. Gancin kamina abea cigban wuncin la da'mi na yavun'azhi cia tula ya'a aci da ci fe'da wa fini Aljannazhi kpe yavun'azhi. Tsocia ma ci yia zagubaba. Asa Mi kan ye zagubaba gan ye kpe ya be cigban wuncin yan'a Mi ma gan ye gan akika shetan makiri ye uyio nayi gbangba na.
Surah 7:23  ,         They said: "Our Lord! We have wronged our own souls: If thou forgive us not and bestow not upon us Thy Mercy we shall certainly be lost.",Za gu ba ba ci gan: "Tsoci yi! Yi yia eti tacin yi jin gun. Kagan ma wyo jin yi gafara wyoci gun yi yea Akika yi ga fe dan mini eza hasarazhio.
Surah 7:24,           (Allah) said: "Get ye down. With enmity between yourselves. On earth will be your dwelling-place and your means of livelihood- for a time.",Ugan: E cin lo kin sashi ye zhi ma aga zhe makiri yan sashizhi yema yibe edun fe bae dan kinbo to ema wo yizhe da eka de gi.
Surah 7:25,      He said: "Therein shall ye live and therein shall ye die; but from it shall ye be taken out (at last).",Ugan: Miniubo ga yea le yizheo miniubo ma yea tsu fio dagan miniubo gabo ma akuye tin yao.
Surah 7:26    ,              O ye Children of Adam! We have bestowed raiment upon you to cover your shame as well as to be an adornment to you. But the raiment of righteousness- that is the best. Such are among the Signs of Allah that they may receive admonition!Ya ye egi Adamuzhi! Akika  Yicin tufuwa be ya ye na ga kpe yavun yezhi na uma yi ninpa be. Tufuwa yan dasun Soko ma wyunga de alheri gan'o wuncin ma dan mini aya Soko zhio uijn-wo be wuncin'y a gaa santu.
Surah 7:27                             O ye Children of Adam! Let not Satan seduce you in the same manner as He got your parents out of the Garden stripping them of their raiment to expose their shame: for he and his tribe watch you from a position where ye cannot see them: We made the evil ones friends (only) to those without faith.,Ya ye egi Adamu zhi! Ega lugwa shetan jin'e fitina ma kendoe ujin ucia yanmanci ye gubaba kutin ya dagan aljannao na ufe fan'a tufuwa'a ya zagubaba ebo u'la yavun'azhiu lau wua zagubaba. Akika wyin'y wyun'e le ye to wyin'y to jamayan'uzhi dagan ba na ye yea leayea na. Akika Yi yia shaetanzhi la'afe eya man cizhi ya zanazhi e-jin imani na.
Surah 7:28            ,         When they do aught that is shameful they say: "We found our fathers doing so"; and "Allah commanded us thus": Say: "Nay Allah never commands what is shameful: do ye say of Allah what ye know not",Ama gada lo' tun swakwa (Alfasha). Agan: Yitsun ndayi zhi tsun ta etiu bo: Soko o tso ma gajin yi foro be jin jin'u yin'o. Gangan: Akika Soko ejin zando foro be etun swakwa yin'a kashi yea fe gangan ta Soko nyan yanna ye de kpikpe wun'a na.
Surah 7:29   ,            Say: "My Lord hath commanded justice; and that ye set your whole selves (to Him) at every time and place of prayer and call upon Him making your devotion sincere as in His sight: such as He created you in the beginning so shall ye return.",Gan gan: Tsoci mi jin (Yi ) foro jin be gboro dae (adalinci) : ye mae la fuska ye (nakan kpace yezhi) zhie kue gikini danna salla ndondo ye mae la adinie li-e yau tsatsayin kendoe ma uca jin jin alittaye na acinga yea zheban da tsun wyun'o.
Surah 7:30     ,          Some He hath guided: Others have (by their choice) deserved the loss of their way; in that they took the evil ones in preference to Allah for their friends and protectors and think that they receive guidance.,Jama'a ndocizhi danbo (Soko) awu ba ndoci ma danbo egbin'ajin tabbata ta etiabo. Akika a shetanzhi la Ndakatazhi zunma yan Soko Acie le ye gan akika ezabawuzhi ayio na.
Surah 7:31    ,          O Children of Adam! wear your beautiful apparel at every time and place of prayer: eat and drink: But waste not by excess for Allah loveth not the wasters.,Yaye egi Adamuzhi! Yea ninpaezhi kuta eka to danna ya salla ndondo ye mae gi (yangicizhi) ye mae fin (eyan finci zhi) ye mae ga nyin yan ma akika Sokoe wa zanazhie nyin yan na'a.
Surah 7:32       ,                  Say: Who hath forbidden the beautiful (gifts) of Allah which He hath produced for His servants and the things clean and pure (which He hath provided) for sustenance Say: They are in the life of this world for those who believe (and) purely for them on the Day of Judgment. Thus do We explain the signs in detail for those who understand.Gangan: ,Ngba zi' ila eyan ninpa yan Soko na ula tin ya ebo (anfani) wuzhiuzhio na jin haramu to yangici lilicizhi dagan mini yan arzikiubo Gangan: "Ngan yan zanazhia imani jin na ayio dan edun fe yizhe bo uma gazhe tsitsaciya'a Efo Alkiyami. Acinga ga yie kpe ayazhi yeo ya jama'a nazhi ga de kpikpe nao".
Surah 7:33     ,                       Say: the things that my Lord hath indeed forbidden are: shameful deeds whether open or secret; sins and trespasses against truth or reason; assigning of partners to Allah for which He hath given no authority; and saying things about Allah of which ye have no knowledge.,Gangan: "Akika de tsoci mi yin'a eyan swakwazhi kpata la'azhe haramu to nazhi tula miniabo na to nazhia swo na to zunubi jin to ragbanzhi nadan tsunwan gaskiya boa na ye mae ga la yandoci  aa pa Soko baci nama ucin hujja ndondo be etiuboa-nama ye mae gafe ganagan ta Soko na yekpe hakika wun'a nama
Surah 7:34  ,        To every people is a term appointed: when their term is reached not an hour can they cause delay nor (an hour) can they advance (it in anticipation),Aluma ndondo ma ude ekpe ta bau ekpe taba (ajali) yan ndondoa maga dabe a pata ya'a ka yan lokaci ninia ama la'a lo ye gboroa.
Surah 7:35  ,               O ye Children of Adam! whenever there come to you messengers from amongst you rehearsing My signs unto you- those who are righteous and mend (their lives)- on them shall be no fear nor shall they grieve.,Ya ye egi Adamu zhi! Ujin wo Tuci ndoci zhi mini yetso abe ya ye acia fe ta (aya) zankpe Mizhi ya ye to zana ga be tswa (Soko) u ci jin bolobolo na to dansun ndondo adanbo ya a yangban nyin ndondo ma'adanbo ya'a.
Surah 7:36,         But those who reject Our signs and treat them with arrogance- they are companions of the Fire to dwell therein (for ever).,Zanazhi-maaya Yizhi yi ganmana na acia gbotika kea lugwa na zawuncinzhi ga yi egi mi na zhi bagabo ma afi tutun yin'o.
Surah 7:37  ,                                  Who is more unjust than one who invents a lie against Allah or rejects His Signs For such their portion appointed must reach them from the Book (of decrees): until when our messengers (of death) arrive and take their souls they say: "Where are the things that ye used to invoke besides Allah" They will reply "They have left us in the lurch" And they will bear witness against themselves that they had rejected Allah.T,o Ngba zi'i ga ti binakun a gan yan zana da tswa ganmana cia ta Soko nao ko ma ucia aya Soko Zhi yi ganmana nao Za iri na na zhi ayi be kinigi ba yin (yan arziki izhe) dan mini litafio har da lokaci na Tuci Yizhi ga be eba'ciagwo rayi bea yin nan acia gan gan: babo yannazhi ye wun zunma Soko na dan'o Acia gangan: A'ya ke yi lugwa atso ciga eri ya ta eti tacin'atso ke de aya'afe kafirizhi na.
Surah 7:38  ,                                     He will say: "Enter ye in the company of the peoples who passed away before you - men and jinns - into the Fire." Every time a new people enters it curses its sister-people (that went before) until they follow each other all into the Fire. Saith the last about the first: "Our Lord! it is these that misled us: so give them a double penalty in the Fire." He will say: "Doubled for all" : but this ye do not understand.,Ugan: Eda gadan alunmanazhi gwogan shi yedzo dan mini aljanizhio to zawangizhi aci fi mini enao na. Kandondo na alumma ndoci ga gandan na wyun'ajin ufe bukuti kpe yegiuzhi har da kamina aga' ke ba be dozhi kpata na za zumazhi cia fe gan be za mafarizhi gan: Tsociyi! za nanazhi ga kuyi fi egbin bo ebo acin'o be'ya be azabae yan ena na'a kpeba ta'ti dozhio na" Ugan: zandondo ade azaba na akpeba dozhi na Amma de ye kpea.
Surah 7:39,             Then the first will say to the last: "See then! No advantage have ye over us; so taste ye of the penalty for all that ye did !",Zamafariazhi cia gan be za zumazhi gan: "Ngba ye de cinwan ndoci ta eti yibo ebo acin'o efe fin azaba ebo iri etun nazhi ye fe cewoa na.
Surah 7:40 ,                     To those who reject Our signs and treat them with arrogance no opening will there be of the gates of heaven nor will they enter the garden until the camel can pass through the eye of the needle: Such is Our reward for those in sin.,Akika zanazhia aya Mi zhi yi ganmana na acia gbotika ke u lugwa na a kpe eko Aljannazhi ya aa ama'ade Aljanna gandan'a (sai de) har da kamina rakum ga lodan misun ekin'o wo na Acinga gama Yie wo lefi jincizhi gbatao.
Surah 7:41,         For them there is Hell as a couch (below) and folds and folds of covering above: such is Our requital of those who do wrong.,Ayi be yantaci ndoci dagan jahannamao eba ti'ta'bo ma kpere nazhia fanpa fanpa yan ena na kpebo. Acinga gama Yie wo azwalumizhi gbatao.
Surah 7:42 ,             But those who believe and work righteousness- no burden do We place on any soul but that which it can bear- they will be Companions of the Garden therein to dwell (for ever).,Zanazhi ma' imani jin na acie lotun wangizhi na Yie la kpaka a ta rayia sai yan yanna ugajin wona zawuncizhi ga yi za'mi Aljannazhio ama'afibofi tuntunyin.
Surah 7:43,                                   And We shall remove from their hearts any lurking sense of injury;- beneath them will be rivers flowing;- and they shall say: "Praise be to Allah who hath guided us to this (felicity): never could we have found guidance had it not been for the guidance of Allah: indeed it was the truth that the messengers of our Lord brought unto us." And they shall hear the cry: "Behold! the garden before you! Ye have been made its inheritors for your deeds (of righteousness).",Yicia yannazhi fi yangba'azhio yan nanvo na wa ya eduzhi cia fe je fi takoazhio acia gangan: "Yebo kpata' ajin tabbata ya Soko na wu yiba be nana na Kagan ujin ebo na Soko a yi wuba na'a da yi'yi yia fe ezabawuzhia. Akika Tuci Soko yizhi ada-be-yn be gaskiyae. "Aciyia gan: Aljanna na dan'o daana; agiu gun gi ya ye ebo iri etun (wangizhi) nazhi ye fe lo na.
Surah 7:44  ,                         The Companions of the Garden will call out to the Companions of the Fire: "We have indeed found the promises of our Lord to us true: Have you also found Your Lord´s promises true" They shall say "Yes"; but a crier shall proclaim between them: "The curse of Allah is on the wrong-doers;-,Egi mi Aljannazhi cia ta mi yi egi mi nazhi gan: "Akika yannazhi Tsoci yi jinyi Alkawali na yia de (kpata) be gaskiyae ngba  yannazhi tsociye jin ye Alkawali na ye tsun'u acin be gaskiyae Acigan: E- zanae yami na ci ya'mi tsakaniabo ci gan: "Emibo yan Soko ajin tabbata ta eti azwalumizhio.
Surah 7:45 ,        "Those who would hinder (men) from the path of Allah and would seek in it something crooked: they were those who denied the Hereafter.",Zanazhie kan zazhi eko Soko yn da na acie wagan a la wun'a la'azhe eko koto na ama'afe zanazhi a jin kafirinci be Efo zobae na.
Surah 7:46  ,               Between them shall be a veil and on the heights will be men who would know every one by his marks: they will call out to the Companions of the Garden "peace on you": they will not have entered but they will have an assurance (thereof).,Yekan ndoci ma dan tsakaniabo be dozhi eti pati yan A'arafuoma eza bagi ndoci kpebo akpe (egi mi Aljanna to egi mi nazhi ye) be alama'azhi: Aci yi egi mi Aljannazhigan: Aminci (Soko) ula'ujin tabbata u ya ye: Ala'a de gandan boa ama'ade ejin fan fan yan gingandan.
Surah 7:47 ,           When their eyes shall be turned towards the Companions of the Fire they will say: "Our Lord! send us not to the company of the wrong-doers.",Ama ga eyeazhi pan da'eba egi minazhi a gan: Tsociyi! Ga la yi fe dan baenio be jama'a yan azwalumizhi ma.
Surah 7:48 ,            The men on the heights will call to certain men whom they will know from their marks saying: "Of what profit to you were your hoards and your arrogant ways,Zaba pati Aara 
Surah 7:49  ,            "Behold! are these not the men whom you swore that Allah with His Mercy would never bless Enter ye the Garden: no fear shall be on you nor shall ye grieve.",Ngba zananazhi ga yi fe zhi kuti etiabo ke Soka gun'a yea nao Aci gan'agan: "Egandan Aljannao dansun ndondo danbo ya ye yea ye mae le yangban nyin yea.
Surah 7:50  ,                 The Companions of the Fire will call to the Companions of the Garden: "Pour down to us water or anything that Allah doth provide for your sustenance." They will say: "Both these things hath Allah forbidden to those who rejected Him.",Egimi nazhi cia ta mi yi egi "mi Aljannazhi gan: "E to nuwan kpeyi ko ma yandoci dagan mini arziki na Soko ya ye nao agan" Akika Sokoa gubaba la' jin haramu ya kafirizhi.
Surah 7:51,                  "Such as took their religion to be mere amusement and play and were deceived by the life of the world." That day shall We forget them as they forgot the meeting of this day of theirs and as they were wont to reject Our signs.,Zanazhia adinia zhi la eyan shagala be edzoe na rayuwa yan yizhe cia ta (ke Soko lugwa na.) to Yiga atso batan kendoe atso ba efo gungun'a yan yinna tan na to ayayi nazhi afe gbomi be yin na.
Surah 7:52 ,        For We had certainly sent unto them a Book based on knowledge which We explained in detail- a guide and a mercy to all who believe.,Akika ma yi be ya'be litafi Yicia egan zhi kpe ye fibo eti kpikpeo ebo ulaufe bawu be yegun'y ya jama'a nazhie ya Soko gaskiya na.
Surah 7:53  ,                                   Do they just wait for the final fulfilment of the event On the day the event is finally fulfilled those who disregarded it before will say: "The messengers of our Lord did indeed bring true (tidings). Have we no intercessors now to intercede on our behalf Or could we be sent back then should we behave differently from our behaviour in the past." In fact they will have lost their souls and the things they invented will leave them in the lurch.,Kashi e ka yandoci ka na'ayi bayani yan gbangba eti alkiyamio na fondondo na bayani yan gbangba ga be ya'a na zanazhi'u batan shidzo batsozhio na agangan: "Akika Tuci yan Tsoci yizhi be be gaskiyae. To ngba yide egwatancizhi nazhia tangwa ya yi na koma a la yiyia la'ada' yizhe ebo yi dae lo tun (wangizhi) ndoci yan nazhi yife lo shibo le na Akika a'jin hasara rayiazhi gamana nazhi ma afe tswa na 'agbin'a'yeo.
Surah 7:54,                               Your Guardian-Lord is Allah Who created the heavens and the earth in six days and is firmly established on the throne (of authority): He draweth the night as a veil o´er the day each seeking the other in rapid succession: He created the sun the moon and the stars (all) governed by laws under His command. Is it not His to create and to govern Blessed be Allah the Cherisher and Sustainer of the worlds!,Akika Tsoci ye uga yi Soko Etsu najin alitta samazhi to kin dan mini efo gutsun'ayin 'o na gancin ucia jin dai dai ta eti Alarashio wyun'e la yeshi la'akpe batin ucia fe din ye fe wau va vayin to yigidi to etswa to tswangizhi kpata wyunga daa ku be foro'uyin ya alittazhio. Akika wyunga wun alittazhi to alamariazhio. Albarka yan Soko'a latu Etsu nae kpa alittazhi kpata na.
Surah 7:55,       Call on your Lord with humility and in private: for Allah loveth not those who trespass beyond bounds.Efe yi Tsocie ye be ejpedae to swiswoci. Akika wyun'ewa za nazhi gae gwo iyaka gan naa.
Surah 7:56 ,             Do no mischief on the earth after it hath been set in order but call on Him with fear and longing (in your hearts): for the Mercy of Allah is (always) near to those who do good.,Ye mae ga nyin yan fi kinbo ba ci yan edzutau bo ma. Ye mae fe yi uUye ebo dasun'o to evunbae. Akika yegun Soko utsoba zanazhie jin bolobolona kpanyin.
Surah 7:57  ,                          It is He Who sendeth the winds like heralds of glad tidings going before His mercy: when they have carried the heavy-laden clouds We drive them to a land that is dead make rain to descend thereon and produce every kind of harvest therewith: thus shall We raise up the dead: perchance ye may remember.,Wyun ga mae tun efe zhi tun'o ebo ula labari yangbanfa yan yegun Soko nadan yegboro na'u yaye harda kamina uga girgije zhi la ucia lukpin na Yici gau dagwa da ezhi nayi tsutsuci na.Yicia du le zhin beuyin yicia la yangici sunsunzhi iri ndondo tinya be'uyin. Aciga ga Yie la eyan tsutsucizhi tin yao ujinwo be wuncin'y yega santu.
Surah 7:58,                From the land that is clean and good by the will of its Cherisher springs up produce (rich) after its kind: but from the land that is bad springs up nothing but that which is niggardly: thus do we explain the signs by various (symbols) to those who are grateful.,Ezhi na ma yi wangi na yangici sunsun'uzhi ga tinya be izini Tsociuyin ezhi nama ga'a nyin-na Yangici sunsun'u wun'atinya'a sai be wahalae. Acinga ga Yie kpe ayazhi ye ya jamaa nazhi gae jin yebo Soko nao.
Surah 7:59  ,                 We sent Noah to his people. He said: "O my people! worship Allah! ye have no other god but Him. I fear for you the punishment of a dreadful day!,Akika Yitun Nuhu fi jama'a yan'uzhi ucigan: "ya ye jama'a yan mi zhi! Ejin bauta ya Soko ye de Tsoci ndoci zunmauboa. Akika mie sundan ya ye yan azaba Efo na wancin na
Surah 7:60 ,       The leaders of his people said: "Ah! we see thee evidently wandering (in mind).",Wancinzhi mini jama'a yan'uzhio cigan: Akika yi ye le wyo ye ke de wyoa lodan egbin natsoa tula na.
Surah 7:61 ,        He said: "O my people! No wandering is there in my (mind): on the contrary I am a messenger from the Lord and Cherisher of the worlds!,Ugan: "ya ye jama'a yan mizhi! Egbin ndondo dan be mi yin'a ammaade mi Tuci mi yio dagan eba Etsu nae kpa alittazhi kpata na.
Surah 7:62,          "I but fulfil towards you the duties of my Lord´s mission: Sincere is my advice to you and I know from Allah something that ye know not.,Mie wu yan wu ya ye yan etun Tsoci mizhi mimae jin ye gangba jin. Mi ma de kpikpe ndocizhi dagan eba Soko nazhi yekpea na.
Surah 7:63  ,          "Do ye wonder that there hath come to you a message from your Lord through a man of your own people to warn you- so that ye may fear Allah and haply receive His Mercy",Kashi ye jin mamaki jin na sinsantu be yaye dagan eba Tsoci ye bo gwata eza bagi ndocio na ebo ujin ye gangba ebo ma ya fe tswa Soko ujin wo be wuncin'y ye lae de yegun na
Surah 7:64 ,            But they rejected him and We delivered him and those with him in the Ark: but We overwhelmed in the flood those who rejected Our signs. They were indeed a blind people!,Aciu yi ganmanazunci Yiciu wadzun to zanazhi dan ganni beuyin dan mini eyao na. Yicia zanazhi yi aya Yizhi ganmana na gbin (fi nuwan'o) Akika afe eza zhizhicihi.
Surah 7:65  ,            To the ´Ad people (We sent) Hud one of their (own) brethren: He said: O my people! worship Allah! ye have no other god but Him will ye not fear (Allah)",To lo eba Aaduzhi Yitun yegia Hudu fia ucigan: "ya ye jama'a yan mizhi! Ejin bawta ya Soko ye de Tsoci ndoci zumauboa ngba yea tswa sokoa
Surah 7:66 ,            The leaders of the Unbelievers among his people said: "Ah! we see thou art an imbecile!" and "We think thou art a liar!",Wan cin nazhia jin kafirinci mini jama'a yan'uzhio na cigan: "Akika yide le wyo ye dan mini wawabo yima be akikae yi kpe gan wyodan mini ganmana zuncizhio.
Surah 7:67 ,        He said: "O my people! I am no imbecile but (I am) a messenger from the Lord and Cherisher of the worlds!,Ugan: ya ye jama'a yan mi zhi! Wawabo ndondo dan be mi yin'a amma'ade akika mi Tuci tsa miyio dagan eba Etsu naekpa alittazhi kpata na bo.
Surah 7:68 ,     "I but fulfil towards you the duties of my Lord´s mission: I am to you a sincere and trustworthy adviser.,Mie wu yan ya ye etun Tsoci mi zhi mi ma gangba jinci eza amana mi yi ya ye yeo.
Surah 7:69,                          "Do ye wonder that there hath come to you a message from your Lord through a man of your own people to warn you call in remembrance that He made you inheritors after the people of Noah and gave you a stature tall among the nations. Call in remembrance the benefits (ye have received) from Allah: that so ye may prosper.",Kashi ye jin mamaki jin na sinsantu be ya ye gwata eza bagi ndoci mini yebo ebo udebaujin ye gangba nao Ye mae fe pa kamina Soko la ye zhe halifa zunma yan jama'a yan Nuhuzhio na uci beye cinwan nakan kpace dan alittao. Ebo acin'o efe pa ni'ma Soko zhi ujinwo be wuncin'y ye ga de nasara.
Surah 7:70 ,               They said: "Comest thou to us that we may worship Allah alone and give up the cult of our fathers bring us what thou threatenest us with if so be that thou tellest the truth!",Agan: "wyo be beya yi ebo yi jin bautay ya Soko gbaugi yi ci la yan na yanmanci yizhie jin bauta ya na'y lugwa To be ya yi be yanna wyoe la dubafi yi yan alkawali na wyo gaafe dan mini eza gaskiyazhio na.
Surah 7:71 ,                       He said: "Punishment and wrath have already come upon you from your Lord: dispute ye with me over names which ye have devised - ye and your fathers- without authority from Allah then wait: I am amongst you also waiting.",Ugan: Akika azaba to fushi acia ta ye dagan eba Tsociebo! Kashi ye gbomi gbo be miyin dan mini sunna nazhi yetso tu nyan yeo na Soko ma cin hujja ndondo be ta eti boa na To efe tu (hukunci Soko) ye Akika mi ganna be ye yin yi dan mini zanazhie tu yan ye nao.
Surah 7:72,           We saved him and those who adhered to him. By Our mercy and We cut off the roots of those who rejected Our signs and did not believe.,Yiciu wadzun to zanazhi dan be uyinna be yegun ndoci dagan eba Yibo. Yicia zunma yan zanazhi yi aya Yizhi ganmana na dzaya ama fe muminizhia.
Surah 7:72  ,          We saved him and those who adhered to him. By Our mercy and We cut off the roots of those who rejected Our signs and did not believe.,Yiciu wadzun to zanazhi dan be uyinna be yegun ndoci dagan eba Yibo. Yicia zunma yan zanazhi yi aya Yizhi ganmana na dzaya ama fe muminizhia.https://play.google.com/store/apps/detailsid=com.noorlab.alquranfuzhi cia yi bagindocizhi ama kpea ye be alama'zhi acigan: "Dukiya nazhi ye fe kuyekan na ujin ye anfani ndondoa to eti kagbo nazhi ye fe gbo na U kunke yaye eko ndondo boa. 
Surah 7:73    ,                            To the Thamud people (We sent) Salih one of their own brethren: He said: "O my people! worship Allah: ye have no other god but Him. Now hath come unto you a clear (Sign) from your Lord! This she-camel of Allah is a Sign unto you: So leave her to graze in Allah´s earth and let her come to no harm or ye shall be seized with a grievous punishment.,To lo eba Samuduzhi Yitun yegia Salihu fia ugan: yaye jama'a yan mizhi! Ejin bawta ya Soko ye de Tsoci ndoci zumauboa. Akika hujja na'atula na da be yaye dagan eba Tsociebo! Nana rakun yan Soko uyio aya ndoci ma'uyi be eba ye yeo. Ye'u ya ufe'u gi dagan kin yan Soko ye mae ga la egun ndondo tswan'u ma kacin'a azaba na tan na gae wan.
Surah 7:74  ,                      "And remember how He made you inheritors after the ´Ad people and gave you habitations in the land: ye build for yourselves palaces and castles in (open) plains and care out homes in the mountains; so bring to remembrance the benefits (ye have received) from Allah and refrain from evil and mischief on the earth.",Ye mae pa kamina Soko la yezhe egwagwoci yan kinzhi zunma Aduzhio na ucia ye ya edunfeba wangi kin bo ye cie tu emikozhi dagan danna didaciuzhio ye mae sa katazhi dagan patiuzhio ebo acin'o efe pa nima Soko zhi yemae ga za kpe kinbo yeafe eyan nyincizhi ma.
Surah 7:75  ,                    The leaders of the arrogant party among his people said to those who were reckoned powerless - those among them who believed: "know ye indeed that Salih is a messenger from his Lord" They said: "We do indeed believe in the revelation which hath been sent through him.",Wancin nazhia gbotika dan mini jama'a yan'uzhio na cia gan be zanazhi yi zagbogunzhi na nazhi ma imani jin miniabo na: Ngba ko ye kpewo gan Salihu Tuci uyio dagan eba Tsociubo Agan: yi de akika yia imani jin be etun na'atun'una.
Surah 7:76 ,      The Arrogant party said: "For our part we reject what ye believe in.",Zanazhia gbotikana cigan: "Akika yi ma yia jin kafirinci be yan na ye jin imani be yin nae.
Surah 7:77 ,             Then they ham-strung the she-camel and insolently defied the order of their Lord saying: "O Salih! bring about thy threats if thou art a messenger (of Allah)!",Acia rakun tunyan acia gbotika be foro Tsocia yin acigan: "Ya Salihu! Beya ya yi be alkawali azaba na wyoe jin yi na wun'ayi gan mini Tuci (Soko) zhi bo wyo dan'ona.
