Surah 19:1 ,Kaf. Ha. Ya. ´Ain. Sad.,KAF HA YA AIN SWAD
Surah 19:12    ,  (To his son came the command): "O Yahya! take hold of the Book with might": and We gave him Wisdom even as a youth,(Soko ci gan): "wyo Yahya! Agwa sun Litafi (Attaura) be kagboe" Yima'a hukunci (Annabi) la'a yau tun uyi dzakangi yi re.
Surah 19:13  ,   And piety (for all creatures) as from Us and purity: He was devout,Yima'u la'afe eza tosayi dagan nko Yibo U mayi za na yangban'u tadzu na uma'afe zanae sundan Soko na.
Surah 19:14,     And kind to his parents and he was not overbearing or rebellious.,Umae la mitu foro yanmanciuzhi (guba'ba) umajin eza ti kagbocia umajin zanae le Soko ba na'a.
Surah 19:15 ,       So Peace on him the day he was born the day that he dies and the day that he will be raised up to life (again)!,Aminci Soko ma'u la'ujin tabbata'u ta etiubo efo na aa ma'u na to efona uga'ajin ajali na to fo na a gaa naukin (kabario) be rayi na.
Surah 19:16  ,       Relate in the Book (the story of) Mary when she withdrew from her family to a place in the East.,Wyo mao tun labari Maryamuo ye itafi nanao kamina'u kpe la dagan eba jama'a yan'uzhio na uci daa bandoci uci da shi kansanta eyi-laazhin'o (Baitul-Makadisio).
Surah 19:17  ,        She placed a screen (to screen herself) from them; then We sent her our angel and he appeared before her as a man in all respects.,Ucia yekan ndoci la'adan tsakaniubo bea yin gancin Yici tun RUHI YI fiu (ugayi malaika Jibriluo) uci da dzun fiu be sura zawangi.
Surah 19:18  ,     She said: "I seek refuge from thee to (Allah) Most Gracious: (come not near) if thou dost fear Allah."U gan: ",Hakika mie ba be Sokoe na yi Etsu yegun na wyun'u tswami be wyo yin wyun'ayi za nae sundan Soko na wyo yio na.Surah 19:19        He said: "Nay I am only a messenger from thy Lord (to announce) to thee the gift of a holy son.Ugan: "mi tuci Tsoci wyoe tsa mi yio mi be be eryatwa egi nayi lilici nae.
Surah 19:20    ,      She said: "How shall I have a son seeing that no man has touched me and I am not unchaste",Ugan: "ke wun'a zhezhe mici de gi nao alaali ma bagi ndondo la'a la gwa to mi lea naa yin'o Mima kezhe jin yancin da cia.
Surah 19:21   ,           He said: "So (it will be): Thy Lord saith ´that is easy for Me: and (We wish) to appoint him as a Sign unto men and a Mercy from Us´:It is a matter (so) decreed.",(Malaika) ci gan: "Acinga ga Tsoci wyo gan'o" wuncin yanna fan na uyi eba Mi bo Mi man la wun'nlanfe egwa wu yan zankpe ya zawangizhi umayi yegun dagan eba Yibo (jinjin wuncin ma) alaamari uyio na'ajin tabbata'a ni na.
Surah 19:22   , So she conceived him and she retired with him to a remote place.,,Ucia ewan'u la uciu la kpe ya daa danna ndoci na lokpa na.
Surah 19:23     ,       And the pains of childbirth drove her to the trunk of a palm-tree: She cried (in her anguish): "Ah! would that I had died before this! would that I had been a thing forgotten and out of sight!",Etan yan naakuda ci'u la daa kpetso cigban yan dobina (nayi wiwoci na) uci gan: "kasami re! E gan gan mia tsu kaafi alamari nana'u be naa mi man lanzhe eyan tanbaci na'a batan'ani na'a.
Surah 19:24,         But (a voice) cried to her from beneath the (palm-tree): "Grieve not! for thy Lord hath provided a rivulet beneath thee;,Gancin uci Yi'u dagan tako taubo cigan: "Ga nyin yangban ma hakika Tsoci wyoe wun'a sangi-nuwan ndoci laadan kansanta wyo bo.
Surah 19:25 ,      "And shake towards thyself the trunk of the palm-tree: It will let fall fresh ripe dates upon thee.,Wyo mao kun cigban yan dobina wuncin'o'gwa sun-sun yan dobina fun-furuzhia fe cin be ya wyoe.
Surah 19:26 ,                "So eat and drink and cool (thine) eye. And if thou dost see any man say ´I have vowed a fast to (Allah) Most Gracious and this day will I enter into not talk with any human being´",Gancin wyoci'o gi wyo mao fin wyo mao la hankali wyo-o cin'o ta zawangi ndondo nama wyoga le ye nato gan yau gan: "Mi la alkawali emi-wan be Sokoe ebo acin'o mia gan gan be zandondoe yin-na'a.
Surah 19:27   ,      At length she brought the (babe) to her people carrying him (in her arms). They said: "O Mary! truly an amazing thing hast thou brought!,Gancin ucia egi woro (na'u ma na) la bea ya jama'a yan'uzhi aci gan: "Ya wyoe Maryamu! Hakika wyo da be be yandoci na gbota na".
Surah 19:28  ,        "O sister of Aaron! Thy father was not a man of evil nor thy mother a woman unchaste!",Ya wyoe yegi yan Haruna! Hakika Babawyoe u fe zanaejin lalata na'a ka Nna wyo ma ufe yancin-dacia.
Surah 19:29  ,       But she pointed to the babe. They said: "How can we talk to one who is a child in the cradle"Ucia egwa ta wu'u aci gan: ",ke wun'a zhezhe yi cia gan gan be egi bobongi na ma yi gun ede sakun yan miman'o nao".
Surah 19:30  ,     He said: "I am indeed a servant of Allah: He hath given me revelation and made me a prophet;,(Egi bobongi) (Isa) ci gan: "Hakika mi wuzhi Soko mi yio wyun'a Litafi la'aya mi Uma mi la'afe Annabi.
Surah 19:31,          "And He hath made me blessed wheresoever I be and hath enjoined on me Prayer and Charity as long as I live;,Uma mi laafe eza albarka bandondo na mi ga dan na Uma jin mi gangba be tswitswa sallae be yiya yan zakkae abeke rayi ga dan be mi yin na.
Surah 19:32  ,   "(He) hath made me kind to my mother and not overbearing or miserable0;,Mi ma'nlan fe zanae lamitu foro nna mi na uma la mi fe eti kagboci nae le Soko ba na'a.
Surah 19:33  ,      "So peace is on me the day I was born the day that I die and the day that I shall be raised up to life (again)"!,Aminci Soko ma'u la'ujin tabbata'u ya mi fo na a mami na to fo na migaatsu na to fo na agaa nami kabario be rayi'i na.
Surah 19:33,        "So peace is on me the day I was born the day that I die and the day that I shall be raised up to life (again)"!,Aminci Soko ma'u la'ujin tabbata'u ya mi fo na a mami na to fo na migaatsu na to fo na agaa nami kabario be rayi'i na.
Surah 19:34 ,       Such (was) Jesus the son of Mary: (it is) a statement of truth about which they (vainly) dispute.,Wuncin ga yi (labari) Isa egi Maryamuo egan yan gaskiya na ma eti'ubo ga zawangi zhie gbo-mi acie jin kelo-kezhin'o-na.
Surah 19:35    ,           It is not befitting to (the majesty of) Allah that He should beget a son. Glory be to Him! when He determines a matter He only says to it "Be" and it is.,U -- yin ya Soko na wyun'a degi na'a; lili kpata'ajin tabbata ya Soko (ke aibi egi de lugwa) U ma ga hukunci alamari ndondo ba. Wyun'ajin Ugan'u gan:"afe" u ci ga'afe.
Surah 19:36  ,     Verily Allah is my Lord and your Lord: Him therefore serve ye: this is a Way that is straight.,Hakika ma Soko gayi Tsoci mi to yan ye yeo ebo acin'o ejin bauta ya'u; nana ga yi ekpa natso yi gboro nao.
Surah 19:37  ,        But the sects differ among themselves: and woe to the unbelievers because of the (coming) Judgment of a Momentous Day,!Ena-ena nazhi'a kpa na cia cedozhi leba gan-cinma azaba yan zunyesun wun'ajin tabbata ya zanazhi ejin kafirinci be bibe yan efo na wancin nae.Surah 19:38          How plainly will they see and hear the Day that they will appear before Us! but the unjust today are in error manifest,!Wyo ajin mamaki eganwoazhi be eba cinle azhi efo na aga'abe tsun yi na ama'ade azwalumizhi fo wuncin aga'afe dan mini egbin na'atula nao.
Surah 19:39  ,         But warn them of the Day of Distress when the matter will be determined: for (behold) they are negligent and they do not believe!,Wyo mao jin'a gangba yan efo ro-- nkpe ti lokacina aga egagba yan alkiyami gunmi na ala'ali ma (kamina a dan izheo na) aafe dan mini eye yao ama ya gaskiya (be alamari Soko yin'a).
Surah 19:40,       It is We Who will inherit the earth and all beings thereon: to Us will they all be returned.,Hakika Yi ga'a gi gun yan kin nanao to zanazhi kpe tiubo kpata nao ebo Yi ga ma aa kua zheban zhin'o.
Surah 19:40,       It is We Who will inherit the earth and all beings thereon: to Us will they all be returned.,Hakika Yi ga'a gi gun yan kin nanao to zanazhi kpe tiubo kpata nao ebo Yi ga ma aa kua zheban zhin'o.
Surah 19:41 ,      (Also mention in the Book (the story of) Abraham: He was a man of Truth a prophet.,Wyo mao tun labari Ibrahimuo ye dan mini Litafi (nanao); hakika eza gaskiya uyio umayi Annabi (Soko).
Surah 19:42   ,           Behold he said to his father: "O my father! why worship that which heareth not and seeth not and can profit thee nothing,Kamina'ugan be baba'uyin gan:" Ya wyoe babami! Ki'i la wyocie jin bauta ya yannae wo gan'a umae leba yea nao uma kunke ya wyo-wo be yandondo yin'a yin'o
Surah 19:43 ,           "O my father! to me hath come knowledge which hath not reached thee: so follow me: I will guide thee to a way that is even and straight.,Ya wyoe babami! Hakika kpikpe ndoci (dagan eba Tsoci najin alitta kpatana) be ya mi nama la'a be ya wyo ya'a na ebo acin'o ami tu mi ebo'n wu wyo ban-lo eko natso yi gboro na.
Surah 19:44    ,    "O my father! serve not Satan: for Satan is a rebel against (Allah) Most Gracious.,Ya wyoe babami! Gajin bauta ya shetan ma; hakika shetan lefi jinci Soko u yio.
Surah 19:45 ,         "O my father! I fear lest a Penalty afflict thee from (Allah) Most Gracious so that thou become to Satan a friend.",Ya wyoe babami! Hakika mie sundan na azaba'a tswan wyoe dagan eba Soko nayi etsu yegun nao wyo mao ga beafe eya shetan ma.
Surah 19:46 ,          (The father) replied: "Dost thou hate my gods O Abraham If thou forbear not I will indeed stone thee: Now get away from me for a good long while!",Babau ci gan: To gba'ni wyoe Ibrahima wyoe la nanvo lawu kuti mi zhi be ke na Hakika kagan-o'kegan be wuncin yin'a hakika miga'o ce yan wyo mao kpeo-ya be mi yin mi'nga leo ye be ma.
Surah 19:47 ,        Abraham said: "Peace be on thee: I will pray to my Lord for thy forgiveness: for He is to me Most Gracious.Ugan:",Mia gan be wyo yin be aminci'i mi ma'a wa gafara ya wyoe be Tsoci mi yin hakika Etsu ryatwa uyi yami sarauyin'o.
Surah 19:48  ,           "And I will turn away from you (all) and from those whom ye invoke besides Allah: I will call on my Lord: perhaps by my prayer to my Lord I shall be not unblest.",Mima ga'a kpe ya be yeyin to yannazhi ye jin bauta ya baci Soko'ona mi mae ba (alheri) be Tsoci mi yin hakika ma mi fe eza tiabi be jin-jin aduwae lo eba Tsoci mi yin'a.
Surah 19:49    ,         When he had turned away from them and from those whom they worshipped besides Allah We bestowed on him Isaac and Jacob and each one of them We made a prophet.,Kamina'u kpe ya bea yin to yanna afe jin bauta baci Soko'ona Yici twa'urya be Ishaqae to Yakubu'i zandondo miniabo ma Yi'u la'afe Annabi.
Surah 19:49   ,          When he had turned away from them and from those whom they worshipped besides Allah We bestowed on him Isaac and Jacob and each one of them We made a prophet.,Kamina'u kpe ya bea yin to yanna afe jin bauta baci Soko'ona Yici twa'urya be Ishaqae to Yakubu'i zandondo miniabo ma Yi'u la'afe Annabi.
Surah 19:50    ,    And We bestowed of Our Mercy on them and We granted them lofty honour on the tongue of truth.,Yima twa'urya dagan mini yegun'Yi bo Yicia la fe eza yeji yan gaskiyazhi ganni be daraja na latu nae.
Surah 19:51      ,   Also mention in the Book (the story of) Moses: for he was specially chosen and he was a messenger (and) a prophet.,Wyo mao tun Musao ye dan Litafi nanao. Hakika eza tsitsaci uyio umayi Annabi be Tuci'y.
Surah 19:52,      And we called him from the right side of Mount (Sinai) and made him draw near to Us for mystic (converse).,Yi ma ci yi'u dagan kansan gwa'alo yan pati Turio Yici'u la'atsoba ebo ezaba (be Yi yin).Surah 19:53      And out of Our Mercy We gave him his brother Aaron (also) a prophet.Yi ma twa'urya dagan mini yegun Yibo be yegiu Harunae wyuntso ma Annabi uyio.
Surah 19:54    ,      Also mention in the Book (the story of) Isma´il: He was (strictly) true to what he promised and he was a messenger (and) a prophet.,Wyo mao tun labari Isma'ila-o ye dan mini Litafi nanao. Hakika za nae she alkawali na uyio umayi Annabi be tuci'y.
Surah 19:55  ,      He used to enjoin on his people Prayer and Charity and he was most acceptable in the sight of his Lord.,Uma'afe za nae jin iyaali'uzhi foro be salla jin'y-na to be yi-ya yan zakkae na uma'afe eza yeda eba Tsociubo.
Surah 19:56  ,     Also mention in the Book the case of Idris: He was a man of truth (and sincerity) (and) a prophet:,Wyo mao tun labari Idrisu'o ye dan mini litafi nanao. Hakika wyun'afe eza gaskiya umayi Annabi be.
Surah 19:57  ,And We raised him to a lofty station.,Yicia alamariu latu ta eti daraja nayi elatuci na.
Surah 19:58      ,                      Those were some of the prophets on whom Allah did bestow His Grace- of the posterity of Adam and of those who We carried (in the Ark) with Noah and of the posterity of Abraham and Israel of those whom We guided and chose. Whenever the Signs of (Allah) Most Gracious were rehearsed to them they would fall down in prostrate adoration and in tears.,Zawuncinzhi agayi zanazhi Soko la ni'imau zhi ya nao dagan mini Annabizhio mini zuriya Adamuzhio to zanazhi yi kufi eya nuwan'o ganni be Nuhu-I na to mini zuriya Ibrahimazhio to israila (Annabi Ya'akubu) to mini zanazhi Yi wuba na Yicia lafe eza tsitsacizhi na. Kandondo na agae gba aya Soko ya'ana ajin a dakpya acia daa sujada acia fe tigi.
Surah 19:59,          But after them there followed a posterity who missed prayers and followed after lusts soon then will they face Destruction-,Gancin zandocizhi ci be gwogwa'a zunma'a bo zawuncinzhima aa salla ta yakpe acia mi tu eyan shahawa-shahawa yangban'azhi to bele-yin aa gun be azaba yan "gayyu'i" kpankoro uyio dede dan mini jahannamao.
Surah 19:60 ,          Except those who repent and believe and work righteousness: for these will enter the Garden and will not be wronged in the least-,Sai dai zana ga tuba jin ucia imani jin uci lotun wangi na to zawuncinzhi ga'a gandan Aljannao ama'a jin'a zwalunci ko degia.
Surah 19:61 ,         Gardens of Eternity those which (Allah) Most Gracious has promised to His servants in the Unseen: for His promise must (necessarily) come to pass.,Aljannazhi ayio yan danbo dan na Soko ajin wuzhi'uzhi alkawali a mayi swiswoci na. Hakika ma Alkawali'u yanna'a dabe na uyio.
Surah 19:62     ,     They will not there hear any vain discourse but only salutations of Peace: And they will have therein their sustenance morning and evening.,A'wo egan banza ndondo boa sai de emisa yan sallama (dagan eba malaikazhio) arzikiazhi ma fi baagao to la'azhin to lozun.
Surah 19:63 ,       Such is the Garden which We give as an inheritance to those of Our servants who guard against Evil.,Aljanna wuncin na Yie gi'ugun gi ya wuzhi Yizhi nazhiafe zanazhie sundan Soko na.
Surah 19:64 ,                (The angels say:) "We descend not but by command of thy Lord: to Him belongeth what is before us and what is behind us and what is between: and thy Lord never doth forget-,(Malaika Jibrilu ci gan): Y I yie cin be kin yin'a sai dai be foro Tsoci wyo yin yannazhi dan yegboro yibo na to nazhi dan zunma yibo na to nazhi fi tacin wuncinzhio kpata na Soko wun'o. Tsoci wyo ma ufe Etsu na'a bawu tan naa.
Surah 19:65    ,       "Lord of the heavens and of the earth and of all that is between them; so worship Him and be constant and patient in His worship: knowest thou of any who is worthy of the same Name as He",Wyun gayi Tsoci yan sanmazhi to kin to yannazhi fi tacin'ubo nao ebo acin'o fe jin bauta ya'U wyo mao la hakurio jin'odan bauta'Ubo. Kashi wyo de kpikpendoci ke ade dozhin'u na
Surah 19:65,           "Lord of the heavens and of the earth and of all that is between them; so worship Him and be constant and patient in His worship: knowest thou of any who is worthy of the same Name as He",Wyun gayi Tsoci yan sanmazhi to kin to yannazhi fi tacin'ubo nao ebo acin'o fe jin bauta ya'U wyo mao la hakurio jin'odan bauta'Ubo. Kashi wyo de kpikpendoci ke ade dozhin'u na
Surah 19:66  ,     Man says: "What! When I am dead shall I then be raised up alive",Zawangi ma'ajin ufe gan gan:"Ngba miga'atsu aa bea mi la tinya be be rayi'i.
Surah 19:67     ,    But does not man call to mind that We created him before out of nothing,Ngba zawangi ma pa pa'a kede kamina Yi jin alittau shidzo batsozhio na ufe yandondoa yin'a.
Surah 19:67   ,      But does not man call to mind that We created him before out of nothing,Ngba zawangi ma pa pa'a kede kamina Yi jin alittau shidzo batsozhio na ufe yandondoa yin'a.
Surah 19:68 ,      So by thy Lord without doubt We shall gather them together and (also) the Evil Ones (with them); then shall We bring them forth on their knees round about Hell;,To Mizhi kuti be Tsoci wyo yin sai Yi ga'a la nakin kabario to shetanzhi baenio gancin Yi ci'y da'agwa'y-zhi yegboro jahannamao zhikurao.
Surah 19:69    ,     Then shall We certainly drag out from every sect all those who were worst in obstinate rebellion against (Allah) Most Gracious.,Gancin dagan mini jama'a ndondo Yi ga zanazhie gbotika sarauyin be Sokoe na wa zhizhi kaayin.
Surah 19:70 ,      And certainly We know best those who are most worthy of being burned therein.,Gancin ma hakika Yiga de kpikpe gan'o yan iri zanazhi -- yin ena nana'a po nao.
Surah 19:71  ,      Not one of you but will pass over it: this is with thy Lord a Decree which must be accomplished.,Amade zaeni ndondo minieboa saide uga'a (kpandara sirati) da -- gan. Wuncin ma'afe hukunci na'ajin tabbata'ani dan eba Tsoci wyo bo na.
Surah 19:72   ,    But We shall save those who guarded against evil and We shall leave the wrong-doers therein (humbled) to their knees.,Gancin Yiciga zanazhi sundan Soko na gangwa Yici ga azwalumizhi ya fibo zhi kurao.
Surah 19:73    ,           When Our Clear Signs are rehearsed to them the Unbelievers say to those who believe "Which of the two sides is best in point of position Which makes the best show in council",Ama gae gba aya Yizhi ya'a gbangbae zanazhia'jin kafirinci na aajin afe gan be zanazhia imani jin nae gan: "Ngba mini ena guba'abao (kafirizhi be musulumizhi) zi'i de kinigiba wanciko gan'o zi'i ma majalisau )nko'u) gye-gan'o.
Surah 19:74   ,     But how many (countless) generations before them have we destroyed who were even better in equipment and in glitter to the eye,Dokun ma mini al'umma nazhi shi-dzo na Yia jin hallaka. Amade eyan izhe zhi gan ama gye gan eba cin-cin leo.
Surah 19:75     ,                   Say: "If any men go astray (Allah) Most Gracious extends (the rope) to them until when they see the warning of Allah (being fulfilled) - either in punishment or in (the approach of) the Hour- they will at length realise who is worst in position and (who) weakest in forces!,Gangan: Zaeni ndondo na ga'afe dan mini egbin'o na ngan Soko Etsu yegun wyun'a to gban yau sarauyin. Har da kamina a ga bea yanna e la'ajin'a alkawali na le ye ko azaba (yan izhe) ko ma yan Alkiyami. To beleyin aakpe zi'i de kinigiba dede gan'o zi'i ma to gbogun gan eba taimako jincizhi bo
Surah 19:76 ,           "And Allah doth advance in guidance those who seek guidance: and the things that endure Good Deeds are best in the sight of thy Lord as rewards and best in respect of (their) eventual return.",Soko ma'ajin ube bawu ya zanazhi gamitu eko bawu na. Etun wangi nazhia dan'abo dan na ade alheri gan eba Tsoci wyo bo eba la'adao uma de alheri gan eba zoba (wangio).
Surah 19:77  ,     Hast thou then seen the (sort of) man who rejects Our Signs yet says: "I shall certainly be given wealth and children",Ngba wyo le zana jin kafirinci be aya Yizhi na yea uci gan:"Hakika aya mi dukiya be zuriyae naa
Surah 19:78    ,  Has he penetrated to the Unseen or has he taken a contract with (Allah) Most Gracious,Beke ule gaibu (eyan swiswoci) ye le na kashi ude alkali ndoci de dagan eba Soko.
Surah 19:79  ,      Nay! We shall record what he says and We shall add and add to his punishment.,Ujin'acin'a hakika Yiga yannazhi wyun'e gan na ka Yima ga yantaci azaba tatau yan baeni.
Surah 19:80,    To Us shall return all that he talks of and he shall appear before Us bare and alone.,Yima ga yanna wyun'e gan na gi-gun yau ucia be tsun yi wyuntso gbu'ugi.
Surah 19:81  ,     And they have taken (for worship) gods other than Allah to give them power and glory!,Acie da jin bauta ya kutizhi ndocizhi ke Soko lugwa ebo'adeba'a la'azhe kagbo'a ya'a.
Surah 19:82 ,    Instead they shall reject their worship and become adversaries against them.,A'a ujin acin'a bele-yin atso ga kafirinci jin be bauta nae jin ya'a na atso ma'abea zhe makiriazhi be.
Surah 19:83 ,       Seest thou not that We have set the Evil Ones on against the unbelievers to incite them with fury,Kashi wyo kpe gan Yia jin Yitun shetanzhi fi kafirizhi acia jin afe fua shara dan mini egbin boa
Surah 19:84   ,   So make no haste against them for We but count out to them a (limited) number (of days).,Wyo de ga dinye ya'a ma hakika Yie jin lisafi jin'ya yan adadi efo ajaliazhi.
Surah 19:85,     The day We shall gather the righteous to (Allah) Most Gracious like a band presented before a king for honours,Fo na Yigaa na zanazhie sundan Soko dagan kabaria zhio lo eba Soko na aga'afe ega nazhi yi za cinwanci zhi na.
Surah 19:86 ,   And We shall drive the sinners to Hell like thirsty cattle driven down to water-,Yicia nyan lefi jincizhi da fi ena jahannamao be egwadae.
Surah 19:87    ,    None shall have the power of intercession but such a one as has received permission (or promise) from (Allah) Most Gracious.,Ade zandondo na'ade kagbo yan gwatan na'a sai de zana gade izini dagan eba Soko Etsu naeye AL-RAHMANU nao.
Surah 19:88 ,  They say: "(Allah) Most Gracious has begotten a son!",Aci gan Soko AL-RAHMANU u yi be egi.
Surah 19:89,   Indeed ye have put forth a thing most monstrous!,Hakika yea eyan gbonta (na man-y-woa na) labe.
Surah 19:90    ,    At it the skies are ready to burst the earth to split asunder and the mountains to fall down in utter ruin,Sanmazhia tsoba na aga san na ebo egan dede na nao to kin yin'otso wun'ejin ke ugaa banfi na to patizhi e jinke agaa nikin zhizhi acia laa ban ruku-ruku na.
Surah 19:91 ,  That they should invoke a son for (Allah) Most Gracious.,Ebo egan dede (yan ganmana) na'agan cigan Soko yi be egi na.
Surah 19:92  ,   For it is not consonant with the majesty of (Allah) Most Gracious that He should beget a son.,Uma -- yin -- ya Soko AL-RAHMANU na wyun'a degi na'a.
Surah 19:93 ,        Not one of the beings in the heavens and the earth but must come to (Allah) Most Gracious as a servant.,Hakika zandondo na dan mini sanmazhio to kin bo na aa be eba Soko AL-RAHMANU be kinigiba yan wuzhio.
Surah 19:94 ,  He does take an account of them (all) and hath numbered them (all) exactly.,Hakika Sokoa alittazhi kpaata tswa U ma'a jin lisafi so-san yin.
Surah 19:95 ,   And everyone of them will come to Him singly on the Day of Judgment.,Kpaata'a ma abe tsun Soko tsun efo Alkiyami nni-nni.
Surah 19:96  ,      On those who believe and work deeds of righteousness will (Allah) Most Gracious bestow love.,Hakika zanazhia imani jin aci lotun wangi-wangi zhi na Soko ga boye be cin-cin-y la'adan tsakaniabo be dozhi.
Surah 19:97 ,        So have We made the (Qur´an) easy in thine own tongue that with it thou mayest give Glad Tidings to the righteous and warnings to people given to contention.,Hakika Yia Alkuranu la'afe finfanci be gintara (zhi-mi) wyo yin ebo wyo la wun'o jin busharao-ya zana zhie sundan Soko na wyo mao la wun'ojin gangbao ya zanazhie gbotika acie sun-wun be alamari Sokoe na. Al'umma zhi ma dokun nazhi Yi jin'a hallaka shidzo batsozhio na kashi wyo-wo san-san zaeni ndondo miniabo kashi wyo wo berea be
Surah 19:98   ,          But how many (countless) generations before them have We destroyed Canst thou find a single one of them (now) or hear (so much as) a whisper of themAnd. how many have We destroyed before them of generations Do you perceive of them anyone or hear from them a sound.
