Surah 31:2,   These are Verses of the Wise Book-,A'ya yan Litafi (ALKUR'ANI) wuncinzhi ayazhi a yio nan'e wu egbabo yan ganmisun Soko nan.
Surah 31:12    ,             we bestowed (in the past) Wisdom on Luqman: "Show (thy) gratitude to Allah." Any who is (so) grateful does so to the profit of his own soul: but if any is ungrateful verily Allah is free of all wants Worthy of all praise.,Akika Yi a hikima la atwarya ya Lukumanu kede un'jin yebo'u'ya Soko nan. Zandondo na gaejin yebo (ya Soko) nan u jin-jin ebo eti tacin'ubo za na ma ga'acin mananbo be Sokoe nan Akika Soko a kunke ya ti'u be dide yandondoe Etsu ma uyio nan e jin yebo ya (to kin to fiti o nao).
Surah 31:13    ,         Behold Luqman said to his son by way of instruction: "O my son! join not in worship (others) with Allah: for false worship is indeed the highest wrong-doing.",Wyo ma'o pa kaminan Lukumanu fe gan-gan be egi'u yin nan U ci fe jin'u waazi nan. U gan: Wye egi-mi! ga kara la yan pa Soko baci ma akika eyan la pa Soko baci leifi u yio nan gbota sarauyin nan.
Surah 31:14    ,            And We have enjoined on man (to be good) to his parents: in travail upon travail did his mother bear him and in years twain was his weaning: (hear the command) "Show gratitude to Me and to thy parents: to Me is (thy final) Goal.,Yi (Soko) ma jin zawangi gangba gan wun'u tswa yanmanciuzhi gubaba. Nna'u lau dan ewan'o gbogun eti gbogun'o U'ma ye-be Nna'u mini eya gubao. Ebo acin'o fe jin yebo ya Mi (Soko) to yanmanci wyo gubaba akika ezhe keba ye kpata eba Mi (Soko) bo'u dan'o.
Surah 31:15       ,                     "But if they strive to make thee join in worship with Me things of which thou hast no knowledge obey them not; yet bear them company in this life with justice (and consideration) and follow the way of those who turn to me (in love): in the end the return of you all is to Me and I will tell you the truth (and meaning) of all that ye did.",A ma ga din'gban be wyo yin gan sai wyo'o la yan'o pa Mi baci be yan nan wyo kpe akika wun'a nan ga ka'ra la mi tua'ma wyo mao fedun beayin izheo eti Bolobolo wyo mao la mi'outu ekpa (wuzhi guruzhi) nanzhi e gba Mi nan. Akika Miga yea kezhezhin be wuyan yao Mi cia yae labari etun nanzhi ye fe lo izheo nan.
Surah 31:16   ,                    "O my son!" (said Luqman) "If there be (but) the weight of a mustard-seed and it were (hidden) in a rock or (anywhere) in the heavens or on earth Allah will bring it forth: for Allah understands the finest mysteries (and) is well-acquainted (with them).,(Lukumanu kezhe a gan be egiu yin): "Ya wyoe egi mi akika (etun dede to wangi) ka'u ga yi gwargwado eyan sunsun nan gbagba gan kpata nan u cia fe dan mini takun wanciko ko mini sanmazhio ko mini kin'bo Soko ga'u ku ke fili. Akika Soko Etsu tosayi Uyio U'ma de labari yandondo.
Surah 31:17        ,        "O my son! establish regular prayer enjoin what is just and forbid what is wrong: and bear with patient constancy whatever betide thee; for this is firmness (of purpose) in (the conduct of) affairs.,Ya wyoe egi mi a sallah ku gikini wyo mao fe'o jin zazhi gangba be etun wangizhi wyo mao nan'wun etun dedezhi wyo mao jin hakuri be yandondo na ga tswan wye (eti eko n'nan'o'nan) akika wuncinzhi dan mini alamari nanzhi gbo'ta sarauyin nan.
Surah 31:18  ,             "And swell not thy cheek (for pride) at men nor walk in insolence through the earth; for Allah loveth not any arrogant boaster.,Wyo mao ga fe cin zunyebo be zawangi zhi'ima wyo mao'ga fe dazan alfahri ta eti kin bo ma akika Soko wun'e wa zandondo nan gae le tiuye cie jin fahri na'a.
Surah 31:19   ,       "And be moderate in thy pace and lower thy voice; for the harshest of sounds without doubt is the braying of the ass.",Wyo mao fe'o dazan yan tatacin (ezan hankali) wyo mao feo da bere o ci eba egan-gan'o akika bere nan biye gan kpatanan u ga yi bere tyatyagizhio.
Surah 31:20     ,                        Do ye not see that Allah has subjected to your (use) all things in the heavens and on earth and has made his bounties flow to you in exceeding measure (both) seen and unseen Yet there are among men those who dispute about Allah without knowledge and without guidance and without a Book to enlighten them!,Ngba ye cin-le lo zhin'a kendoe Sokoa yan nanzhiy fi sanmazhio nan to nanzhi fi kinbonan wun'a da ci-ci ya ye naa U ci kezhe a mannan- mannan'Uzhi nanzhiy yi gbangba nan to swiswocizhina la'a shekpan ya ye yea Akika a de dan mini zawangizhio za nanzhi e gbomi be hukunci Sokoe u ma de kpikpendoa u ma yi be bawu ndondo yin'a U ma yi be litafi ndondo nan e wu'a ba na'a nan.
Surah 31:21  ,                  When they are told to follow the (Revelation) that Allah has sent down they say: "Nay we shall follow the ways that we found our fathers (following). "What! even if it is Satan beckoning them to the Penalty of the (Blazing) Fire,A ma ga kezhea gan be a yin gan: ye'a emi tu yan nan Soko cin be nan a gan: A'a Yi ye la mi tu yannazhi yi kpeye tsun nda yi zhi eti'ubo nan. Ngba ka wun'a yi shaitan gae yi ye lo emi azaba (sa'ira) natan sarauyinna (ye ga emi tu'u).
Surah 31:22    ,          Whoever submits his whole self to Allah and is a doer of good has grasped indeed the most trustworthy hand-hold: and with Allah rests the End and Decision of (all) affairs.,Zaeni ndondo nan ga kpatsun ta ya Soko baenionan U mae dokun be bolobolo jin'y nan da-akika za wuncin a egwa laasun egban nan gboka sarauyin nan. Zoba yan alamari kpata ma Soko wun'o.
Surah 31:23     ,         But if any reject Faith let not his rejection grieve thee: to Us is their return and We shall tell them the truth of their deeds: for Allah knows well all that is in (men´s) hearts.,Zaeni ndondo na ma gaejin kafirinci nan ga ka'ra lugwa kafirinci'u a wyo nyin yangban ma. Yi ga a kezhe zhin be tsun kpatao Yi ma aya'a labari yan etun nanzhi a lo kpatanan akika Soko Etsu kpikpe u yio be asiri yan nazhi fi yangbanzhio nan.
Surah 31:24  ,    We grant them their pleasure for a little while: in the end shall We drive them to a chastisement unrelenting.Yi a to gban yaa yan eman wo degi Yi cia kezhe jin a kpaka da gun azaba nan lekpan etan o nan.
Surah 31:25              If thou ask them who it is that created the heavens and the earth. They will certainly say "Allah". Say: "Praise be to Allah!" But most of them understand not.,Ka wyo ga gbin'a gan gan: Ziy jin alita yan sanmazhio to kin yin'o Akika a gan gan: Soko ga jin ao. Gan gan: "Yebo kpata ajin tabbata ya Soko ekun dondo azhi a de kpikpe'a.
Surah 31:25   ,           If thou ask them who it is that created the heavens and the earth. They will certainly say "Allah". Say: "Praise be to Allah!" But most of them understand not.,Ka wyo ga gbin'a gan gan: Ziy jin alita yan sanmazhio to kin yin'o Akika a gan gan: Soko ga jin ao. Gan gan: "Yebo kpata ajin tabbata ya Soko ekun dondo azhi a de kpikpe'a.
Surah 31:26   ,      To Allah belong all things in heaven and earth: verily Allah is He (that is) free of all wants worthy of all praise.,Yan'nanzhi fi sanmazhio nan to nanzhi fi kinbo na Soko wun'ao Akika Soko ga-wun dide kpatao Etsu u ma yio nan alita kpata e jinyebo ya nao.
Surah 31:27    ,                And if all the trees on earth were pens and the ocean (were ink) with seven oceans behind it to add to its (supply) yet would not the words of Allah be exhausted (in the writing): for Allah is Exalted in Power full of Wisdom.,Ka-da u ga fe gan cigban nanzhi fi kinbo kpata nan a zhe alkalamizhi edu izhe kpata u la'ukeba u ci'u la'uzhe tadawa a cia kezhe'a la edu iriu gutwaba a be'u be (afea ka bayani yan egan misun Soko) (to alkalamizhi to tawadazhi kpata ga zo) egan misun yan Soko a zoa. Akika Soko Etsu zankpe u yio Egba ma u yio (dan jin-jin yandondo).
Surah 31:28     ,     And your creation or your resurrection is in no wise but as an individual soul: for Allah is He Who hears and sees (all things).,Jin-jin nan Soko jin alitta yezhi kpata nan to ekin nan wun'a nanye kabari ye zhiona u -- eka yan jin-jin rayi nini gan'a. Akika Sokoe wo u mae le ye.
Surah 31:29   ,                     Seest thou not that Allah merges Night into Day and he merges Day into Night; that He has subjected the sun and the moon (to his Law) each running its course for a term appointed; and that Allah is well-acquainted with all that ye do,Ye le ye'a kede akika Soko ga yi Etsu nan e la yeshi a lo dan batin'o na'a U mae kezhe la batin a lo dan yeshio naa U ci kezhea igidi to etswa jin foro ndondo'a e'dazan eti eka nan Soko ba ya'u nan. Akika Soko de labari(kpikpe) yan etun nanzhi ye lo kpata nan.
Surah 31:30   ,            That is because Allah is the (only) Reality and because whatever else they invoke besides Him is Falsehood; and because Allah- He is the Most High Most Great.,Wuncinzhi kpata-ma e wu' gwa ke de Soko tsa yi Etsu gaskiyao nao akika ma yandondo nan alitazhie wun baci Soko nan ganmanan u yio Akika ma Soko ga yi Etsu nan-wun elatu nao U ma yi Etsu nan wancin nan.
Surah 31:31 ,                 Seest thou not that the ships sail through the ocean by the Grace of Allah- that He may show you of His Signs Verily in this are Signs for all who constantly persevere and give thanks.,Wyo le yea Kede eya nuwanzhi e dazan-da kpe eti eduo be ni-ima Soko yin'a ebou de-ba'u wugwa zankpe'u mini zankpe uzhi boa Akika mini yan wuncinzhio egwa wu yan zankpe Soko danbo ya zandondo nan ga yi eza hakuri nan U ma ekezhe jin yebo (ya Soko)nan.
Surah 31:32          ,           When a wave covers them like the canopy (of clouds) they call to Allah offering Him sincere devotion. But when He has delivered them safely to land there are among them those that halt between (right and wrong). But none reject Our Signs except only a perfidious ungrateful (wretch)!,Kaminan egban yan nuwan ga rukpea na ke girgijezhi nan kanga afe yi Soko ye a ci ga yangban tadzu dan yiyi nan e yi'u nao gancin u ga'a wa'dzun dazhin kosun kanga a' de za kirkizhi miniabo. Akika a de za na agbomi be aya Sokoe na'a sai za nan e ta ti u nan u mae cin mannan bo nan.
Surah 31:33   ,                          O mankind! do your duty to your Lord and fear (the coming of) a Day when no father can avail aught for his son nor a son avail aught for his father. Verily the promise of Allah is true: let not then this present life deceive you nor let the chief Deceiver deceive you about Allah.,Ya ye zawangizhi e fe sundan efo wanciko-ko efo nan yanmanci wun'a kunkewo ya egi wun'anan egi o tso ma wun'a kunke ya yanmanci'u wo be yando yin'a nan. Akika alkawali yan Soko gaskiya u yio; ebo acin'o e ga lugwa eman-izhe ta ye ma ye mae ga lugwa za nanzhi e ta zazhi ke eko Soko lugwa nan ta ye ma.
Surah 31:34     ,                     Verily the knowledge of the Hour is with Allah (alone). It is He Who sends down rain and He Who knows what is in the wombs. Nor does any one know what it is that he will earn on the morrow: Nor does any one know in what land he is to die. Verily with Allah is full knowledge and He is acquainted (with all things).,Akika eba Soko bo kpikpe yan ekina alkiyami dan'o Soko ga ma e du le'o wun ga ma kpe yan nanzhi so fi ewanzhio nao rayi-ndondo ma kpe yan naa tswan'u esun na'a rayi-ndondo ma kpe kin na wun'a tsu dan naa akika Soko tsa wun kpikpeo U ma de labari yandondo.
