Surah 12:2  ,   We have sent it down as an Arabic Qur´an in order that ye may learn wisdom.,Hakika Yi ga cin'u beo Alkur'anu uyio be zhimi larabci ujin wo be (gbigba) uyin ye ga'ade hankali.
Surah 12:23   ,                   But she in whose house he was sought to seduce him from his (true) self: she fastened the doors and said: "Now come thou (dear one)!" He said: "Allah forbid! truly (thy husband) is my lord! he made my sojourn agreeable! truly to no good come those who do wrong!",Yinzagi na ma ugun kataubo na ci wau na wyuntsoa keba be wyun yin na ucia ekozhi tsu gbanyin uci gan: To wyo ye be! Ugan: Sokou gwo miu tswa! Hakika (eba wyoe) ndakata mi uyio uma'a mi ya ecinba wangi. Hakika azwalumizhia de roboa.
Surah 12:24  ,                And (with passion) did she desire him and he would have desired her but that he saw the evidence of his Lord: thus (did We order) that We might turn away from him (all) evil and shameful deeds: for he was one of Our servants sincere and purified.,Hakika ma wyun'I (yinzagi) ujin kokari na wyun'a din'u be lo tun dede na wyun tso (Yusufu) ma jin kokari na wyun'anavo na kagan ujin ebo hujjako yan Tsociu na u le ye na'a (hujjako Annabci na Soko la yai na). Acinga ga (Yi la dalilizhi wu wyun'o) ebo Yi'ila etun dede be etun swakwae'y kangwa'y-yau. Hakika udan mini wuzhi Yi zhi nazhi yi zakirikizhi na.
Surah 12:25    ,                  So they both raced each other to the door and she tore his shirt from the back: they both found her lord near the door. She said: "What is the (fitting) punishment for one who formed an evil design against thy wife but prison or a grievous chastisement",Aci sangana (be ci) lo eba kpako ewouma cia le dagan zunmao aci da keba kpamyin be ebauyin eba kpako wyun yinzagi ci gan: Egagba ndoci danbo ya zandondo nagae kpa eyan dede be iyali wyo yin naa sai de ala wyun'a wan'akan'adan koma a jin'u azaba na tan na.
Surah 12:25  ,                    So they both raced each other to the door and she tore his shirt from the back: they both found her lord near the door. She said: "What is the (fitting) punishment for one who formed an evil design against thy wife but prison or a grievous chastisement",Aci sangana (be ci) lo eba kpako ewouma cia le dagan zunmao aci da keba kpamyin be ebauyin eba kpako wyun yinzagi ci gan: Egagba ndoci danbo ya zandondo nagae kpa eyan dede be iyali wyo yin naa sai de ala wyun'a wan'akan'adan koma a jin'u azaba na tan na.
Surah 12:26  ,                He said: "It was she that sought to seduce me - from my (true) self." And one of her household saw (this) and bore witness (thus):- "If it be that his shirt is rent from the front then is her tale true and he is a liar!,(Annabi Yusufu) ci gan: "Wyun tso ga wa mi yin'o" Eri jinci ndoci (dzakangi) mini yegiuzhio ci jin ri gan: Ewou ga'afe lileci dagan yegboro to wyin y nyizagiade gaskiya Wyin (bagi) ma'afe dan mini ganmana zunci zhio.
Surah 12:27 ,        "But if it be that his shirt is torn from the back then is she the liar and he is telling the truth!",E wo'u ma ga'fe lileci zunmao to wyin'y yinzagi a ganmana zun wyin y bagi ma'fe dan mini eza gaskiyazhio.
Surah 12:28 ,           So when he saw his shirt- that it was torn at the back- (her husband) said: "Behold! It is a snare of you women! truly mighty is your snare!,Kamina (ebau) be le ye gan a leu ewo le dagan zunmao na ugan: Nana de udan mini tanadi ye ynzagizhio hakika ma tanadiye ynzagizhi yanna gbota uyio.
Surah 12:29,         "O Joseph pass this over! (O wife) ask forgiveness for thy sin for truly thou hast been at fault!",Wyoe Yusufu! Dzungan egan ynzagi nanao; wyo ma (yinmi mi) da wa gafara lefi wyoe. Hakika wyo afe dan mini bicicin cizhio.
Surah 12:30 ,                Ladies said in the City: "The wife of the (great) ´Aziz is seeking to seduce her slave from his (true) self: Truly hath he inspired her with violent love: we see she is evidently going astray.",Ynzagi ndocizhi dagan ezhininbo ci gan: Yinmi eza cinwanci e wa (yanciu'uda) be egi katau yin legen lege cincin wun'a rukpeu yangban'o. Hakika yi ye le uye dan mini egbin'o na'atu la na.
Surah 12:30  ,               Ladies said in the City: "The wife of the (great) ´Aziz is seeking to seduce her slave from his (true) self: Truly hath he inspired her with violent love: we see she is evidently going astray.",Ynzagi ndocizhi dagan ezhininbo ci gan: Yinmi eza cinwanci e wa (yanciu'uda) be egi katau yin legen lege cincin wun'a rukpeu yangban'o. Hakika yi ye le uye dan mini egbin'o na'atu la na.
Surah 12:31,                               When she heard of their malicious talk she sent for them and prepared a banquet for them: she gave each of them a knife: and she said (to Joseph) "Come out before them." When they saw him they did extol him and (in their amazement) cut their hands: they said "Allah preserve us! no mortal is this! this is none other than a noble angel!",Kamina'ube wo egan wawagi yan makirinci nae gan na uci tun za fia gan wyun'e yan'aka uci'a shiri jin ya'a yan edunfeba yangici ucia ebi la'a ya zaeni ndondo miniabo ucia gan be Annabi Yusufu'I gan: "Dzun tinya wyo -- 'ogan yegboroa bo". Kamina a leu ye na u'u wancin acia egwa'atso zhi ba aci gan: Lili kpata ajin tabbata ya Soko! Ngba nana jin zawangia nanade malaika uyio nayi za cinwanci na.
Surah 12:32 ,                 She said: "There before you is the man about whom ye did blame me! I did seek to seduce him from his (true) self but he did firmly save himself guiltless!....and now if he doth not my bidding he shall certainly be cast into prison and (what is more) be of the company of the vilest!",Ugan: Zawuncin ga dan'ona na ye fe jin mi zargi etiubo na hakika ma mi wau ga ucia navo. Wallahi ma kagan ujin yanna mi jin'u foro gan'ujin na'a to she agau la'agun kata zhiko (kurkukuo) be ma hakika uga afe dan mini eza gbigbacizhio.
Surah 12:33  ,              He said: "O my Lord! the prison is more to my liking than that to which they invite me: Unless Thou turn away their snare from me I should (in my youthful folly) feel inclined towards them and join the ranks of the ignorant.",Ugan: Tsoci! Katazhiko wuncin bami gan yanna e'la'a wami gan min jin bea yin na miga kansan ya da eba'a mima ga'afe dan mini jahilizhio.
Surah 12:34      ,   So his Lord hearkened to him (in his prayer) and turned away from him their snare: Verily He heareth and knoweth (all things).,Tsociu cia aduwau gwo ucia ta nadi dedeazhi pan keu lugwa. Hakika Soko Etsu uyio nae wo yandondo na Etsu nade kpikpe yandondo na.
Surah 12:35 ,         Then it occurred to the men after they had seen the signs (that it was best) to imprison him for a time.,Gancin: baci na a aya nazhie wu gwa zankpe Soko na leyeani na ubea tula ya'a kede agau wan kandan da lokaci ndoci na.
Surah 12:36   ,                       Now with him there came into the prison two young men. Said one of them: "I see myself (in a dream) pressing wine." said the other: "I see myself (in a dream) carrying bread on my head and birds are eating thereof." "Tell us" (they said) "The truth and meaning thereof: for we see thou art one that doth good (to all).",Gbarufu guba ndocizhi cia gandan katazhiko be uyin. Nini miniabo cigan: "Hakika mi nana ke mie kan nuwan egye na" zabaci ci gan: Hakika mi nana kede mia evo masa la ta etimibo na harma elugizhi fe gi dagan miniubo ya yi labari yan fasara ena nanazhi hakika yie le wyo ye dan mini za guruzhio.
Surah 12:37   ,                      He said: "Before any food comes (in due course) to feed either of you I will surely reveal to you the truth and meaning of this ere it befall you: that is part of the (duty) which my Lord hath taught me. I have (I assure you) abandoned the ways of a people that believe not in Allah and that (even) deny the Hereafter.,Ugan: Ade yangici ndondo na'ala be yaye gbani na'a sai de miga ye ya labari fasara ena nanazhi bedzo kafi'a la yangicia be a ya ye na. Wuncinma dan mini yanna Tsoci mi la kpikpeu wumi nao. Hakika mia dzuntinya daga ekpa zanazhie jin imani be Soko yin'ana ama'ajin kafirinci be Efo zobae na.
Surah 12:38,                         "And I follow the ways of my fathers- Abraham Isaac and Jacob; and never could we attribute any partners whatever to Allah: that (comes) of the grace of Allah to us and to mankind: yet most men are not grateful.,Mi ma emi tu ekpa yan yanmanci mizhi Ibrahima to Ishaka to Yakubu. U gwo yi yin na'a gan gan yie la yandoci a pa Soko baci na'a wuncin madan mini eryatwa Soko na ta eti yibo na to zawangizhio tso amade ekun dondo zawangizhi e jin yeboa.
Surah 12:39,        "O my two companions of the prison! (I ask you): are many lords differing among themselves better or the One Allah Supreme and Irresistible,Ya ye eyami yan katazhiko zhi! Ngba Tsoci kanma na eza'afe wun na ugade alheri gan'o kashi Soko Nini kete nayi Etsu zankpe na
Surah 12:40   ,                            "If not Him ye worship nothing but names which ye have named- ye and your fathers- for which Allah hath sent down no authority: the command is for none but Allah: He hath commanded that ye worship none but Him: that is the right religion but most men understand not...,Yannazhi ye wun zunma Soko na ufea saide sunnazhi nazhi yetso to yanmanci yezhi tu sunnao na. Soko cin hujja ndondo be etiaboa. Hakika hukunci jin yan Soko gbaugi uyio u majin foro gan: ye gajin bauta ya yandondo ma saide Soko. Wuncin gayi adini yan gboro amaade ekundondo zawangizhi ade kpikpea.
Surah 12:41 ,                 "O my two companions of the prison! As to one of you he will pour out the wine for his lord to drink: as for the other he will hang from the cross and the birds will eat from off his head. (so) hath been decreed that matter whereof ye twain do enquire"...,Ya ye masoyi mizhi! Yan kata zhiko amaade zaeni mini yebo wyun'afe ya ndakatau egye fin ammaa zabaci tso a gau fo sa gancin elugizhi cia fe be gi dagan mini etiubo. Ama hukunci baa ni eti yannazhi ye gbingan tiubo na.
Surah 12:42   ,              And of the two to that one whom he consider about to be saved he said: "Mention me to thy lord." But Satan made him forget to mention him to his lord: and (Joseph) lingered in prison a few (more) years.,Ucia gan be natso u kpewo gan ugaa gan gwa minia bona gan: Wyo gajin'opa ndakata wyoe tukpa eti alamari mi bo shetan cia tanba ce tau uci pa ndakatau tukpaa u ci fedun gun katazhiko yan eya ndocizhi.
Surah 12:43  ,                     The king (of Egypt) said: "I do see (in a vision) seven fat kine whom seven lean ones devour and seven green ears of corn and seven (others) withered. O ye chiefs! Expound to me my vision if it be that ye can interpret visions.",Etsu cia gan (be jama'azhi) gan: Hakika mi na-na be nanko gutwaba ndocizhi nazhi de nakan'a na acie la nazhi wancin na wangi na be gwala yangici sun'sun gutwaba nayi nuwan fini-fini na be gutwaba ndocizhi nazhi yi wiwocizhi na. Ya ye manko zhi (wancinzhi!) E ya mi bayani fasara ena mi na-na yegafe zanazhi de kpikpe fasara enazhi na.
Surah 12:44  ,     They said: "A confused medley of dreams: and we are not skilled in the interpretation of dreams.",Agan: E na nazhi bokeba umayi vunvunci na uga wyo na kawanyin'o; yi ma de kpikpe yan fasara enazhi (iri yan wyo nana'a).
Surah 12:45   ,       But the man who had been released one of the two (who had been in prison) and who now bethought him after (so long) a space of time said: "I will tell you the truth of its interpretation: send ye me (therefore).",Zanzatso gangwa mini za guba (nazhi fi katazhiko be Yusufui na) cia gan ba ci na lokaci sa -- gan na gan: Mia ya ye fasara ena wuncin ebo acin'o etun mi tun.
Surah 12:46,                     "O Joseph!" (he said) "O man of truth! Expound to us (the dream) of seven fat kine whom seven lean ones devour and of seven green ears of corn and (seven) others withered: that I may return to the people and that they may understand.",(Uci da katazhiko eba Annabi Yusufu) uci gan: Ya wyoe Yusufu na yi eza gaskiya na ya yi fasara ena eti nanko gutwaba nazhi wancin nakan'o na gancin acide nanko gutwaba nazhi wancin'a na acie la nazhi wancin na gina be gwala gutwaba yan yangici sunsun nazhi yi nuwan fini-fini na be ndoci nazhi yi wiwocizhi na gan ya mi ebo mi'nda eba za nazhi tun mi be na ebo atsoa de kpikpe.
Surah 12:47 ,            (Joseph) said: "For seven years shall ye diligently sow as is your wont: and the harvests that ye reap ye shall leave them in the ear- except a little of which ye shall eat.(Annabi Yusufu) ci gan: ye'a nunu yan eya gutwaba na'a batua na yangici nazhi yega ku latio na yea ya fi egwa finiazhio sai degi na ye ga'gi na.
Surah 12:48   ,           "Then will come after that (period) seven dreadful (years) which will devour what ye shall have laid by in advance for them- (all) except a little which ye shall have (specially) guarded.,Gancin be baci wuncin'o eya gutwaba nazhi de ezozhi (tsanani zhi) na cia bea yan nazhi ye ku yekan kpata na ku gi saide degi mini nazhi ye ku swo ci tswa na.
Surah 12:49 ,         "Then will come after that (period) a year in which the people will have abundant water and in which they will press (wine and oil).",Gancin zunma wuncin'o eyndocia be be na mini'ubo yeade ele na mini'ubo ma yeade eyanfinci zhi kanfin.
Surah 12:50 ,                    So the king said: "Bring ye him unto me." But when the messenger came to him (Joseph) said: "Go thou back to thy lord and ask him ´What is the state of mind of the ladies who cut their hands´ For my Lord is certainly well aware of their snare.",Etsu cigan:E la'u be ya mi kamina tuci na'atun na lo ebau na (ugan: etsu e yi wyoe) uci gan: wyotso kezhe da eba ndakata wyoewyo mao gbin'ugan gan: ki yi hali na ynzagi nazhi bagwa'azhi na dan'y-ninbo gbani nao Hakika Soko yibe kpikpe makirinci nazhie jin na.
Surah 12:51,                            (The king) said (to the ladies): "What was your affair when ye did seek to seduce Joseph from his (true) self" The ladies said: "Allah preserve us! no evil know we against him!" Said the ´Aziz´s wife: "Now is the truth manifest (to all): it was I who sought to seduce him from his (true) self: He is indeed of those who are (ever) true (and virtuous).,(Etsu) gan: "Ngba ki ye kpa kamina ye fe wa Yusufu nao" Aci gan: Lili kpata ajin tabbata ya Soko! Yikpe Yusufu ye be eyan dede ndondo yin'a. Yin mi yan Aziz (yan misra) ci gan: "Gbani de gaskiya'atula'ni; mitso be tin yin ga wa wyun'o. Hakika ma wyin'y (Yusufu) udan mini eza gaskiyahio.
Surah 12:52,           "This (say I) in order that He may know that I have never been false to him in his absence and that Allah will never guide the snare of the false ones.,Wuncin ma ( na mi gan na) ebo'u deba'u kpeu wo ke mi jin'u hainci zunma'u boa na. Ebo na ma hakika Soko wyun'e la tanadi zanazhi gae jin hainci na ke ekoa.
Surah 12:53 ,             "Nor do I absolve my own self (of blame): the (human) soul is certainly prone to evil unless my Lord do bestow His Mercy: but surely my Lord is Oft-forgiving Most Merciful.",Mima li ti tacin mi li(ke aibi lugwa'a) hakika yangban wun'a jin ufe jin za foro be etun dede saide zana Tsoci mi ga gunyeu na. Hakika Tsoci mi Etsu gafara u yio Etsu yegun'uyio.
Surah 12:54 ,            So the king said: "Bring him unto me; I will take him specially to serve about my own person." Therefore when he had spoken to him he said: "Be assured this day thou art before our own presence with rank firmly established and fidelity fully proved!,Etsu ci gan: "E lau be yami min'la wyun tsoba mi tso". Kamina ugan gan be u yin na ugan: Hakika de wyo de yin nanna wyo yi be kinigiba na wancin na eza aminci wyo ma yi eba yi bo.
Surah 12:55,       (Joseph) said: "Set me over the store-houses of the land: I will indeed guard them as one that knows (their importance).",(Yusufu) ci gan: A mi la'ata eti edzunba yan arziki kinbo hakika mi eza nae tswa yan na mi yio zana mayibe kpikpe (etun wuncin) na mi yio.
Surah 12:56     ,           Thus did We give established power to Joseph in the land to take possession therein as when or where he pleased. We bestow of our Mercy on whom We please and We suffer not to be lost the reward of those who do good.,Acinga ga yi la kinigiba yan kagbo ya Yusufu ta eti kinbo ucie ce ka danbo lo bandondo na ga bau na. Yi mae tsa zana ga ba yina be yegun yi yin. Yi mae ta etun zanazhi gae jin bolobolo na yakpe a.
Surah 12:57 ,     But verily the reward of the Hereafter is the best for those who believe and are constant in righteousness.,Hakika ma egagba yan Alkiyami ude alheri gan ya zanazhi ga imani jin na acia fe za nazhie tswa Soko a mae sundan'u na.
Surah 12:58  ,      Then came Joseph´s brethren: they entered his presence and he knew them but they knew him not.,Yegi Yusufu zhi ci dabe acia gandan ebaubo ucia dza tin ammade a lau be woa.
Surah 12:59   ,             And when he had furnished them forth with provisions (suitable) for them he said: "Bring unto me a brother ye have of the same father as yourselves (but a different mother): see ye not that I pay out full measure and that I do provide the best hospitality,Kamina ujin shiri kaya yangicizhi ya'a zo na ugan: yega jin'ebe ya mi be yegi ye natso yi yan ndani be ye yin nae. Ngba yetso leye kendoe mie she tsunwan naa mi'ma'ajin mife jin bolo bolo ya egazhi sarauyin'a
Surah 12:60  ,       "Now if ye bring him not to me ye shall have no measure (of corn) from me nor shall ye (even) come near me.",To kagan ma ye be yami beu yin'a yea kara de tsunwan ndondo eba mibo bea ye mae ga dzodzo tsoba mi ma.
Surah 12:61 ,    They said: "We shall certainly seek to get our wish about him from his father: Indeed we shall do it.",Acigan: To yidea da din yangban babau cinle hakika ma yiga acinga jin.
Surah 12:62   ,          And (Joseph) told his servants to put their stock-in-trade (with which they had bartered) into their saddle-bags so they should know it only when they returned to their people in order that they might come back.,(Yusufu) cia gan be egi katauzhi gan: yea kaya na'ala sangwa yangici shi na la'adan jika'azhio ebo atsoa leu ye aga zheban da eba iyali'azhi na ebo ma a kezhea zhe ban'a zhin.
Surah 12:63          ,     Now when they returned to their father they said: "O our father! No more measure of grain shall we get (unless we take our brother): So send our brother with us that we may get our measure; and we will indeed take every care of him.",Lokaci na azhin eba baba'a na a gan: Ya wyoe babayi! (Dagan gbani lo ye gboro) a tsunwan yangici la'akan yi (agan:) sai de wyo ga yegi yi la'adan ezan yibo kanga ga a la tsunwan yangici ya yi yio. Hakikama yigafe zanazhia fe tswau na.
Surah 12:64       ,         He said: "Shall I trust you with him with any result other than when I trusted you with his brother aforetime But Allah is the best to take care (of him) and He is the Most Merciful of those who show mercy!",Ugan: Ngba micin la aminci yaye etiubo Saide u yi iri aminci nami la yaye payin eti yegiu bo na. Soko tsayi Etsu na gan eba eyan tswao nao wyun ga mayi Etsu nagan eba yegun'o nao.
Surah 12:65    ,                    Then when they opened their baggage they found their stock-in-trade had been returned to them. They said: "O our father! What (more) can we desire this our stock-in-trade has been returned to us: so we shall get (more) food for our family; We shall take care of our brother; and add (at the same time) a full camel´s load (of grain to our provisions). This is but a small quantity.,Kamina abe kpe jika'azhi na a tsun yannazhi a la sangwa yangici shi na fi mini jika'azhio a yan'a la zheban ya'a. agan: Ya wyoe babayi! Yi zun ganmana'ani; ngan kayayi na yia sangwa yangici shi na a yan yi la'azheban zhin yayi (yi gabe ye lo be) yia wa yangici be ya iyali yizhi yima'a kangwa ya yegi yi yi maga tsunwan yan kaya rakumi nini be ta tiubo. Tsunwan wuncin ma yanna de sauki na uyio.
Surah 12:66   ,                    (Jacob) said: "Never will I send him with you until ye swear a solemn oath to me in Allah´s name that ye will be sure to bring him back to me unless ye are yourselves hemmed in (and made powerless). And when they had sworn their solemn oath he said: "Over all that we say be Allah the witness and guardian!",(Baba'a) ci gan: "Mia tun'u lo ganni be ye yin'a sai ye ga jin mi alkawali tsakani ye be Sokoe kede hakika ye gau lazhin bea ya mi na saide uga'a ce kagbo ye" kamina abea alkawali jin beuyin na ugan: Soko ma wyun gayi Erio (wakili) eti egan nazhi yie gan nao.
Surah 12:67     ,                     Further he said: "O my sons! enter not all by one gate: enter ye by different gates. Not that I can profit you aught against Allah (with my advice): None can command except Allah: On Him do I put my trust: and let all that trust put their trust on Him.",Uci kezhea gan be: Ya ye egi mizhi! Ega gandan (misrao) kpatae dagan eko ninio ma; egan-dan dagan ekouzhio kakayin. Mima kunke ya ye wo be yandoci dagan eba Soko boa; hakika hukunci jin de yan Soko uyio wyun ga ma mi yakpeo zanazhi magae wa zana'aya kpena adaa ya'a kpe Soko.
Surah 12:68  ,                           And when they entered in the manner their father had enjoined it did not profit them in the least against (the plan of) Allah: It was but a necessity of Jacob´s soul which he discharged. For he was by our instruction full of knowledge (and experience): but most men know not.,To lokaci na'a gandan dagan eko na baba'a gan ya'a na wuncin'otso kunke ya'a wo be yandoci ke yanna Soko kpa na lugwa' saide bukata ndoci uyio dan yangban Ya'akubuo nama wyun'udewo na hakikama ezauyio na yi be kpikpe yan yannazhi Yi la wu'u na amaade ekundondo zawangizhi kpea.
Surah 12:69       ,        Now when they came into Joseph´s presence he received his (full) brother to stay with him. He said (to him): "Behold! I am thy (own) brother; so grieve not at aught of their doings.",Kamina agandan eba Yusufuo na wyun'a yegiu dinba uci gan: Hakika mi yegi wyoe mi yio ebo acin'o ga nyin yangban be iri etun nazhie lo na ma.
Surah 12:70    ,          At length when he had furnished them forth with provisions (suitable) for them he put the drinking cup into his brother´s saddle-bag. Then shouted out a crier: "O ye (in) the caravan! behold! ye are thieves without doubt!",Kamina wyun'a shiri yan kara'azhi jin ya'a zo na wyun'a evo tsunwan yan nuwanfin la'agun jika yegiubo gancin emi yaci ndoci ci yami gan: ya ye jamaa ezan daci nnazhi! Hakika de igbecizhi ye yio.
Surah 12:71 ,   They said turning towards them: "What is it that ye miss",A cia gan lokaci na azhe ye lo eba'a na: ki ya yan ye yio
Surah 12:72   ,        They said: "We miss the great beaker of the king; for him who produces it is (the reward of) a camel load; I will be bound by it.",Agan: Yie wa evo tsunwan nuwan fin yan etsu za (wun'a ya) zaeni ndondo na ma gau la be na wyun'ade eryatwa yan kara rakum nini; mitso gama'a gikini ya wuncin'o.
Surah 12:73   ,        (The brothers) said: "By Allah! well ye know that we came not to make mischief in the land and we are no thieves!",A ci gan: Wallahi hakika yetso kpewo kede yibe-be ebo yibey nyin yany'dan kinboa na yi majin igbecizhia.
Surah 12:74    , (The Egyptians) said: "What then shall be the penalty of this if ye are (proved) to have lied",(Zaba etsu zhi) cigan: ki'i yi foro naaga gun be za na aga deu beyin nao wun'ayi ganmana ye zun'o nao
Surah 12:75  ,        They said: "The penalty should be that he in whose saddle-bag it is found should be held (as bondman) to atone for the (crime). Thus it is we punish the wrong-doers!",Agan: Foro wuncin wun'a ta eti zana aga deu jikaubo nao; foro'u (ala egwa'asun'u) acinga ga egagba yan azwalumizhi yio.
