Surah 43:1, Ha-Mim,HEU MIM.
Surah 43:28   ,   And he left it as a Word to endure among those who came after him that they may turn back (to Allah).,Uci'u fe egan wanciko naa dan'ubo fe lo mini zuriya'u zhio na ebo zawangizhi a daazhin eko (yan gaskiya).
Surah 43:29    ,    Yea I have given the good things of this life to these (men) and their fathers until the Truth has come to them and a messenger making things clear.,A'a Mi dea za nananzhiy to yanmanciazhi ya fi izheo fe wo ma har be lokaci nan gaskiya (Alkuranu) be yaa nan ganni be Tuciy naa tula nan.
Surah 43:30   ,     But when the Truth came to them they said: "This is sorcery and we do reject it.",Kamina gaskiya (Alkuranu) be yaa nan a gan: nan nan eyan ma uyio yima'a kafirinci jin beu yin.
Surah 43:31     ,    Also they say: "Why is not this Qur´an sent down to some leading man in either of the two (chief) cities",A ci gan: Kiy la aci cin Alkuranu nan nan be ya bagi ko ndoci mini Alkarya guba nazhiy wancin nan boa yin'o
Surah 43:32    ,                    Is it they who would portion out the Mercy of thy Lord It is We Who portion out between them their livelihood in the life of this world: and We raise some of them above others in ranks so that some may command work from others. But the Mercy of thy Lord is better than the (wealth) which they amass.,Kashi a gae gan eryatwa yan Tsoci wyo yo Ngan Yi gae gan Arzikiazhi ya' izhe bo Yi maa daraja yan sashiazhi la'ata eti yan sashio ebo adeba la dozhi etun yegun yan Tsoci wyo ma ude alheri gan (eyan izhe) nanzhiy e ku ye kan nan.
Surah 43:33    ,            And were it not that (all) men might become of one (evil) way of life We would provide for everyone that blasphemes against (Allah) Most Gracious silver roofs for their houses and (silver) stair-ways on which to go up,Ka'Ujin ebo nan zawangizhi a bea zhe'a yan ni na boa (eba fitina eyande izheo naa) da yi ga katanti yan emi kafirizhi laafe azurfa to ekpa nanzhiy a fe da lo (kata) fiti nan.
Surah 43:34  ,  And (silver) doors to their houses and thrones (of silver) on which they could recline,Yi maa kezhea kpako yan emiazhi to gado'azhi (jin be azurfae) nan a fe de kpetso ta nan.
Surah 43:35  ,         And also adornments of gold. But all this were nothing but conveniences of the present life: The Hereafter in the sight of thy Lord is for the Righteous.,To kaya ninpazhi kpata wuncinzhi ma eyan emawo izhe ayio akika ma emi yan zoba wangi wun'ajin tabbata ya za nanzhie tswa Soko nan.
Surah 43:36    ,      If anyone withdraws himself from remembrance of (Allah) Most Gracious We appoint for him an evil one to be an intimate companion to him.,Zandondo nan gae le izhe ke pipa Soko lugwa nan Yi ga shaitan laa pa ma beu yin Uci gaazhe eya manciu.
Surah 43:37 ,     Such (evil ones) really hinder them from the Path but they think that they are being guided aright!Akika ma shaitanzhi ga'a kan eko guruzhi yinda acia fe le ye ke eko bawu bo a kpeo nan.
Surah 43:38   ,       At length when (such a one) comes to Us he says (to his evil companion): "Would that between me and thee were the distance of East and West!" Ah! evil is the companion (indeed)!,Har da lokaci nan zaguba'aba a be be eba Yi nan za wuncin cia gan gan: Kasa re da' aci gan kpikpe-ya dan tsakanimi bo be wyo yin ke tsakani eyi lazhin be eyilozun'y nan (wun'a ba mi gan) akika eya dede wyo yio.
Surah 43:38     ,     At length when (such a one) comes to Us he says (to his evil companion): "Would that between me and thee were the distance of East and West!" Ah! evil is the companion (indeed)!,Har da lokaci nan zaguba'aba a be be eba Yi nan za wuncin cia gan gan: Kasa re da' aci gan kpikpe-ya dan tsakanimi bo be wyo yin ke tsakani eyi lazhin be eyilozun'y nan (wun'a ba mi gan) akika eya dede wyo yio.
Surah 43:39   ,     When ye have done wrong it will avail you nothing that Day that ye shall be partners in Punishment!,(Uzuri nan nan) wun'a jin ye anfani yinnaa ebo nan ye yea eti tacin yezhi jin zwalunci (dagan izhe boa ni). Akika azaba gabo yea fi gannio.
Surah 43:40    ,      Canst thou then make the deaf to hear or give direction to the blind or to such as (wander) in manifest error,Ngba wyo la tukpa tenci wo gan wo Kashi wyo la ye bonci leba ye wo To za nan gaafe dan mini egbin nan a tula nan (ngba wyo la'u ke eko wo)
Surah 43:41,     Even if We take thee away We shall be sure to exact retribution from them,Uma ga bea fe gan Yia rayi wye gwo akika Yigaa wogbata.
Surah 43:41  ,   Even if We take thee away We shall be sure to exact retribution from them,Uma ga bea fe gan Yia rayi wye gwo akika Yigaa wogbata.
Surah 43:42 ,     Or We shall show thee that (accomplished) which We have promised them: for verily We shall prevail over them.,Ko ma Yi ga (azaba) nan Yie jin'a alkawali nan laa wu wye akika yi de kagbo eti yandondo.
Surah 43:43   ,    So hold thou fast to the Revelation sent down to thee; verily thou art on a Straight Way.,A gwa sun wahyi nantso Yi la ya wyo nan akika wyo ta eti eko gboro.
Surah 43:44 ,    The (Qur´an) is indeed the message for thee and for thy people; and soon shall ye (all) be brought to account.Akika ma (Alkuranu) cinwan uyio ya wye to jamaa yan wyo zhi bele yin ma a gbin'e gan (eti tswitswa yan hakkiuzhio).
Surah 43:45    ,        And question thou our messengers whom We sent before thee; did We appoint any deities other than (Allah) Most Gracious to be worshipped,Wyo mao gbin Tuci nanzhi Yi tun-tun shi wyodzo nan gan ngba Yila Tsoci ndoci cici nan alittazhi a jin bauta ya baci Soko ALRAHMANUO nan
Surah 43:46        ,   We did send Moses aforetime with Our Signs to Pharaoh and his Chiefs: He said "I am a messenger of the Lord of the Worlds.",Akika Yi tun Musa tun be aya Yizhi lo eba Fir'auna be jamaa yan'u zhiy Uci gan: Akika mi Tuci mi yio dagan eba Tsoci nae kpa alittazhi kpata nao.
Surah 43:46     ,      We did send Moses aforetime with Our Signs to Pharaoh and his Chiefs: He said "I am a messenger of the Lord of the Worlds.",Akika Yi tun Musa tun be aya Yizhi lo eba Fir'auna be jamaa yan'u zhiy Uci gan: Akika mi Tuci mi yio dagan eba Tsoci nae kpa alittazhi kpata nao.
Surah 43:48     ,       We showed them Sign after Sign each greater than its fellow and We seized them with Punishment in order that they might turn (to Us).,Yi mae la aya wu'aa sai de nan ga lekpan gan yan payin nan. Yi cia wan be azabae ebo a debaa dazhin eko.
Surah 43:49       ,   And they said "O thou sorcerer! Invoke thy Lord for us according to His covenant with thee; for we shall truly accept guidance.",Aci gan: Ya wye eyan manci ba aduwa be Tsoci wyo yin U to bo wahyi nan ujin ya wye nao(ula azaba u'la'u keu'ya bo'u ya yi) akika yi ga'ke eko.
Surah 43:50   ,   But when We removed the Penalty from them behold they broke their word.,Kamina Yi bea azaba la ke yabo ya'a nan afe'lo alkawali ya.
Surah 43:51       ,         And Pharaoh proclaimed among his people saying: "O my people! Does not the dominion of Egypt belong to me (witness) these streams flowing underneath my (palace) What! see ye not then,Fir'auna ci ya 'mi dan tacin jamaa yan'uzhio u gan: Ya ye jama'a yan mizhi ngba ujni mi ga wun mulki yan Misra'a to edu nanzhie je dan tako mi bo naa. Kashi ye leba ye lea
Surah 43:52     ,     "Am I not better than this (Moses) who is a contemptible wretch and can scarcely express himself clearly,Kashi mi gye gan eza gba gbangi nan na'a zanan kaa bayani u jin woa naa
Surah 43:53     ,   "Then why are not gold bracelets bestowed on him or (why) come (not) with him angels accompanying him in procession",Ki'iyla aci cin dukiya yan zinariyazhi ya wun'a yin'o Ki'y ma la malaikazhi la mi tu'u zunma boa yin'o
Surah 43:54  ,    Thus did he make fools of his people and they obeyed him: truly were they a people rebellious (against Allah).,Uci dzo dzo be ankali yan jama'a yan'uzhi a tso cia mi tu'u akika a fe jamaa nanzhiy a tula be lefi Sokoe nan.
Surah 43:55 ,    When at length they provoked Us We exacted retribution from them and We drowned them all.,Lokaci nan abea yi ku tso nan Yicia wan be azabae Yicia jin hallaka fi nuwan'o bae nio.Surah 43:56   And We made them (a people) of the Past and an Example to later ages.Yi cia la fe etanzhi nanzhia shidzo nan a mafe misali ya eza zunmazhi.
Surah 43:57    ,    When (Jesus) the son of Mary is held up as an example behold thy people raise a clamour thereat (in ridicule)!,Kami nan ajin misali ya'be (Isae) egi Maryamae nan Kanga jam'a yan wyozhi cia pan ya ke eko lugwa.
Surah 43:58    ,         And they say "Are our gods best or he" This they set forth to thee only by way of disputation: yea they are a contentious people.,Aci gan: Ngba kuti yizhi tsa gan'o kashi (Isa) E ' la misali la be ebo emigbo akika jamaazhi ayio nanzhiy ye bo ewu-sun nan.
Surah 43:59,         He was no more than a servant: We granted Our favour to him and We made him an example to the Children of Israel.,Isa de U fea sai de wuzhi nan yi twarya ni'ima ya nan Yiciu la'a fe misali ya Banu Israilazhi.
Surah 43:60     ,  And if it were Our Will We could make angels from amongst you succeeding each other on the earth.,U ma ga bayi ba da' yi ga Malaikazhi la'a san ye gwa aci ga she bandondo mini kin bo.
Surah 43:60,       And if it were Our Will We could make angels from amongst you succeeding each other on the earth.,U ma ga bayi ba da' yi ga Malaikazhi la'a san ye gwa aci ga she bandondo mini kin bo.Surah 43:61         And (Jesus) shall be a Sign (for the coming of) the Hour (of Judgment): therefore have no doubt about the (Hour) but follow ye Me: this is a Straight Way.Akika ma alama uyio yan tsonba alkiyami ega jin kelo kezhin ma ye'a emi tu mi nan nan ga yi eko nantso yi gboro nao.
Surah 43:62  ,    Let not the Evil One hinder you: for he is to you an enemy avowed.,Ye mae ga lugwa shaitan tso tangi ya ye ma akika makiri ye uyio yan gbangba.
Surah 43:63    ,            When Jesus came with Clear Signs he said: "Now have I come to you with Wisdom and in order to make clear to you some of the (points) on which ye dispute: therefore fear Allah and obey me.,Kaminan Isa be beya be bayanizhiy nan U gan: Akika mi be ya ye be hikimae ebo ma min jin bayanin ya ye eti yan nanzhiy ye ce dozhi leba etiubo nan. Ye de sundan Soko ye mae la' mie tu mi.
Surah 43:64  ,      "For Allah He is my Lord and your Lord: so worship ye Him: this is a Straight Way.",Akika Soko ga yi Tsoci mi yin'o to yan yetso ejin bauta ya'u nan nan ga yi eko nantso yi gboro nao.
Surah 43:65   ,       But sects from among themselves fell into disagreement: then woe to the wrong-doers from the Penalty of a Grievous Day!,Enan ena'azhi cia ce leba be dozhi akika azaba robonkpe wun'ajin tabbat ya azwamizhi yan azaba yan fo wuncin nan yi titanci nan.
Surah 43:66     ,    Do they only wait for the Hour - that it should come on them all of a sudden while they perceive not,Kashi a zhi bo zhi e tuye nan alkiyamia be dzun fia kamina a kpa yetua nan
Surah 43:67 ,     Friends on that day will be foes one to another- except the Righteous.,Ekun dondo masoyizhi fo wuncin agaazhe makiri dozhi sai de masoyi nan zhie tswa Soko nan.
Surah 43:68   ,    My devotees! no fear shall be on you that Day nor shall ye grieve-,Ya ye wuzhi Mizhi dansun ndondo danbo ya ye yinna'a ye maa le yangban yin ye'a.
Surah 43:69    ,(Being) those who have believed in Our Signs and bowed (their wills to Ours) in Islam.(A ga yi) za nanzhia imani jin be aya Yizhi nao acia fe Musulumi wangi nao.
Surah 43:70,    Enter ye the Garden ye and your wives in (beauty and) rejoicing.,(A' gan ya' foga gan): E gandan Aljannao to ye to yinmie zhi akika a ga ye fa yangban yin'nan.
Surah 43:71 ,             To them will be passed round dishes and goblets of gold: there will be there all that the souls could desire all that their ayes could delight in: and ye shall abide therein (for eye).,A' fe maa kezhe be evozhi na'ajin be zinariy nan to kopuzhi yandondo na ma rayie wa nan fi bo to yannan eye ga leye wun'a wo ma nan. Ye maa fi mini'ubo fi tutun yin.
Surah 43:72   ,   Such will be the Garden of which ye are made heirs for your (good) deeds (in life).,Aljanna wuncin a gi'u gun gi ya ye ebo iri etun wangizhi nanzhi ye fe lo nao.
Surah 43:72  ,    Such will be the Garden of which ye are made heirs for your (good) deeds (in life).,Aljanna wuncin a gi'u gun gi ya ye ebo iri etun wangizhi nanzhi ye fe lo nao.
Surah 43:73   ,  Ye shall have therein abundance of fruit from which ye shall have satisfaction.,Yangici mari-marizhi fi bo ya ye dokun nanzhiy yea fe gi nan.
Surah 43:74  ,   The sinners will be in the Punishment of Hell to dwell therein (for aye):,Akika le fi jinci zhi a fi mini azaba jahannamao tutun yin.
Surah 43:75   ,  Nowise will the (Punishment) be lightened for them and in despair will they be there overwhelmed.,A'to gban ya (yan azaba'a) a maa kara dzun tinya boa.
Surah 43:76   ,  Nowise shall We be unjust to them: but it is they who have been unjust themselves.,Yi man jin'a zwaluncia akika atso tsa yi za nanzhiy jin eti tacin'a zwalunci nao.
Surah 43:77    ,   They will cry: "O Malik! would that thy Lord put an end to us!" He will say "Nay but ye shall abide!",Acia yi kabara gan: Gan ya Tsoci wye u la yi yiu wu gancin Ucia gan'a gan: Akika ye ba ga bo yea fi tutun yin'o.
Surah 43:78  ,    Verily We have brought the Truth to you: but most of you have a hatred for Truth.,Akika Yi be ya ye be gaskiyae (Kami nan ye fi izheo nan) ammade ekun dondo ye zhi ye na gaskiya vo.
Surah 43:79    What! have they settled some plan (among themselves) But it is We Who settle things.,Kashi a yi be shiri y,an makirinci ndociy yi Akika ka yitso ma yi be shiriy.
Surah 43:80 ,         Or do they think that We hear not their secrets and their private counsels Indeed (We do) and Our messengers are by them to record.,Kashi a fe kpaye kpa gan yi wo asiri nanzhiy afe pa naa to egan swiswoci nanzhi afe gan naa Ujin acin'a ngan Tuci Yizhi (Malaikazhi) danbo nanzhie ka etun nanzhiy lo kpata nan.
Surah 43:81     ,  Say: "If (Allah) Most Gracious had a son I would be the first to worship.",Gan gan: Da'acigan Soko ALRAHMANU wun'a de egi de akika mi ga yi za mafari yan za nanzhie jin bauta yau nao.
Surah 43:82  ,     Glory to the Lord of the heavens and the earth the Lord of the Throne (of Authority)! (He is free) from the things they attribute (to him)!,Lili kpata ajin tabbata ya Etsu nae kpa sanmazhi to kin nan Etsu yan Alarashi akika wun'a li ke yannanzhiy e la jiu ye nan lugwa.
Surah 43:83      , So leave them to babble and play (with vanities) until they meet that Day of theirs which they have been promised.,A'lugwa'a a fea dzo bazhia za a maa fea dzodzo a za har da lokaci nan a be gun be efo nan Soko ajin'a alkawali nae.
Surah 43:84 ,         It is He Who is Allah in heaven and Allah on earth; and He is full of Wisdom and Knowledge.,Wun ga yi Soko dan mini sanmazhi bo Wunga ma yi Soko dan kin bo Etsu hikima uyio Etsu kpikpe uyio.
Surah 43:85  ,          And blessed is He to Whom belongs the dominion of the heavens and the earth and all between them: with Him is the Knowledge of the Hour (of Judgment): and to Him shall ye be brought back.,Elatu wun'ajin tabbata ya Etsu nan wun mulki yan sanmazhi to kin nan to yannazhi fi tsakaniabo nan. Kpikpe yan alkiyami mabeu yin Udan'o kpatae ma eba'u ga ye'a kezhe lo.
Surah 43:86,            And those whom they invoke besides Allah have no power of intercession;- only he who bears witness to the Truth and they know (him).,Za nan zhiymae jin bauta ya baci'u bo nan a de mulki yan egwa tan zandondoa sai de za nanzhi ga jin ri be (adini) gaskiyae nan a ma yi be kpikpe nan.
Surah 43:87 ,      If thou ask them who created them they will certainly say Allah: How then are they deluded away (from the Truth),Wallahi wyo ma ga gbin'agan gan: Ngba ziy jin alitta ye yeo A' gan gan: Soko to beibo e kan (yangban zhi) lo beo
Surah 43:88  ,    (Allah has knowledge) of the (Prophet´s) cry "O my Lord! Truly these are people who will not believe!",Ucia gan gan: Ya wye Tsoci akika za nan nan zhiy jama'azhi ayio nanzhi jin imania nan.
Surah 43:88   ,   (Allah has knowledge) of the (Prophet´s) cry "O my Lord! Truly these are people who will not believe!",Ucia gan gan: Ya wye Tsoci akika za nan nan zhiy jama'azhi ayio nanzhi jin imania nan.
Surah 43:89  ,   But turn away from them and say "Peace!" But soon shall they know!,To a dzun gan'abo wyo mao gan gan: Midea hakkin cin etiebo ani. Bele yin man a'be de kpikpe. 
