Surah 68:1   , Nun. By the Pen and the (Record) which (men) write-,Nun'Soko ezhi kuti be alkalan yin. Be yan nazhie ka nae.
Surah 68:27  "Indeed we are shut out (of the fruits of our labour)!"Sa-shi'a zhi gan: Yi gbin ka'a amma'a a yi kan amfani lati yin ku ebo niyan dede nan dan be yi yin nan'e.
Surah 68:28  ,    Said one of them more just (than the rest): "Did I not say to you ´Why not glorify (Allah)´",Nan tso de ankali gan mini'a bo nan gan: asha Mi gan ya ye ; gan: ye' sun dan Soko'a
Surah 68:29     They said: "Glory to our Lord! Verily we have been doing wrong!"Kpata ci gan: Lili be ela tui a jin tabbata ya Tsoci yan yi Akika yi a eti ta cin yi jin gun (ebo hakki yan talakazhi nan zhi yi la kan'a nan).
Surah 68:30   , Then they turned one against another in reproach.,A ci a eye zhe wu do zhi ci e jin do-zhi zargi.
Surah 68:31 ,   They said: "Alas for us! We have indeed transgressed!,A gan: ka sa re'! Akika yi a fe za' nan zhi a gbin iyaka Soko tu nan.
Surah 68:32   ,      "It may be that our Lord will give us in exchange a better (garden) than this: for we do turn to Him (in repentance)!",U jin-y wa-wo Tsoci yan yi Wun'a la egba zhe ndoci yan alheri nan gan yan lati nna nan ya yi. Akika yi a fe za nan zhi e jin kawana alheri lo nko Tsoci yi nan.
Surah 68:33      , Such is the Punishment (in this life); but greater is the Punishment in the Hereafter- if only they knew!,Akika a cin ga ga azaba (Yi) yio ta eti azwalumi zhi bo tun da gan izhe ba bo)Akika ma azaba yan eku ba tso-zhi u gbo gan yan izhe amma' sai ye ga fe eza kpikpe zhi kanga ga ye a la hankali dan egan nan nan-o.
Surah 68:34   ,  Verily for the Righteous are Gardens of Delight in the Presence of their Lord.,Akika za nanzhi e sundan Soko a ci e twsa doka u zhi nan aljanna nan a she gan ni be ni'ima iri iri zhi'I nan wun'a jin tabbata ya'a dan e ba Tsoci a bo.
Surah 68:34  ,   Verily for the Righteous are Gardens of Delight in the Presence of their Lord.,Akika za nanzhi e sundan Soko a ci e twsa doka u zhi nan aljanna nan a she gan ni be ni'ima iri iri zhi'I nan wun'a jin tabbata ya'a dan e ba Tsoci a bo.
Surah 68:35  ,Shall We then treat the People of Faith like the People of Sin,Ka shi za nan zhi e ta kpatsun -- foro Soko ran ga'afe yan-ni be za nan zhi e le foro Soko ba nan (To izhe to eku Musulumi u ga fe yan ni be kafiri yin'a).
Surah 68:36   ,What is the matter with you How judge ye,Ke jin ye ye-o Ye ci e ba hukunci dede o (Ye a jin ye fe gan gan to Musulumi to kafiri yan ni ayio eri kpe ndondo dan boa. Egan nan nan nan za ndoci ga'jin'a azaba kiyamao nan.
Surah 68:37   , Or have ye a book through which ye learn-Ka shi! ,Ye de litafi ndoci de kayin baci ALKURA'ANU'O nan a cin be ya ye ye cie gba hukunci dede-nnan zhii bo nan
Surah 68:38 ,   That ye shall have through it whatever ye choose,Mini litafi wun cin'o a ci a gan ya ye gan: ye tsa hukunci zhi ken do e u ga man fi ye yangban'o nan
Surah 68:39       ,    Or have ye Covenants with Us to oath reaching to the Day of Judgment (providing) that ye shall have whatever ye shall demand,Ka shi ye de alkawali ndoci de be yi yin nan gboka har da'efo kiyama nan gan: ye fe ba hukunci zhi ken do'e u ga man fi ye nan
Surah 68:40  , Ask thou of them which of them will stand surety for that!,(Annabi) Gabin'a gan'e za 'e mini a bo ga la egwa kun yangban 'o Ke wun'de alkawali nan gboka nan be Soko e gan: Hukunci) nan ga ba'a nan a fe a jin-o
Surah 68:41     ,  Or have they some "Partners" (in Allahhead) Then let them produce their "partners" if they are truthful!,Ka shi a yi be Soko ndoci zhi'I yi kaa yin nan a pa Mi Soko ba ci nan (Annabi) gan ya gan: a la Tsoci-a zhi nan e la pa Mi ba ci nan'a tin'a ya Wun'a yi eza gaskiya zhi a yio nan.
Surah 68:42     ,   The Day that the shin shall be laid bare and they shall be summoned to bow in adoration but they shall not be able-,Efo na a ga sutura kpe rogbo zae ni ndondo nan (efo nan ga za ndondo ku tso nan) a yi kafirizhi gan a be a jin sujada a ya Soko. Amma wun'a ye jin ya'aa.
Surah 68:43  ,        Their eyes will be cast down- ignominy will cover them; seeing that they had been summoned aforetime to bow in adoration while they were whole (and had refused).,Eye' to fuska yan kafiri zhi to azwalumi zhi ga'a gba gba Zun ye sun ga'a wan gi Akika lokaci nan a ta eti rayi'o izhe o nan a fe yi'a gan a dakpe'a ya foro yan Soko (amma'a ebo yangici zheo be lafiya'e nan dan be a yin nan) a gan: a ya'a ta kpatsun -- foro Sokoa.
Surah 68:44      ,   Then leave Me alone with such as reject this Message: by degrees shall We punish them from directions they perceive not.,(Annabi) a Mi (Soko) ya be za ndondo nan ga e yi egan Misun Soko gan-manan nan Mi (Soko) a fe daagwa lo yegboro ba nan a kpe gan hallaka egba be zun ye sun'I wun'a be ya a nan.
Surah 68:45 ,   A (long) respite will I grant them: truly powerful is My Plan.,Mi (Soko) a jin'n-fe pata ya (lefi jin ci zhi be rayi kpa loe be yangici izhe'e) Akika ta anadi nan Mi Soko e jin eti win wan'a bo nan u le kpan.
Surah 68:46   ,   Or is it that thou dost ask them for a reward so that they are burdened with a load of debt-,Ka shii Annabi Wo'-e gbin'a gan la'ada yan etun nan Wo'e lo na gbin Ebo wun cin'o edu yan etun wo'zhi ci'a lu kpi fi'a
Surah 68:46  ,    Or is it that thou dost ask them for a reward so that they are burdened with a load of debt-,Ka shii Annabi Wo'-e gbin'a gan la'ada yan etun nan Wo'e lo na gbin Ebo wun cin'o edu yan etun wo'zhi ci'a lu kpi fi'a
Surah 68:47 ,   Or that the Unseen is in their hands so that they can write it down,Ka shi'I a yi be kpi kpe yan gaibu'I yi Da gan kpikpe wun'cin'o a ci e ka (hukunci dedezhi ke ndo e ba'a nan
Surah 68:48    ,      So wait with patience for the Command of thy Lord and be not like the Companion of the Fish- when he cried out in agony.,Annabi a hankuri jin be kpikpe gi-ki-ni eti hukunci yan Tsoci o bo Ga nyin yangban ma Wo mao ga zhe wun do zhin yan (Annabi Yunusa) nan ikan la yin nan ma.
Surah 68:49     ,    Had not Grace from his Lord reached him he would indeed have been cast off on the naked shore in disgrace.,Ka u jin ebo ni'ima nan'a shi dzo ta eti u bo na'a' da a ga u ce-ya ci cikan'o (ba nan cigban ko fini u dan'a nan). U ci ga' fe za nan'a fe jin u zargi nan.
Surah 68:49      ,   Had not Grace from his Lord reached him he would indeed have been cast off on the naked shore in disgrace.,Ka u jin ebo ni'ima nan'a shi dzo ta eti u bo na'a' da a ga u ce-ya ci cikan'o (ba nan cigban ko fini u dan'a nan). U ci ga' fe za nan'a fe jin u zargi nan.
Surah 68:50    ,Thus did his Lord choose him and make him of the Company of the Righteous.,Tsoci u ci u la a fe eza tsitsa ci U ci u la a fe dan mini za gu ru zhio.
Surah 68:51    ,       And the Unbelievers would almost trip thee up with their eyes when they hear the Message; and they say: "Surely he is possessed!",Akika Kafiri zhi fe jin tanadi nan a ga wo jin hallaka be eye dede a zhi'I nan lokaci nan a wo tukpakpe nan wo la be na a ci a jin a fe' gan gan: Akika ilanduci tsa (Muhammadu) yio.
Surah 68:52   , But it is nothing less than a Message to all the worlds.,Akika ALKUR'ANU u fe a sai dai tukpa pa ya'alitta zhi kpaata.

