Surah 50:1,   Qaf: By the Glorious Qur´an (Thou art Allah´s Messenger).,QAF mi zhi kuti be alkuranuy nan yi cinwanci nan.
Surah 50:27    ,     His Companion will say: "Our Lord! I did not make him transgress but he was (himself) far astray.",Sheitan nan yi eyau nan cia gan gan: ya wyo Tsoci mi! u jin mi gbin wun'a re amma'de wuntso afe dan mini egbin nan'akpe ya nan.
Surah 50:28  ,     He will say: "Dispute not with each other in My Presence: I had already in advance sent you Warning.,U gan: E ga jin husuma yeboro Mi bop ma Mia gangba la'ashidzo ya ye eti azaba boa ni.
Surah 50:29,       "The Word changes not before Me and I do not the least injustice to My Servants.",Ezhe egan gba eba Mi boa Mi ma jin za nae jin wuzhi zwalunci na'a.
Surah 50:30 ,       One Day We will ask Hell "Art thou filled to the full" It will say "Are there any more (to come)",Efo nan Yi yia gan be jahannamae gan: Ngba wyo'a shea ni U cia gan gan: kashiy a yia de ke re na'a la be mi na
Surah 50:32  ,   (A voice will say:) "This is what was promised for you- for every one who turned (to Allah) in sincere repentance who kept (His Law),Acia gan'a gan: Nna ga yi yan nan e la jin ye alkawalinao (a mau jin shiri) ya zandondo nan gae dokun be zheke lo eba Soko nan u ma yi za nae tswa (kaida yan Soko nan).
Surah 50:33  ,    "Who feared (Allah) Most Gracious Unseen and brought a heart turned in devotion (to Him):,Za nae sundan Soko swiswoci nan U ma'azheban lo eba Soko be yangban yan ekpya dae nan.
Surah 50:34 ,   "Enter ye therein in Peace and Security; this is a Day of Eternal Life!",(A cia gan'a gan): E gan dan bo be aminciy fo' wuncin ga yi efo yan dawwamao. (efo na'a zwo be a nan).
Surah 50:35 ,    There will be for them therein all that they wish- and more besides in Our Presence.,Yan dondo nan a gae wa nan fi bo ya'a bibe ma kezhe dan bo eba Yi bo be.
Surah 50:36    ,          But how many generations before them did We destroy (for their sins)- stronger in power than they Then did they wander through the land: was there any place of escape (for them),Al'ummazhi danbo dokun nazhi shidzo nan Yi' ajin hallaka zawuncinzhi gboka gan'a aci be a fe za nazhie za fi ezhizhio cie wa gwagan za nan.
Surah 50:37  ,          Verily in this is a Message for any that has a heart and understanding or who gives ear and earnestly witnesses (the truth).,Akika mini wuncin'o sinsantu danbo ya zandondo nan ga de ankali nan Ucia tukpa shi ya (egan Soko) ganni be yangban nae gwo gan nae.
Surah 50:38     ,       We created the heavens and the earth and all between them in Six Days nor did any sense of weariness touch Us.,Akika Yi jin alitta sanmazhi to kin to yan nanzhi fi tsakaniabo nan danmini efo gutswan'ayin'o wahala ndondo ma de yi yia.
Surah 50:39Surah 50:39   ,        Bear then with patience all that they say and celebrate the praises of thy Lord before the rising of the sun and before (its) setting.A ankuri jin be egan nanzhi e gan nan wyo mao feo li Soko tsatsa yin be yebo jin'y ya Tsoci wye kafi igidi'u la'u tin'u ya nan be kafi igidi lo mi nan.
Surah 50:40  ,  And during part of the night (also) celebrate His praises and (so likewise) after the postures of adoration.,Mini yeshio ma fe li'u tsa tsa yin wyo mao feo liu zunma yan salla ndondo.
Surah 50:41   ,   And listen for the Day when the Caller will call out from a place quiet near-,Wyo mao feo shitukpa efo nan za nan kun zazhi yn yi nan U ga yia dagan bandoci nan tsoba na.
Surah 50:42,      The Day when they will hear a (mighty) Blast in (very) truth: that will be the Day of Resurrection.Efo nan alittazhia wo kabara yan gaskiya nan fo wuncin ga yi efo dzun-dzun tinya kabari bo.
Surah 50:43 ,    Verily it is We Who give Life and Death; and to Us is the Final Goal-,Akika Yi gae dan yan rayio Yi ga mae wu rayio eba yi ga ma alittazhi'a kezhe zhin'o.
Surah 50:44 ,       The Day when the Earth will be rent asunder from (men) hurrying out: that will be a gathering together- quite easy for Us.,Efo nan kin ga'la fi acia fe dzun tinya vayin nan wuncin gungun yekan u yio nan yi finfanci eba Yi bo nao.
Surah 50:45 ,           We know best what they say; and thou art not one to overawe them by force. So admonish with the Qur´an such as fear My Warning!,Yi ga de kpikpe gan eti yan nanzhi e gan nan bo wyo ma jin za nae jin'a kpaka na'a Fela Alkuranu jin wa'azi ya za nan gae sundan azaba Mi nan.Bear then with patience all that they say and celebrate the praises of thy Lord before the rising of the sun and before (its) setting.A ankuri jin be egan nanzhi e gan nan wyo mao feo li Soko tsatsa yin be yebo jin'y ya Tsoci wye kafi igidi'u la'u tin'u ya nan be kafi igidi lo mi nan.
