Surah 20:1, Ta-Ha.,TWA HA
Surah 20:14 ,         "Verily I am Allah: There is no god but I: So serve thou Me (only) and establish regular prayer for celebrating My praise.,Hakika Mi Migayi ALLAHU(Soko'o) ade Tsoci ndocia sai Mi ebo acin'o jin bauta ya mi wyo mao la sallao kuo gikini ebo pipa mi bo.
Surah 20:15 ,        "Verily the Hour is coming - My design is to keep it hidden - for every soul to receive its reward by the measure of its Endeavour.,Hakika Alkiyami'a da be Mi ma kpa swiswo'u ebo ade ba'a la egagba yan rayi ndondo'a yau be iri etun na uga lo na.
Surah 20:16  ,       "Therefore let not such as believe not therein but follow their own lusts divert thee therefrom lest thou perish!"..,Ebo acin'o zana ya gaskiya beu yin'a naucia mitu etun yangban'u na ga lugwa u pan hankali wyo keyabo ma kacan'a wyo ga'ajin hallaka.
Surah 20:17,   "And what is that in the right hand O Moses"Ki'i ma yi wuncin na dan gwa'alo wyo bo nao wyoe Musa
Surah 20:18      ,      He said "It is my rod: on it I lean; with it I beat down fodder for my flocks; and in it I find other uses.",Musa ci gan: "Tsunkun mi uyio na mie kpetso na mi ma'ajin-nfe fini ya dabba mizhi beuyin mi mae wo bukata ndocizhi beuyin be.
Surah 20:19,  (Allah) said "Throw it O Moses!",Soko ci gan: Ci'u cici Musa!
Surah 20:20   , He threw it and behold! It was a snake active in motion.,Uci'u ce cici edagao ma wun'azhe ewa-ko ndoci nae dazan na.
Surah 20:21   ,   (Allah) said "Seize it and fear not: We shall return it at once to its former condition"..,Ugan: "A'gwa sun'u wyo mao ga sundan ma Yi gau la'a kezhe daa kendoe uyi- yan
Surah 20:22     ,     "Now draw thy hand close to thy side: It shall come forth white (and shining) without harm (or stain)- as another Sign-,Wyo mao la egwa wyo yo okuofi lukontata wyo bo ugaa bokun'yeyan-gun ndondo madanboa; nana ma aya ndoci uyio kaa yin.
Surah 20:23  , "In order that We may show thee (two) of our Greater Signs.,(Nana mayi) ebo Yi'I la yandoci'I wu wyoe mini aya wanciko-ko yan Yi zhio.
Surah 20:24 ,   "Go thou to Pharaoh for he has indeed transgressed all bounds.",Fe lo eba Fir'auna hakika wyun'e gbin iyaka tu.
Surah 20:25  ,  (Moses) said: "O my Lord! expand me my breast;(Musa) ci gan: Tsoci! A yangban mi fe gwigwoci ya mi.
Surah 20:26 , "Ease my task for me;,Wyo mao jin saukio yami'odan alamari mibo.
Surah 20:27  , "And remove the impediment from my speech,Wyo mao la finfan'o lao dan ekpinlu yan bea yin na.Surah 20:28 "So they may understand what I say:Ebo'ajin fahimta egan mi (na mi ga gan bea yin na).
Surah 20:29 ,   "And give me a Minister from my family,Wyo mao la wazirio ya mi dagan mini dangi mizhio.Surah 20:30 "Aaron my brother;(waa to) Haruna na yi yegi mi na.
Surah 20:31 , "Add to my strength through himU'u la'ufe kagbo ya alamari mi.
Surah 20:32 , "And make him share my task:,Wyo mao la wyun'o la'o pama be mi yin dan mini alamari mi bo.
Surah 20:33  "That we may celebrate Thy praise without stint,Ebo Yi'I deba-y-li wyoe sarauyin.
Surah 20:34, "And remember Thee without stint:,Yi ma-y tun wyo-yi-ye sarauyin.
Surah 20:35 ,  "For Thou art He that (ever) regardeth us.",Hakika wyo afe Etsu nae cin yi le na.
Surah 20:36 ,   (Allah) said: "Granted is thy prayer O Moses!",Ugan:"Hakika yannazhi wyo ba kpaata na Sokoa gwo jin yao.
Surah 20:37,    "And indeed We conferred a favour on thee another time (before).,Hakika ma Yi twarya alherizhi ya wyoe dan lokaci ndocizhiobe.
Surah 20:38  ,   "Behold! We sent to thy mother by inspiration the message:,Kamina Yijin wahayi ya nna wyoe yannazhi -- yin Yia la jin wahayi yau na.
Surah 20:39  ,                   "´Throw (the child) into the chest and throw (the chest) into the river: the river will cast him up on the bank and he will be taken up by one who is an enemy to Me and an enemy to him´: But I cast (the garment of) love over thee from Me: and (this) in order that thou mayest be reared under Mine eye.,A (egi bobongi wuncin) ce gun mini kpatio ye cie la wyun'e ce gun mini eduo edu ci'u ce wyun'u lo nuwan misun gancin makiri Mi to makiri wyuntso cia beu la. Mi ma'a boye la'ayau dagan nko Mibo ma ala wyo-ya'a kpa be eye ladan yan Mi yin.
Surah 20:40  ,                               "Behold! thy sister goeth forth and saith ´shall I show you one who will nurse and rear the (child)´ So We brought thee back to thy mother that her eye might be cooled and she should not grieve. Then thou didst slay a man but We saved thee from trouble and We tried thee in various ways. Then didst thou tarry a number of years with the people of Midian. Then didst thou come hither as ordained ,O Moses!Kamina yegi wyoe fe dazan uci fe gan gan:"Ngba yea lugwa Mi wu'eba lo eba zana'a kpau ya ye wangi'inaa Gancin Yicia wyo lazhin eba nna wyo be ebo yangban wyun'u ciu'uta u ma'u ga nyin yangba ma.Wyo ma jin sanadi tsutsu rayi ndoci Yi cia wyo wadzun dagan yangban nyin wuncin'o Yi ma ma wyo cinle be mimancinlezhi kakayin. Gancin wyoci fedun eye na dakun na dan mini jama'a yan Madyanazhio gbaani wyoci dabe babo eti tsunwan (yan na Mi kpa) be wyo yin na Musa
Surah 20:41, "And I have prepared thee for Myself (for service)",..Mi ma wyo tsa ya ti tacin Mi.
Surah 20:42 ,      "Go thou and thy brother with My Signs and slacken not either of you in keeping Me in remembrance.,Fe lo to wyoe to yegi wyoe ye mae ga zhin zunma be yetun Mi yin ma.
Surah 20:43,    "Go both of you to Pharaoh for he has indeed transgressed all bounds;,Efe lo ebo Fir'auna zagubabae hakika wyun'a gbin tu.
Surah 20:43 ,   "Go both of you to Pharaoh for he has indeed transgressed all bounds;,Efe lo ebo Fir'auna zagubabae hakika wyun'a gbin tu.
Surah 20:44  ,     "But speak to him mildly; perchance he may take warning or fear (Allah).",Ye mae gangan beuyin be bere didaciy ujin-wo be wuncin'y wyun'a -- sinsantu ko ma wyun'a sundan (azaba)Soko.
Surah 20:45   ,      They (Moses and Aaron) said: "Our Lord! We fear lest he hasten with insolence against us or lest he transgress all bounds.",Aci gan: "Tsoci yi! Hakika Yi ye de dansun ube ke fiyi ma ko ma ube gboti ka ugbin iyakatu be yi yin ma.
Surah 20:46    ,  He said: "Fear not: for I am with you: I hear and see (everything).,(Soko) ci gan: "E ga sundan ma hakika Mi dan ganni be ye yin Mie wo Mi mae le yandondo ye.
Surah 20:47          ,          "So go ye both to him and say ´Verily we are messengers sent by thy Lord: Send forth therefore the Children of Israel with us and afflict them not: with a Sign indeed have we come from thy Lord! and peace to all who follow guidance!,Ebo acin'o efe lo bau ye cie gan'u gan: "Hakika Tuci Tsoci wyo zhi yi yio ebo acin'o a Bani-Israilazhi ya yayi wyo mao ga jin'a azaba ma. Hakika yi be be ya wyo be ayae dagan eba Tsoci wyo bo. Aminci ma ugaajin tabbata ya zana ga mitu bawu na.
Surah 20:48     ,    "´Verily it has been revealed to us that the Penalty (awaits) those who reject and turn away.´",Hakika Yi ajin wahayi be yayi gan: kede hakika azaba uga'ajin tabbata ya zandondo na ga gaskiya yi ganmana na uci kezhea zunma zheta'u na.
Surah 20:49 ,  (When this message was delivered) (Pharaoh) said: "Who then O Moses is the Lord of you two",Ugan:"Zi'ima yi Tsoci ye yeo tso Musa"
Surah 20:49  , (When this message was delivered) (Pharaoh) said: "Who then O Moses is the Lord of you two"Ugan:"Zi'ima yi Tsoci ye yeo tso Musa"
Surah 20:50    ,    He said: "Our Lord is He Who gave to each (created) thing its form and nature and further gave (it) guidance.",Ugan: Tsoci yi gayi Etsu na la yandondo ya alitta'u nao gancin uci'u wu bao.
Surah 20:51,    (Pharaoh) said: "What then is the condition of previous generations",(Fir'auna) ci gan: "To gbani hali iri kicibo allumma yan mafari nazhi shidzo na dan-yninbo gbanio
Surah 20:52  ,        He replied: "The knowledge of that is with my Lord duly recorded: my Lord never errs nor forgets-Ugan:",kpikpe wuncin eba Tsoci mi bo udan'o dan mini Litafi (Lauhil mahfuz) Tsoci mi mae gbinka danboa Umae battan'a.
Surah 20:53   ,               "He Who has made for you the earth like a carpet spread out; has enabled you to go about therein by roads (and channels); and has sent down water from the sky." With it have We produced diverse pairs of plants each separate from the others.,Etsu wuncin na ta kincici yaye parae na Ucia ekpazhi la'adan nin yan'ubo yaye Uci du ele zhin dagan sanmao Yici la yangici sun-sunzhi iriirizhi tinya be nuwan wuncin-y.
Surah 20:54,        Eat (for yourselves) and pasture your cattle: verily in this are Signs for men endued with understanding.,Yetso gi (dagan miniubo) ye mae kpa dabbayezhi. Hakika mini wuncin'o ayazhi danbo ya zanazhi gayi eza hankali zhi na.
Surah 20:55,       From the (earth) did We create you and into it shall We return you and from it shall We bring you out once again.,Dagan mini (kinbo) ga Yi jin alitta ye yeo miniubo (kabario) ga Yia kezhe la ye fi beo dagan miniubo ga Yia kezhe kuye tinya beo.
Surah 20:56   ,  And We showed Pharaoh all Our Signs but he did reject and refuse.,Hakika ma Yi la aya Yi zhi wu Fir'auna yan baeni uci'u yi ganmana u cia navo.
Surah 20:57 ,     He said: "Hast thou come to drive us out of our land with thy magic, O Moses(Fir'auna) ci gan:"Gbani wyo bebe ebo wyo la yiyin yan'o tin'oya dagan kin yan yi bo eya-ma-wyo yin Musa
Surah 20:57  ,    He said: "Hast thou come to drive us out of our land with thy magic ,O Moses(Fir'auna) ci gan:"Gbani wyo bebe ebo wyo la yiyin yan'o tin'oya dagan kin yan yi bo eya-ma-wyo yin Musa
Surah 20:58    ,         "But we can surely produce magic to match thine! So make a tryst between us and thee which we shall not fail to keep - neither we nor thou - in a place where both shall have even chances.",To hakika yi ma'a be ya'o be eyan-mae iri'u yin ebo acin'o a efomusanmaman laa cic tsakani yibo be wyo yin yima'a le'u baa to wyotso maaleu baa uma'u yi danna na -- yin na.
Surah 20:59 ,      Moses said: "Your tryst is the Day of the Festival and let the people be assembled when the sun is well up.",(Musa) ci gan:Efo na mi lacici ya ye na uga yi efo ninpa (I'idi) ye yeo zawangizhi ma'a la'a gun'a yekan kpata be yi-sakagi.
Surah 20:60  ,   So Pharaoh withdrew: He concerted his plan and then came (back).,Fir'auna cia zunma zheta ucia tanadi uzhi kpata ku yekan gancin aci dabe (bana'a la shi yan gun-gun na).
Surah 20:61 ,             Moses said to him: Woe to you! Forge not ye a lie against Allah lest He destroy you (at once) utterly by chastisement: the forger must suffer frustration!",Musa ci gan'a gan: 'Takaici! Ega tswa ganmana ta Soko ma kacan'a Ugae jin hallaka be azabae hakika ma zandondo nagae tswa ganmana ta Soko na wyun'a zun-ya.
Surah 20:62  ,  So they disputed one with another over their affair but they kept their talk secret.,Aci gbo mi be dozhi mini alamaria bo acia eza baa zhi swo.
Surah 20:63   ,         They said: "These two are certainly (expert) magicians: their object is to drive you out from your land with their magic and to do away with your most cherished institutions.,Aci gan:"Hakika za gubaaba nana zhi (Musa be Harunae) eyan-ma cizhi ayio e wa-wa gan ala ye yea yan'a tin'aya dagan kin-mi yebo be eyan-ma'a yin acia la eyan wangi-wangi yezhia kua
Surah 20:64 ,        "Therefore concert your plan and then assemble in (serried) ranks: He wins (all along) today who gains the upper hand.",Ebo acin'o yea tanadiezhi ku yekan ye vie tin'eyae be safu-safu hakika zana ga'ade galaba yin-na na gaade elstu.
Surah 20:65   ,       They said: "O Moses! whether wilt thou that thou throw (first) or that we be the first to throw"Aci gan: ",Wyoe Musa! Ko wyo ka-yn-ce ko ma Yi'I la-yca yn-ce be dzo."
Surah 20:66,           He said "Nay throw ye first!" Then behold their ropes and their rods-so it seemed to him on account of their magic - began to be in lively motion!,Ugan:"A'a yedea ce be dzo gancin acia egban'azhi to tsukun'azhi ce zhizhi acie sana fia eyeo mini eyanma'abo ke wyoe'gangan (ewa) nae dazan nao.
Surah 20:67 ,   So Moses conceived in his mind a (sort of) fear.,Musa cia ya edan-yn wo dan mini yangban'u bo.
Surah 20:68 ,    We said: "Fear not! for thou hast indeed the upper hand:,Yici gan:"Ga sundan ma hakika wyo ga wun zankpeo.
Surah 20:69      ,         "Throw that which is in thy right hand: Quickly will it swallow up that which they have faked what they have faked is but a magician´s trick: and the magician thrives not (no matter) where he goes.",Wyo mao la yanna dan gwa'alo wyo bo nao ce'o cici u ga yannazhi a san kpata na ku yin Hakika yannazhi a san kpata na tanadi eyan macizhio eyan-maci ma'atso guria bandondo na uga lo na.
Surah 20:70 ,      So the magicians were thrown down to prostration: they said "We believe in the Lord of Aaron and Moses".,Gancin eyan-maci zhi kpata cia nikin zhi kinbo a daa sujada aci gan:"Yi yia imani jin be Tsoci yan Haruna be Musae.
Surah 20:71        ,                 (Pharaoh) said: "Believe ye in Him before I give you permission Surely this must be your leader who has taught you magic! be sure I will cut off your hands and feet on opposite sides and I will have you crucified on trunks of palm-trees: so shall ye know for certain which of us can give the more severe and the more lasting punishment!",Fir'auna ci gan:"Yea imani jin be'uyin tun mi laa ya ye izinia Hakika wyun ga yinunsa ye na wu ye eyan ma nao; Hakika migae egwazhi to bici yezhi ko ya dan dozhi (egwa gwa'lo be bici gwa'apin'y) hakika mima gae fo-sa dan mini cigban dobinao hakika ye tso ma'a kpe zi'i mini yi bo na azabau ta gan uma gboka gan nao.
Surah 20:72    ,              They said: "Never shall we regard thee as more than the Clear Signs that have come to us or than Him Who created us! so decree whatever thou desirest to decree: for thou canst only decree (touching) the life of this world.Agan:",Hakika yi ga wa wyoe a wyo la'ata eti aya gbangbazhi nazhi be yayi naa. Yi zhi kuti be Etsu na ca jin-jin alitta yi nae hukunci ndondo na'o gade cia jin (eti yibo na) ajin hakika hukuncio kpata izhe nana gabo wyo'ajin'u kan'o.
Surah 20:73  ,           "For us we have believed in our Lord: may He forgive us our faults and the magic to which thou didst compel us: for Allah is Best and Most Abiding.".Hakika yi'a imani jin be Tsoci Yi jin ebo ma wyun'u fa be yi yin yan bicicin yizhito yan eyan-ma na wyo jin yi kpa a ci da jinna. Soko ga ma wun egagba alherio egagba'U gama yi yan danbo dan'o.
Surah 20:74,            Verily he who comes to his Lord as a sinner (at Judgment)- for him is Hell: therein shall he neither die nor live.,Hakika zandondo naga be eba Tsoci'u uma yi lefi jinci na to hakika jahannama ga'ajin tabbata ya'u wyun'a tsu gun boa umaade rayia.
Surah 20:75  ,       But such as come to Him as Believers who have worked righteous deeds- for them are ranks exalted-,Zana ma ga be eba Tsoci'u umayi mumini na lotun wangi-wangizhi na zawuncinzhi'ade egagba yan daraja nazhi latuna.
Surah 20:76 ,          Gardens of Eternity beneath which flow rivers: they will dwell therein for aye: such is the reward of those who purify themselves (from evil).Aljannazhi ayio yan danboda na amaafi bofi tutun yin wuncin gayi egagba yan zana ga'ali ke lefi lugwa nao.
Surah 20:77 ,                We sent an inspiration to Moses: "Travel by night with My servants and strike a dry path for them through the sea without fear of being overtaken (by Pharaoh) and without (any other) fear.",Hakika ma Yijin wahayi fi Musa kede; A wuzhi mi zhi ku tinya dan ezan yeshio wyo mao la eko'osa'oya'a dan mini eduo eko na yi wiwocina. Wyo mao ga sundan gan ko Fir'auna ga ye tso ma ye mae ga sundan kikya gun nuwan'o ma.
Surah 20:78 ,      Then Pharaoh pursued them with his forces but the waters completely overwhelmed them and covered them up.,Gancin Fir'auna cia mi tu'a be ekungunci'uzhi nuwan yan edu cia rukpea baenio.\
Surah 20:79  ,  Pharaoh led his people astray instead of leading them aright.,Fir'auna cia jama'a yan'uzhi kufi egbin'o baenio uma la bawu ndondo ya a.
Surah 20:80   ,          O ye Children of Israel! We delivered you from your enemy and We made a Covenant with you on the right side of Mount (Sinai) and We sent down to you Manna and quails:,Ya ye Bani Israilazhi! Hakika Yia ye gangwa be egun makiri ye yin'a ni Yi ma jin ye alkawali yan gungun be yeyin kansanta gwa'alo yan pati "Turisina'io" Yima cin yangici yan "manna" be "salwae" be yaye.
Surah 20:81  ,              (Saying): "Eat of the good things We have provided for your sustenance but commit no excess therein lest My Wrath should justly descend on you: and those on whom descends My Wrath do perish indeed!,E gi dagan mini eyan lilici nazhi Yi la yaye arzikinao ye mae ga gbin iyaka tu dan miniubo ma kacan'a ewunzhe mi gaa cin ta ye zaeni ndondo nama fushi Mi ga'a cin ta na to hakika zawuncin'ajin hallaka. 
Surah 20:82 ,       "But without doubt I am (also) He that forgives again and again to those who repent believe and do right who- in fine are ready to receive true guidance.",Hakika ma Mi Etsu gafara Miyio ya zana ga tuba jin ucia imani jin uci lotun wangi-wangizhi gancin ucia kugikini ta eti ekpa bawuo nao.
Surah 20:83 ,   (When Moses was up on the Mount Allah said:) "What made thee hasten in advance of thy people O Moses",Ki'ima la wyo ci din-ye cia jamaa yan wyozhi lugwao musa
Surah 20:84      ,  He replied: "Behold they are close on my footsteps: I hastened to thee O my Lord to please thee.",Ugan: "Ngan atsoa gbami zunma be gbaani mima din-ye din be eba wyoe Tsoci ebo wyo'ojin yeda be mi yin.
Surah 20:85,        (Allah) said: "We have tested thy people in thy absence: the Samiri has led them astray."Ugan: ",Hakika Yia jama'a yan wyozhi ma-cin le zunma-wyo bo samiriyu ma wyun'a kufi egbin'o.
Surah 20:86 ,                        So Moses returned to his people in a state of indignation and sorrow. He said: "O my people! did not your Lord make a handsome promise to you Did then the promise seem to you long (in coming) Or did ye desire that Wrath should descend from your Lord on you and so ye broke your promise to me",Musa ci kezhe dazhin eba jamaa yan'uzhi be ewunzhe'e uma'a nyin yangban uci gan: "Asa Tsoci ye Ujin ye alkawali nayi wangi naa Kashi lokaci na'Uda yaye na tsa lokpa fi ye yeo Kashi ye wawa gan ewunzhe yan Tsoci ye ulau cin'u yaye ugala ye cia le alkawali mi bao
Surah 20:87,              They said: "We broke not the promise to thee as far as lay in our power: but we were made to carry the weight of the ornaments of the (whole) people and we threw them (into the fire) and that was what the Samiri suggested.,Acigan: "Ujin banbayi la yici le alkawali ba'a amaade ala kara zunubi la ta yi dagan mini kaaya ninpa yan jamaa yan (Kibtiyyu zhio) Yicia ku ce ya acinga gama Samiriyyu otso ce yan wyun ya mao.
Surah 20:88 ,          "Then he brought out (of the fire) before the (people) the image of a calf: It seemed to low: so they said: This is your god and the god of Moses but (Moses) has forgotten!",Ucia nanko gigi na yibe nakan'ena wa tinya ya'a (dagan mini enao) uma fe ti wu aci gan: "Nana gayi Tsoci ye yeo to yan Musao amaade (Musa) a batan.
Surah 20:89  ,         Could they not see that it could not return them a word (for answer) and that it had no power either to harm them or to do them good,Ale ye lea kede nanko gigi (sin-sanci) wuncin wyun'e zhegan'a naa yin'a umade kagbo yan gwakan eyan gun koma yan lilabe alheri naa yin'a
Surah 20:90     ,          Aaron had already before this said to them: "O my people! ye are being tested in this: for verily your Lord is (Allah) Most Gracious; so follow me and obey my command.",Hakika ma Haruna ganya'a shidzo batso zhio uci gan: "Ya ye jamaa yan Mizhi! Hakika a maye ma cinle beuyin kawanyin hakika ma Soko AL-RAHMANU wyun gayi Tsoci ye yeo ebo acin'o yea emi tu mi ye mae laegba foro mi.
Surah 20:91 ,       They had said: "We will not abandon this cult but we will devote ourselves to it until Moses returns to us.",Agan: "Yia pan yeshia yia fe jin bauta yau har sai Musao tso ga zhin cibe tsun yi.
Surah 20:92,      (Moses) said: "O Aaron! what kept thee back when thou sawest them going wrong,Musa gan: "Wyo Haruna! Ki'i kan wyo yo kamina wyo lea ye'agbin nao
Surah 20:93  , "From following me Didst thou then disobey my order",Wyoci lami tumi (be gan ya mi yin'a yan'o) Kashi wyo a le foro mi le ba
Surah 20:94  ,               (Aaron) replied: "O son of my mother! Seize (me) not by my beard nor by (the hair of) my head! Truly I feared lest thou shouldst say ´Thou has caused a division among the children of Israel and thou didst not respect my word!´",(Haruna) cigan: "Ya wyoe egi-nna-mi ga din mi nunkpa yin ma wyo mao ga la gwa sun mi etioma hakika mi fe sundan na wyoa gan-gan:"wyoa jama'a yan Bani Israila zhin gan kpere-kpere wyo ma lamitu egan miyin'a na".
Surah 20:95 ,  (Moses) said: "What then is thy case O Samiri",Musa cigan: "Kici mayi eza wyo yio Samiri
Surah 20:96  ,             He replied: "I saw what they saw not: so I took a handful (of dust) from the footprint of the Messenger and threw it (into the calf): thus did my soul suggest to me.",Ugan: "Mile yandoci le ye na tso a leyea na Mici to jikanna dagan bici kinpa yan Tuci (jibriluo) miciu ce (kpe nanko gigio). Acinga gama yangbanmi pau nin fi mi yin'o.
Surah 20:97  ,                         (Moses) said: "Get thee gone! but thy (punishment) in this life will be that thou wilt say ´touch me not´; and moreover (for a future penalty) thou hast a promise that will not fail: Now look at thy god of whom thou hast become a devoted worshipper: We will certainly (melt) it in a blazing fire and scatter it broadcast in the sea!",(Musa) ci gan: To fe lo ammade edunfe izheo nakena yanna wyo afe gan na ugayi "La mi sa sao" mia ye lagwa toa mitso ma'a la to zandondoa wyo mayi be lokaci na a ceu lebaa na wyo mao cin kuti wyoe na wyo kanta cie wun nao le hakika yi ga'u danna gancin yi ci ga'a ce ya gun eduo baenio.
Surah 20:98,           But the god of you all is the One Allah: there is no god but He: all things He comprehends in His knowledge.,HakikaTsoci ye ugayi Soko Etsu na ade Tsoci ndocia sai wyun na kpikpe'Uma wun'a gwo cia yandondo ma kezhe.
Surah 20:99  ,          Thus do We relate to thee some stories of what happened before: for We have sent thee a Message from Our own Presence.,Acinga ga Yie gba (labari) mini labari yan nazhi shidzo na ya wyo yo. Hakika ma Yi la sinsantu (Alkur'anu) ya wyoe dagan eba Yibo.
Surah 20:100   ,    If any do turn away therefrom verily they will bear a burden on the Day of judgment;,Zaeni ndondo na gau ce ci zunmao na hakika uga lefi nagbota na la Efo Alkiyami.
Surah 20:101,      They will abide in this (state): and grievous will the burden be to them on that Day-A fi mini'ubo tutun yin bibi maajin tabbata ya zandondo nagala kara zunubi na.
Surah 20:102,       The Day when the Trumpet will be sounded: that Day We shall gather the sinful blear-eyed (with terror).,Efo na a be efe fi mini kafo na Yici ga lefi jincizhi san fo wuncin eyeazhi cia yi dzukan-yin
Surah 20:103  ,   In whispers will they consult each other: "Yet tarried not longer than ten (Days);Acie swo eza ba tsakani'abo be dozhi acie gan gan: "Hakika ye fedun dan izhe boa sai de yan efo-guwo kawan yin.
Surah 20:104 ,          We know best what they will say when their leader most eminent in conduct will say: "Ye tarried not longer than a day!",Hakika Yiga de kpikpe gan'o yan egan nazhie gan nao kamina zanazhi de yekpa gan miniabo na fe gan gan: "Hakika ye fedun izhe boa sai de yan foeni.
Surah 20:105  ,    They ask thee concerning the Mountains: say "My Lord will uproot them and scatter them as dust;,Amae gbin wyo gan eti patizhio to gan-gan: "Tsoci mi gau ban ruku baenio.
Surah 20:106 , "He will leave them as plains smooth and level;,Gancin uci ga'u ta cici parae.
Surah 20:107,     "Nothing crooked or curved wilt thou see in their place.",Wyoa le bandoci naga'a kan kotoe na yea wyo ma'ale tutunti ndoci yea.
Surah 20:108,            On that Day will they follow the Caller (straight): no crookedness (can they show) him: all sounds shall humble themselves in the Presence of (Allah) Most Gracious: nothing shalt thou hear but the tramp of their feet (as they march).,Efo wuncin aga mitu zanae yia (lo gungun yekan ba na) ade zandondo na'a pan ke eko lugwa na'a be rezhi kpaata ma gaa ta daa kin ebo dansun Soko AL-RAHMANUI ade yanna wyoawo naa sai de bici nae la dazan na.
Surah 20:109  ,         On that Day shall no intercession avail except for those for whom permission has been granted by (Allah) Most Gracious and whose word is acceptable to Him.,Fo wuncin gwatan'ajin anfania sai zana Soko AL-RAHMANU ga ya izini na Uci jin yeda yau ga'U gan-gan na.
Surah 20:110 ,        He knows what (appears to His creatures as) before or after or behind them: but they shall not compass it with their knowledge.,(Soko) de kpikpe yan nazhi fi yegboroa bo na to nazhi ke dan zunma'abo naama ma'u -- ba wo be kpikpe ndondo yin'a.
Surah 20:111    ,    (All) faces shall be humbled before (Him) - the Living the Self-Subsisting Eternal: hopeless indeed will be the man that carries iniquity (on his back).,Fuskazhi kpaata ma'a gbazhizhi ya Soko Etsu rayi Etsu na gikini gbaugi na. Hakika ma zandondo na ga la kara zwalunci na (eyan la pa Soko baci na) wyun'a sunzunya.
Surah 20:112  ,        But he who works deeds of righteousness and has faith will have no fear of harm nor of any curtailment (of what is his due).,Zaeni ndondo na ma gae lotun wangi-wangizhi na umayi mumini wangi na to wyun'a de dansun yan lefi zandoci na'a labe yan wyun na'a umaa de dansun laadau naa ke'u yan na'a.
Surah 20:113    ,         Thus have We sent this down - an arabic Qur´an - and explained therein in detail some of the warnings in order that they may fear Allah or that it may cause their remembrance (of Him).,Acinga ga ma Yicin'ubeo Alkuranu uyio be zhimi larabci'i Yima la misalizhi be fi bo dokun yan ewun nazhi ebo de a sundan Soko ko ma ala'afe eza sinsantu ci zhi.
Surah 20:114   ,             High above all is Allah the King the Truth! Be not in haste with the Qur´an before its revelation to thee is completed but say "O my Lord! advance me in knowledge.",Elatu kpaata'ajin tabbata ya Etsu na wun mulki gaskiya na wyo mao ga dinye be gbigba Alkuranu'i tun Yi la'a gun wahayizhi mi be ya wyo yaa ma wyo mao feo gan gan: "Tsoci mi! Be mi kpikpe".
Surah 20:115 ,         We had already beforehand taken the covenant of Adam but he forgot: and We found on his part no firm resolve.,Hakika ma Yi jin alkawali be Adamu'i tun shidzo kafi (ugi sun-sun yan cigban na) ucia alkawali wuncin batan. Yima tsun'u zana de kagbo yangban na'a.
Surah 20:115  ,        We had already beforehand taken the covenant of Adam but he forgot: and We found on his part no firm resolve.,Hakika ma Yi jin alkawali be Adamu'i tun shidzo kafi (ugi sun-sun yan cigban na) ucia alkawali wuncin batan. Yima tsun'u zana de kagbo yangban na'a.
