Surah 28:1 ,Ta. Sin. Mim.,TA SIN MIM
Surah 28:19     ,                          Then when he decided to lay hold of the man who was an enemy to both of them that man said: "O Moses! Is it thy intention to slay me as thou slewest a man yesterday Thy intention is none other than to become a powerful violent man in the land and not to be one who sets things right!",To kamina Musa kpagan wyun'asun natso yi makiri na egwao na (natsoe wa taimako na) ci gan: "Wyoe Musa! Wyoe kpakpa gan wyo la mi yin'o wu kendoe wyo wuza tsuwo na Ade yanna wyoe kpa naa saide wyo lao zhe yangban kagbociodan kinbo wyo ma kpa gan wyo lao feo dan mini za guru zhi boa.
Surah 28:20        ,         And there came a man running from the furthest end of the City. He said: "O Moses! the Chiefs are taking counsel together about thee to slay thee: so get thee away for I do give thee sincere advice.",Eza bagi ndoci (mumini mini jamaa yan Fir'auna zhio) cia tinya dagan ba kpaako yan zhi ninbo ucife dinye uci gan: "Wyoe Musa! Akika majalisa yan zhi-zhi adanbo ejin shaawara eti wyobo ebo ala wyo-yaa wu ebo acin'o a tinya akika miafe dan mini zanazhie jin wo gangba nao.
Surah 28:21     ,    He therefore got away therefrom looking about in a state of fear. He prayed "O my Lord! save me from people given to wrong-doing.",Ucia tinya dagan miniubo be dasun'y ucie cin bazhi le elo be zhin'y ugan: "Tsoci mi! Wa mi dzun dagan egun jamaa yan azwalumizhio.
Surah 28:22 ,         Then when he turned his face towards (the land of) Madyan he said: "I do hope that my Lord will show me the smooth and straight Path.",Kamina ula'ye wu kansanta yan Madyana na ugan: "Mie jin kauna gan Tsoci mi wyun'a wu mi ba lo eko natso yi daidai na.
Surah 28:23      ,                    And when he arrived at the watering (place) in Madyan he found there a group of men watering (their flocks) and besides them he found two women who were keeping back (their flocks). He said: "What is the matter with you" They said: "We cannot water (our flocks) until the shepherds take back (their flocks): And our father is a very old man.",Kamina ufe kpan lo eba nuwan (-- ga) Madyana na uci da tsun jamaa zhi dokun zhi bagao (e ya dabbazhi nuwan fin) uci ke tsun yinzagi guba ndocizhi kansantaabo e yan dabba zhi uci gan'agan: "Ki'i jin ye yio" A cigan yia ya dabba yizhi nuwan fin'a sai de dabba kpaci nanazhi gaa sajin be dzo Baba yi ma wyun'a kuku sarauyin.
Surah 28:24      ,        So he watered (their flocks) for them; then he turned back to the shade and said:"O my Lord! truly am I in (desperate) need of any good that Thou dost send me!",Ucia dabbazhi ya nuwan fin yaa ucia zheban daa wuru ndoci uci gan: "Tsoci mi! Eza bukaata mi yio lo eba alheri ndondo na wyo gaa cin be ya mi na.
Surah 28:25       ,                  Afterwards one of the (damsels) came (back) to him walking bashfully. She said: "My father invites thee that he may reward thee for having watered (our flocks) for us." So when he came to him and narrated the story he said: "Fear thou not: (well) hast thou escaped from unjust people.",Zaeni mini yinzagi guba wuncinzhio ci da be ebau uci fe dazan be zunye ucigan: "Akika Baba mie yi wyoe ebo ula egagba nuwan na wyo ya dabba yizhi fin na'uya wyoe". To lokaci na u tunbau na wyun'u ya labari kpaata ucia gan'u gan: "Ga sundan ma wyoa gangwa'ani be egun yan azwalumi zhi'y.
Surah 28:26      ,   Said one of the (damsels): "O my (dear) father! engage him on wages: truly the best of men for thee to employ is the (man) who is strong and trusty"....,Zaeni mini egi yinzagi wuncinzhio ci gan: "Baba u'ula egi tun'y akika ade zana -- yin gan na wyoa la tun naa sai zana gboka uma yi eza amaana na.
Surah 28:27 ,                           He said: "I intend to wed one of these my daughters to thee on condition that thou serve me for eight years; but if thou complete ten years it will be (grace) from thee. But I intend not to place thee under a difficulty: thou wilt find me indeed if Allah wills one of the righteous.",Ucia gan ya (Musa) gan: "Mie kpa gan min jin yawo'n ya wyoe be egi mi nini mini zagubaaba nazhi zhi daa na eti etun na wyoa lo ya mi yan eya gutota na gancin wyo ga beu gun eya guwo to wuncin yi etsa yan ti tacin wyotso; mi ma kpa gan mi'nla bayiba ndoci'n ta wyo yaa wyo maa tsun mi ugaa ba Soko na mini za guruzhio (nazhie she alkawali na).
Surah 28:28    ,          He said: "Be that (the agreement) between me and thee: whichever of the two terms I fulfil let there be no ill-will to me. Be Allah a witness to what we say.",(Musa) ci gan: "Wuncin de yi tsakani mi bo be wyo yin mini eka gubaabao ndondo na miga be jin na gbin gbintu ndoci ta eti mi boa Soko gama yi eri tsakani yibo eti yannazhi yie gan nao.
Surah 28:29 ,                         Now when Moses had fulfilled the term and was travelling with his family he perceived a fire in the direction of Mount Tur. He said to his family: "Tarry ye; I perceive a fire; I hope to bring you from there some information or a burning firebrand that ye may warm yourselves.",To kamina Musa bea etun lozo dan lokaci bibacio na wyun'a tinya dan zan'o be iyaliu yin uci taye le ena ye kansanta pati yan TUURIO uci gan ya iyaaliu gan: "Yea fedun zhiabo akika mi taye le ena ye (ebo acin'o mia tun bo) ujin wo ko mia be yaye be labari'i ko ma be ena cikara na yea de ye na.
Surah 28:30   ,               But when he came to the (fire) a voice was heard from the right bank of the valley from a tree in hallowed ground: "O Moses! Verily I am Allah the Lord of the Worlds....,Kamina u tun bau na aci yiu dagan egwa gwaalo yan kpankoro dan danna albarka yan cigban wuncin'o; "Wyoe Musa! Akika Miga yi Soko'o Etsu naekpa alitazhi kpaata na.
Surah 28:31  ,                "Now do thou throw thy rod!" but when he saw it moving (of its own accord) as if it had been a snake he turned back in retreat and retraced not his steps: O Moses!" (It was said) "Draw near and fear not: for thou art of those who are secure.,Wyo mao la tsukun wyo yo'o cici kamina ule'u ye cie kun ke ewa na wyun'a zunma zheta ci fe bici uma zheye ban'a. (Acia gan'ugan): Wyoe Musa! Dazhin wyo mao ga sundan ma akika wyoa fedan mini eza aminci zhio.
Surah 28:32    ,                    "Move thy hand into thy bosom and it will come forth white without stain (or harm) and draw thy hand close to thy side (to guard) against fear. Those are the two credentials from thy Lord to Pharaoh and his Chiefs: for truly they are a people rebellious and wicked.",Wyo mao la egwa wyo yo'o lao dan koro-ewo wyobo ugaa tinya bokun'y na ma de egun ndondoa na wyo mao la egwa'o laoba kansan wyobo ebo dansun (bokun bo'ubo). To gubaaba nanazhi hujjazhi ayio dagan eba Tsoci wyo bo lo eba Fir'auna to majalisauzhi akika aafe jamaa nazhi yi fasikizhi na.
Surah 28:33  ,      He said: "O my Lord! I have slain a man among them and I fear lest they slay me.,(Musa) gan: Tsoci mi! Akika mi wu zandoci miniabo mimae sundan abea mi wu ma.
Surah 28:34   ,          "And my brother Aaron - He is more eloquent in speech than I: so send him with me as a helper to confirm (and strengthen) me: for I fear that they may accuse me of falsehood.",Yegi mi Haruna ma ude fasaha gintara gan mi ebo acin'o U'u tun-tun ganni be mi yin ebo'u jin mi taimako uma'u ya mi gaskiya akika mie sundan gan aa bea egan mi yi ganmana.
Surah 28:35   ,           He said: "We will certainly strengthen thy arm through thy brother and invest you both with authority so they shall not be able to touch you: with Our Sign shall ye triumph- you two as well as those who follow you.",U gan: Yia beo kagbo be yegio yin Yi maa yae taimako aa tun ba ye wo be egun ndondo yin'a. Efe lo be aya Yizhi to ye to zanazhia emi tu ye na ye ga wun zankpeo.
Surah 28:36,                When Moses came to them with Our clear signs they said: "This is nothing but sorcery faked up: never did we head the like among our fathers of old!",To kamina Musa be yaa be aya Yizhi gbangbae na agan: " Nana de uyia sai de eyan ma naa tswa na yi ma laa wo iri nana le dan mini yanmanci yizhi yan mafarizhi boa.
Surah 28:37,                 Moses said: "My Lord knows best who it is that comes with guidance from Him and whose end will be best in the Hereafter: certain it is that the wrong-doers will not prosper.,"Musa ci gan: "Tsoci mi ade kpikpe gan'o yan zana be be bawu'y dagan ebaUbo nao to zana gaade zoba wangi gan nao akika azwalumizhi'a tso guria.
Surah 28:38   ,                       Pharaoh said: "O Chiefs! no god do I know for you but myself: therefore O Haman! light me a (kiln to bake bricks) out of clay and build me a lofty palace that I may mount up to the god of Moses: but as far as I am concerned I think (Moses) is a liar!",Fir'auna ci gan: "Ya ye majalisazhi! Mi kpe ya ye yede Tsoci ndoci zunma mi boa wyo ma Hamanu aa ena gun ya mi ta eti egun'o (na'a agaa sa lankpa na) wyo cio tubao ya mi lo fiti ebo mi dan'le Tsoci yan Musa'n ye akika mie jin'u zato gan mini ganmana zuncizhi bo udan'o.
Surah 28:39 ,          And he was arrogant and insolent in the land beyond reason- He and his hosts: they thought that they would not have to return to Us!,Ucia gbotika to wyun'y to ekun gunci'uzhi ta eti kinbo umayi eti gaskiya boa acie kpaye gan aa zheban be tsun Yi yia.
Surah 28:40,         So We seized him and his hosts and We flung them into the sea: Now behold what was the end of those who did wrong!,Yici'u wan to ekungunci'uzhi Yi cia cegun mini eduo wyo mao cin'ole kendoe zoba azwalumizhie yi yi na.
Surah 28:41   ,     And we made them (but) leaders inviting to the Fire; and on the Day of Judgment no help shall they find.,Yicia la'afe dzoshicizhi nazhe yi zazhi lo ena na Efo Alkiyami'i ma aa de zanazhia jin'a taimako naa.
Surah 28:42,         in this world We made a curse to follow them and on the Day of Judgment they will be among the loathed (and despised).,Yi cia emi tua izhe nanao be emi boe Efo Alkiyamio ma agaa fe dan mini eza dede zhio. (aa gye yelea).
Surah 28:43 ,              We did reveal to Moses the Book after We had destroyed the earlier generations (to give) Insight to men and guidance and Mercy that they might receive admonition.,Akika Yila litafi (Ataura) ya Musa baci na Yia alumma yan mafarizhi jin hallaka na. Kpaata wuncinzhi eyan yekpazhi ayio be bawu'I be yegun'I ya zawangizhi ko be wuncinzhi'i aa -- sinsantu.
Surah 28:44  ,          Thou wast not on the Western side when We decreed the Commission to Moses nor wast thou a witness (of those events).,Wyo madan kansanta eyi lozun yan (pati Tuuri) boa kamina Yijin wahayi ya Musa naa wyo madan mini zanazhi jin ri naboa.
Surah 28:45   ,              But We raised up (new) generations and long were the ages that passed over them; but thou wast not a dweller among the people of Madyan rehearsing Our Signs to them; but it is We Who send messengers (with inspiration).,Amaade Yi jin alitaa alummazhi (dokun) ekundo eya izhe cia lokpa fia wyo ma fedun dan tacin za Madyanazhio ci fe gba aya Yizhi ya aa amade Yide e tun wyo tun fia.
Surah 28:46      ,             Nor wast thou at the side of (the Mountain of) Tur when we called (to Moses). Yet (art thou sent) as Mercy from thy Lord to give warning to a people to whom no warner had come before thee: in order that they may receive admonition.,Wyo ma dan kansanta eba Tuuri bo kamina Yi yi Musa naa amaade ebo yegun'o dagan eba Tsoci wyo bo eboma wyo'ojin jamaa nazhi laade gangba jincizhi shiboa na gangba ujin wo be wuncin'y agaade sinsantu.
Surah 28:47,                 If (We had) not (sent thee to the Quraish)- in case a calamity should seize them for (the deeds) that their hands have sent forth they might say: "Our Lord! why didst Thou not sent us a messenger We should then have followed Thy Signs and been amongst those who believe!",Kagan umajin ebo masi'iba ndoci be dea maa be iri etun nazhi egwaatsozhi la shidzo naa har ma atsoa fe be gangan:"Ki'ila wyoci tun Tuci fi yi yia yin'o ngan daa yi ga emi tu aya wyozhi yi ma gaafe dan mini mumini zhio.
Surah 28:48,                         But (now) when the Truth has come to them from Ourselves they say "Why are not (Signs) sent to him like those which were sent to Moses" Do they not then reject (the Signs) which were formerly sent to Moses They say: "Two kinds of sorcery each assisting the other!" And they say: "For us we reject all (such things)!",Kamina gaskiya be be yaa dagan eba Yibo na agan:"Ki'i la aci la iri yanna ala ya Musa na ya wyun'a yin'o Asa shidzo batsozhio a yi yanna ala ya Musa na ganmanaa; aci gan: Ngan eyanmaci guba ayio Aci gan: "Akika yi yia jin kafirinci bea yin baenio.
Surah 28:49    ,        Say: "Then bring ye a Book from Allah which is a better guide than either of them that I may follow it! (do) if ye are truthful!",Gangan: "To ebe be Litafi ndoci dagan eba Soko nama la bawu be gan'a gubaaba na (Alkuranu be Ataurae) na ma mia la mitu na wun'ayi gaskiya tacizhi yeyio na.
Surah 28:50  ,                    But if they hearken not to thee know that they only follow their own lusts: and who is more astray than one who follow his own lusts devoid of guidance from Allah for Allah guides not people given to wrong-doing,.Kagan ma a zhe wyo gan'a to wyoo kpeo wo dan'o na kede etun yangban'azhi tsa e la mituo na. Zi'i ma gbingan za nae la mitu etun yangban'u umayi be bawu'I dagan eba Soko boa naa yin'o Azwalumizhi ke ekoa.
Surah 28:50    ,                  But if they hearken not to thee know that they only follow their own lusts: and who is more astray than one who follow his own lusts devoid of guidance from Allah for Allah guides not people given to wrong-doing.,Kagan ma a zhe wyo gan'a to wyoo kpeo wo dan'o na kede etun yangban'azhi tsa e la mituo na. Zi'i ma gbingan za nae la mitu etun yangban'u umayi be bawu'I dagan eba Soko boa naa yin'o Azwalumizhi ke ekoa.
Surah 28:51  ,   Now have We caused the Word to reach them themselves in order that they may receive admonition,Akika Yi ma la egan zhi gun be dozhi'I yaa ebo ko be wuncin'y agaa san tu.
Surah 28:52 ,      Those to whom We sent the Book before this- they do believe in this (revelation):,Zanazhi ma yi la Litafi (ndoci) ya shidzo batsozhio na aa imani jin ganni beuyin.
Surah 28:53    ,          And when it is recited to them they say: "We believe therein for it is the Truth from our Lord: indeed we have been Muslims (bowing to Allah´s Will) from before this.,Ama ga gba kaatun yaa aajin agan gan: "Yia imani jin beu yin akika gaskiya uyio dagan eba Tsoci yi bo akika ma yiafe musulumizhi shidzo be dzo.
Surah 28:54 ,          Twice will they be given their reward for that they have persevered that they avert Evil with Good and that they spend (in charity) out of what We have given them.,Zawuncinzhi aa la egagba'azhi yaa zu-guba ebo hakuri naajin na amaajin afe da etun dede gwa ya be etun wangi'I amaajin afe wu dukiya (fi eko Soko) dagan mini arziki nazhi Yi la yaa na.
Surah 28:55        ,      And when they hear vain talk they turn away therefrom and say: "To us our deeds and to you yours; peace be to you: we seek not the ignorant.",Amaga wo egan banza (edzo banza) aajin e la eti pan keu lugwa acia gangan: "Yi yi be egagba etun yi yin yetso mayi be egagba etun ye yin e fe lo yan'e egwa yi madan be jahilizhi yin'a.
Surah 28:56  ,          It is true thou wilt not be able to guide every one whom thou lovest; but Allah guides those whom He will and He knows best those who receive guidance.,Akika wyo la zana ba wyo na ke eko woa amaade Soko gayi Etsu nae la zana gabaUna ke eko' Wyun ga ma kpe zanazhi yi eza bawuzhi nao.
Surah 28:57   ,                     They say: "If we were to follow the guidance with thee we should be snatched away from our land." Have We not established for them a secure sanctuary to which are brought as tribute fruits of all kinds- a provision from Ourselves but most of them understand not.,Aci gan: "Yiga mitu bawu (nana) be wyo yin aga yi fela dagan kin yan yibo (Gan yaa gan): Asa ujin yi ga la Harami shishi yaye be aminci nama e ku yangici sun-sunzhi iri ndondo bebo naa Ngan wuncin arziki uyio dagan eba Yibo. Amaade ekundondoazhi ade kpikpea.
Surah 28:58    ,            And how many populations We destroyed which exulted in their life (of ease and plenty)! now those habitations of theirs after them are deserted- All but a (miserable) few! and We are their heirs!,Alummazhi ma danbo dokun nazhi yijin hallaka na aa edunfe izhea nyin-ya. Emiazhi zhio na zando le gunbo zunmaaboa sai degi Yi ga mayi Egungicizhi yan bae nio.
Surah 28:59   ,                Nor was thy Lord the one to destroy a population until He had sent to its centre a messenger rehearsing to them Our Signs; nor are We going to destroy a population except when its members practise iniquity.,Tsoci wyo mae jin alkarya hallaka'a sai Uga Tuci tun fi ezhi koazhio naafe gba aya Yizhi yaa na. Yi mae jin alkarya ndondo hallaka sai de jamaa yan'uzhi gaafe azwalumizhi.
Surah 28:60    ,          The (material) things which ye are given are but the conveniences of this life and the glitter thereof; but that which is with Allah is better and more enduring: will ye not then be wise,Yandondo nama aga la yaye na to eyan eman-wo izhe uyi be ninpau yin'o. Yanna madan eba Soko'o na de alheri gan wyun ga maa dan'ubo. Ki la ye cie jin hankalia yin'o
Surah 28:61     ,           Are (these two) alike- one to whom We have made a goodly promise and who is going to reach its (fulfilment) and one to whom We have given the good things of this life but who on the Day of Judgment is to be among those brought up (for punishment),Ngba zana Yi jin'u alkawali wangi na nama wyun'a be gun be yin na ugaazhe ye ni be zana ema izhe kawan yin Yi la yau cie wo-ona gancin ma Efo Alkiyami'i aa kua ku dafi enao na
Surah 28:62,       That Day (Allah) will call to them and say "Where are my ´partners´- whom ye imagined (to be such)",(Wyo mao pa) Efo na Soko gaa yia na Ucia gangan: Babo kuti nazhi yefe la pa Mi baci izheo na dan'o
Surah 28:63   ,              Those against whom the charge will be proved will say: "Our Lord! These are the ones whom we led astray: we led them astray as we were astray ourselves: we free ourselves (from them) in Thy presence: it was not us they worshipped.",Zanazhi ma azaba Sokoajin tabbata ta etiabo na gan: "Tsoci yi! Zananazhi gayi zanazhi yi gbin nao Yima gbin'agbin kendoe yitso gbin na yimae wa egwa yi be eba wyoe akika ma ujin yi tsa afe wun'a.
Surah 28:64  ,          It will be said (to them): "Call upon your ´partners´ (for help)" :they will call upon them but they will not listen to them; and they will see the Penalty (before them); (how they will wish) ´if only they had been open to guidance!´,Acigan: "E yi kuti yezhi be" gancin aci yia ama zhea gan'a. Acia azaba leye. (Aci fe jin guri gan) e gan gan yeafe eza bawuzhia!
Surah 28:65  ,   That Day (Allah) will call to them and say: "What was the answer ye gave to the messengers",(Wyo mao pa) Efo na agaa yia na; Ucia gan gan: "Ki yi ezhe na yela ya Tucizhi nao
Surah 28:66    ,  Then the (whole) story that Day will seem obscure to them (like light to the blind) and they will not be able (even) to question each other.,Labari kpaata cia gbin'a eyeo fo wuncin atso ma gbin dozhi gan woa.
Surah 28:67  ,        But any that (in this life) had repented believed and worked righteousness will have hopes to be among those who achieve salvation.,To amaade za na ga tuba jin ucia imani jin uci lotun wangi na to kengi uyio na ugaafe dan mini eza robo zhio na.
Surah 28:68   ,          Thy Lord does create and choose as He pleases: no choice have they (in the matter): Glory to Allah! and far is He above the partners they ascribe (to Him)!,Tsoci wyo maa jin ujin alitta yanna ga baUna Umae tsa yanna ga baUna ujin aa tsa wun etsa'a. Soko maa li Umaa la tu ke yannazhi e la pau baci na lugwa.
Surah 28:69  ,    And thy Lord knows all that their hearts conceal and all that they reveal.,Soko ma kpe yannazhi swo fi yangban'azhio kpata nao to yannazhi e latu na.
Surah 28:70   ,           And He is Allah: There is no god but He. To Him be praise at the first and at the last: for Him is the Command and to Him shall ye (all) be brought back.,Wyunga mayi Soko' ade Tsoci ndoci naajin bauta ta naa sai Wyun'y yebo kpaata'ajin tabbata ya'U dan izheo to Alkiyamio hukunci kpata ma Wyun ga wun'o ebaU gabo aa kue zheban lo.
Surah 28:71        ,          Say: See ye If Allah were to make the night perpetual over you to the Day of Judgment what god is there other than Allah who can give you enlightenment Will ye not then hearkenGangan: ",Ngba ye le yea Soko ga yeshi laa fedun ya ye tutun yin har da Efo Alkiyami Zi'i danbo nayi Tsoci wuncin zunma Soko'o nao na'ala haske be yaye nao Kashi ye e wo gan woa
Surah 28:72      ,              Say: See ye If Allah were to make the day perpetual over you to the Day of Judgment what god is there other than Allah who can give you a night in which ye can rest Will ye not then see,Gangan: Kashi ye le yea Soko ga igidi (batin) laa fedun yaye tutunyin har da Efo Alkiyami zi yi Tsoci wuncin zunma Soko naa la yeshi be yaye na yea fe de yangban tacin dan nao Kashi ye e kpaye kpa'a
Surah 28:73 ,           It is out of His Mercy that He has made for you Night and Day- that ye may rest therein and that ye may seek of his Grace;- and in order that ye may be grateful.,Udan mini yegun'Ubo na wyun'a yeshi to batin jin yaye ebo ye shi yangban tae danbo (yeshii) ye mae wa arzikieza bo (yigidii) na ujin wo be wuncin'y ye gaafe zanazhie jin yebo na.
Surah 28:74    ,   The Day that He will call on them He will say: "Where are my ´partners´ whom ye imagined (to be such)",To efo na ugaa yia na Ucia gangan: "Babo kuti nazhi yefe la pa Mi baci izheo na dan'o
Surah 28:75    ,            And from each people shall We draw a witness and We shall say: "Produce your Proof": then shall they know that the Truth is in Allah (alone) and the (lies) which they invented will leave them in lurch.,Yiciga eri ndoci wa-ka dagan mini alumma ndondo (agayi Annabiazhio) Yicia gangan: "Ela hujja yezhi be (na la yeci layan pa Mi baci na) atso ci gaa kpe kede gaskiya be Soko-yin-udan'o na yannazhi'i ma afe tswa kpaata na ci gaa gbin'a yeo.
Surah 28:76    ,                        Qarun was doubtless of the people of Moses; but he acted insolently towards them: such were the treasures We had bestowed on him that their very keys would have been a burden to a body of strong men behold his people said to him: "Exult not for Allah loveth not those who exult (in riches).,Akika Karuna udan mini jamaa yan Musa zhio ucia gbin tu be ayin Yi ma twa'urya be edzunba yan arzikizhi'i na ma giyekoazhi kara bididiayio ya jamaa nazhi yi kagbocizhi na. Kamina jamaa yan'uzhi gan yau gan: Ga fe jin alfahri ma akika Sokoe wa zanazhi gae jin alfahri naa.
Surah 28:77     ,                    "But seek with the (wealth) which Allah has bestowed on thee the Home of the Hereafter nor forget thy portion in this world: but do thou good as Allah has been good to thee and seek not (occasions for) mischief in the land: for Allah loves not those who do mischief.",Wyo mao wa emi yan Zoba (wangi) dan mini yannazhi Soko ga la twarya ya wyo na wyo mao ga ba robo wyozhi tan dan mini izheo ma; wyo mao feo jin bolobolo kendoe Soko jin bolobolo ya wyo na. Wyo ma ga wa eyan-nyin dan kinbo ma akika Sokoe wa zanazhie nyin-yan na'a.
Surah 28:78  ,                         He said: "This has been given to me because of a certain knowledge which I have." Did he not know that Allah had destroyed before him (whole) generations- which were superior to him in strength and greater in the amount (of riches) they had collected but the wicked are not called (immediately) to account for their sins.Ugan: ",Akika ala dukiya la yami eti kpikpe na mide nao" Beke u kpe gan Sokoa alumma nazhi dokun na nazhi shidzo amade kagbo amade dukiya gan'u na wyun'a jin hallakaa naa Amaade (Sokoe) da da gbin lefi jincizhi gan eti etun lefiazhi boa.
Surah 28:79        ,           So he went forth among his people in the (pride of his wordly) glitter. Said those whose aim is the Life of this World: "Oh! that we had the like of what Qarun has got! for he is truly a lord of mighty good fortune!",Ucia tinya fi jamaa yan'uzhi dan mini ninpaubo zanazhie wa izhe na cigan: "Kaasa! E gangan yitso de iri yanna a laya karuna daa naa Akika wyun'a de dukiya sarauyin.
