Surah 3:1, A. L. M., Alif lam meem.
Surah 3:30   ,                      "On the Day when every soul will be confronted with all the good it has done and all the evil it has done it will wish there were a great distance between it and its evil. But Allah cautions you (To remember) Himself. And Allah is full of kindness to those that serve Him.",Efo na rayi ndondoa da tsun etun alheri nazhi ulo na to nazhi ulo dede na wyun'a jin guri gan da aga'ade ekpa na lokpa na tsakaniubo be etun dede'uzhi Soko mae li ye dan be eti tacin'uyin gan ye tswa wyin. Soko ma Etsu to-sayi uyio be wuzhi zhiy.
Surah 3:31 ,            Say: "If ye do love Allah Follow me: Allah will love you and forgive you your sins: For Allah is Oft-Forgiving Most Merciful.",Gan gan: Ye ga' fe gan ye' wa Soko (yan gaskiya) to yea 'mi tu mi Sokoa wa yetso Uma'ajin ye gafara yan zunubiyezhi. Soko ma Etsu gafara uyio Etsu yegun ma uyio.
Surah 3:31,             Say: "If ye do love Allah Follow me: Allah will love you and forgive you your sins: For Allah is Oft-Forgiving Most Merciful.",Gan gan: Ye ga' fe gan ye' wa Soko (yan gaskiya) to yea 'mi tu mi Sokoa wa yetso Uma'ajin ye gafara yan zunubiyezhi. Soko ma Etsu gafara uyio Etsu yegun ma uyio.
Surah 3:32 ,         Say: "Obey Allah and His Messenger": But if they turn back Allah loveth not those who reject Faith.,Gan gan: "Yea gba Soko ye mae lae gba Tuci". Ammaa aga bea zuma zhe ta to akika Sokoe wa kafirizhia.
Surah 3:33 ,         Allah did choose Adam and Noah the family of Abraham and the family of ´Imran above all people,Akika Soko'a Adamu tsa to Nuhu to za'mi Ibrahima zhi to za'mi Imaranuzhi ta eti alittazhio kpata.
Surah 3:34  ,    Offspring one of the other: And Allah heareth and knoweth all things.Zuriyazhi ayio sashiazhi afe dagan mini sashio. Soko ma Etsu nae wo na uyio Etsu na kpe yandondo ye na uyio.
Surah 3:35 ,                Behold! a woman of ´Imran said: "O my Lord! I do dedicate unto Thee what is in my womb for Thy special service: So accept this of me: For Thou hearest and knowest all things.",(wyo mao pa) lokaci na yinmi Imranu gan gan: Tsoci akika mi she 'mi yan alkawali ya wyoe be yan na dan gbako mi bo na kede miga'u ma uga fe egi (na'ajin bawta ya wyoebae nio na). Ebo acin'o gwo (aduwa) mi. Akika wyo gayi Etsu nae wo yandondo nao Etsu na ma kpe yandondo ye nao.
Surah 3:36    ,s                   When she was delivered she said: "O my Lord! Behold! I am delivered of a female child!"- and Allah knew best what she brought forth- "And no wise is the male Like the female. I have named her Mary and I commend her and her offspring to Thy protection from the Evil One the Rejected.",Kamina ubea egi ma na uci gan: Tsoci akika miu'ma yinzagi Soko ma kpe yan na uma na gan wyun tso Egi bagi ma ufe dozhin yinzagia. Akika mi ma'u tu sunna Maryamu (egi na'a wun Soko gbaugi na) mi mae wa tswitswa ya'u be wyo yin to zuriya'uzhi wyo tswa'a be egun shetan yin nayi eza cice yaci na.
Surah 3:37  ,                               Right graciously did her Lord accept her: He made her grow in purity and beauty: To the care of Zakariya was she assigned. Every time that he entered (Her) chamber to see her He found her supplied with sustenance. He said: "O Mary! Whence (comes) this to you" She said: "From Allah: for Allah Provides sustenance to whom He pleases without measure.",Tsoci'u ci'u gwo gwigwo wangi Uci'u la'sa sisa wangi Ucia kpikpa'u la'aya Zakariyau.Kandodo na Zakariyau ga gandan ebau bo masallacio na wyun'ada tsun yangici zhi eba ubo. Uci gan: ya wyoe Maryamu! Daga babo nana fe be ya wyo yao. Uci gan: Dagan eba Soko bo'ufe beo. Akika Soko ela arziki a ya za na ga ba'u na umayi be lisafi yin'a.
Surah 3:38 ,             There did Zakariya pray to his Lord saying: "O my Lord! Grant unto me from Thee a progeny that is pure: for Thou art He that heareth prayer!,Baga gabo Zakariyau yi Tsociu yeo. Ugan: Ya wyoe Tsoci mi! Twarya ya mi dagan nko wyo bo yan zuriya wangi akika wyoe Etsu nae wo (Umae gwo) aduwa na wyo yio.
Surah 3:39 ,                  While he was standing in prayer in the chamber the angels called unto him: "Allah doth give thee glad tidings of Yahya witnessing the truth of a Word from Allah and (be besides) noble chaste and a prophet- of the (goodly) company of the righteous.",Malaikazhi ci ta'mi yi'u kangama ugi gbaro dan masallacio (aci gan): Akika Sokoe ya'o bushara (yangban fa) be egi na a yi sunnau gan Yahya na nama'a gaskiya ya be kalma na fe be dagan eba Soko na umayi edzoshici umayi 'za lilici umayi Annabi na'afe dan mini za guru zhio na.
Surah 3:40 ,               He said: "O my Lord! How shall I have son seeing I am very old and my wife is barren" "Thus" was the answer "Doth Allah accomplish what He willeth.",Ugan: Ya wyoe Tsoci mi! Ke egia ye dede ya mi nao alali ma mia kuku'a ni nao Yinmi mi mayi rama (za nae magia na). Ugan: Acinga ga Soko ajin ujin kedoe ga bau nao.
Surah 3:41,                   He said: "O my Lord! Give me a Sign!" "Thy Sign" was the answer "Shall be that thou shalt speak to no man for three days but with signals. Then celebrate the praises of thy Lord again and again and glorify Him in the evening and in the morning.",Ugan: Ya wyoe Tsoci mi! A'alama ndocizhi la'ashishi ya mi. Soko ci gan: Alama wyoe wyo'a gangan be zazhi yin'a har yan fo guta saide be egwa tae (ko eti duy). Wyo mao feo dokun be yetun Sokoe wyo mao feo li'u be tasbihi jin'y to lazhin.
Surah 3:42 ,          Behold! the angels said: "O Mary! Allah hath chosen thee and purified thee- chosen thee above the women of all nations.,(Wyo mao pa) To lokaci na malaikazhi gan: Ya wyoe Maryamu! Akika Sokoa wyo tsa uma wyo tadzu ucia wyo tsa ta eti yinzagi alittazhio kpata.
Surah 3:43,      "O Mary! worship Thy Lord devoutly: Prostrate thyself and bow down (in prayer) with those who bow down.",Ya wyoe Maryamu! Fe' dakpya ya Tsoci wyoe wyo mao feo jin sujada wyo mao feo lo ruku gan ni be za nazhie lo ruku na.
Surah 3:44 ,                  This is part of the tidings of the things unseen which We reveal unto thee (O Messenger!) by inspiration: Thou wast not with them when they cast lots with arrows as to which of them should be charged with the care of Mary: Nor wast thou with them when they disputed (the point).,Wuncizhi dan mini labari (gaibuzhio) nazhi yi swiswoci na yi ye'jin'u wahyi be ya wyoe wyo ma dan tacin'abo kamina afe ce (kuria) be alkallan yin'azhi eti zana ga'kpa Maryamuo na'a wyo ma dan tacin'abo lokacina a'fe jin husuma na'a.
Surah 3:45    ,               Behold! the angels said: "O Mary! Allah giveth thee glad tidings of a Word from Him: his name will be Christ Jesus the son of Mary held in honour in this world and the Hereafter and of (the company of) those nearest to Allah,Kamina malaikazhi gan: Ya wyoe Maryamu! Akika Sokoe jin wyoe bushara be egan'e dagan eba ubo: sunna'Uyi Masihu Isa egi Maryamueza daraja uyio dan izhe nanao to ekuo umadan mini zanazhi yi za tsonba (Soko) zhi na.
Surah 3:46 ,     "He shall speak to the people in childhood and in maturity. And he shall be (of the company) of the righteous."Uma'afe gan gan be zawangizhi dan bobongi bo'u bo to lokaci na uga zhe gbarufu na uma dan mini za guru Soko zhio.
Surah 3:47 ,                     She said: "O my Lord! How shall I have a son when no man hath touched me" He said: "Even so: Allah createth what He willeth: When He hath decreed a plan He but saith to it ´Be´ and it is!,Ugan: Ya wyoe Tsoci mi! "Ke egia fefe ya mi nao alali ma zawangi ndondo la' lagwa to mi yin' nao" Soko ci gan: Acinga ga Soko'ajin ujin alita yan yanna ga ba u nao Uga hukunci ba eti jinjin yandocio kawanyin wyun dea gan'u gan "A fe" Uci ga'fe.Surah 3:48    "And Allah will teach him the Book and Wisdom the Law and the GospelUma'ala ilimi yan litafi wu'u to hikimazhi to Attaura to Inji'la.
Surah 3:49 ,                                           "And (appoint him) a messenger to the Children of Israel (with this message): "´I have come to you with a Sign from your Lord in that I make for you out of clay as it were the figure of a bird and breathe into it and it becomes a bird by Allah´s leave: And I heal those born blind and the lepers and I quicken the dead by Allah´s leave; and I declare to you what ye eat and what ye store in your houses. Surely therein is a Sign for you if ye did believe,Umau la'afe Tuci lo eba Banu Israilazhi (U gan'uya gan) kede akika mi be yaye be ayae dagan eba Tsoci yebo. Akika mia jin alita yaye dagan egun'o ke kotonci elugi na mi cia be efe fiu uci ga zhe elugi be yeda Sokoe. Mi mae sa batan yan zana ama be yeboe na to batan yan Soko gun'y mi mae dan eyan tsutsuci rayi be yeda Sokoe. Mi ma'yae' labari yannazhi ye'gi na to yan nazhi ye'swo fi emi yezhio na. Akika  mini wuncin'o aya danbo ya ye wun'ayi Muminizhi ye yio na.
Surah 3:50  ,                "´(I have come to you) to attest the Law which was before me. And to make lawful to you part of what was (Before) forbidden to you; I have come to you with a Sign from your Lord. So fear Allah and obey me,Mi mae ya gaskiya be yan nazhi be dan yegboro mi bo mini yan Attaurao na. Mi ma bebe ebo min'la sashi yannazhia la jin haramu yaye na nzhe halalin yaye. Mima be yaye be aya ndociy dagan eba Tsoci yebo. E bo acin'o esundan Soko ye mae fe' gba mi.
Surah 3:51,       "´It is Allah Who is my Lord and your Lord; then worship Him. This is a Way that is straight.´",Akika Soko ga yi Tsoci mi yin'o to Tsoci ye' ebo acin'o ejin bawta ya U. Nana ga yi eko gboro.
Surah 3:52 ,                  When Jesus found Unbelief on their part He said: "Who will be My helpers to (the work of) Allah" Said the disciples: "We are Allah´s helpers: We believe in Allah and do thou bear witness that we are Muslims.,Gancin Lokaci na Isa fe'wo sansan yan kafirinci dagan eba'abo na Ugan: Zi-zhi a fe taimako jin ci mizhi lo eba (etun): Soko Hawarizhi (taimako jinci Annabi Isa zhi) ci gan:Yi gayi za nazhi a jin be Sokoe wyo mao jin 'ri kede yi Musuumi zhi yi yio na.
Surah 3:53  ,      "Our Lord! we believe in what Thou hast revealed and we follow the Messenger; then write us down among those who bear witness.",Ya wyoe Tsoci yi! Yi yia imani jin be yan na Wyo cin beyn na Yima 'mitu Tuci (Wyoe) eboacin'o a yi ka keba be zanazhia eri jin na.
Surah 3:54  ,   And (the unbelievers) plotted and planned and Allah too planned and the best of planners is Allah.,(Kafirizhima)A jin makirinci Soko-otso ma gun bea yin be egagba yan makirinciy Soko ga ma gan'o eba egagba yan makirinci bo.
Surah 3:55      ,                       Behold! Allah said: "O Jesus! I will take thee and raise thee to Myself and clear thee (of the falsehoods) of those who blaspheme; I will make those who follow thee superior to those who reject faith to the Day of Resurrection: Then shall ye all return unto me and I will judge between you of the matters wherein ye dispute,Kamina Soko gan gan: Y`a wyoe Isa! Akika mia go rayi be wyo yin. Mi ma gan wyoe la be eba Mi Mi ma ga wyoe la be eba Mi Mi ma ga wyoe li dagan eba zanazhi jin kafirinci nao Mi ma ga zanazhia mi tu wyo na la'ata eti yan za azhi  jin kafirinci nao har da'fo na ajin Alkiyami na. Gancin ezhe keba ye ma eba Mi bo'u dan'o. mi cia  jin hukunci tsakani yebo mini yannazhi ye fe la'ace dozhi leba na.
Surah 3:56,            "As to those who reject faith I will punish them with terrible agony in this world and in the Hereafter nor will they have anyone to help.",Ammaade zanazhia jin kafirinci na Mia jin'a azaba na gbota na dan mini izheo to ekuo. Amma'ade zanazhia jin'a taimako na'a.
Surah 3:57,          "As to those who believe and work righteousness Allah will pay them (in full) their reward; but Allah loveth not those who do wrong.",Amma'ade zanazhi ga imani jin na aci lo'tun wangizhi na Soko ga laada'ala ya gungunci Soko mae wa za nazhiejin zwalunci na'a.
Surah 3:58,      "This is what we rehearse unto thee of the Signs and the Message of Wisdom.",Wuncin yie gba'ugba ya wyoe dagan mini ayazhio to Tukpa pa na'ashe be hikimae na.
Surah 3:59 ,            The similitude of Jesus before Allah is as that of Adam; He created him from dust then said to him: "Be". And he was,Akika kotonci yan Isa (kendoe Soko jin'u na)eba Soko  uyi ke kotonci yan (alitta) Adama na Soko jin alitu dagan jikanao gancin uci gan'u gan: "A fe"ucia fe acin.
Surah 3:60,      The Truth (comes) from Allah alone; so be not of those who doubt,Gaskiya de ma dagan eba Tsoci wyo bo wun'e fe beo Wyo mao ga'afe dan mini zanazhie jin shakka na ma.
Surah 3:60,      The Truth (comes) from Allah alone; so be not of those who doubt,Gaskiya de ma dagan eba Tsoci wyo bo wun'e fe beo Wyo mao ga'afe dan mini zanazhie jin shakka na ma.Surah 3:61                        If any one disputes in this matter with thee now after (full) knowledge Hath come to thee say: "Come! let us gather together- our sons and your sons our women and your women ourselves and yourselves: Then let us earnestly pray and invoke the curse of Allah on those who lie!"Za na ma ga gbo 'mi be wyo yin mini'ubo na baci yan bayani na be ya wyoe yan ilimi na t  gangan:E dabeyin yi-yi egi yizhi to egi yezhi to yinzagi yizhi to yinzagiyezhi to yitso to yetso gancin yici da kpyi-iya Soko yici ba la'ana Soko'y ta eti ganmana zuncizhio.
Surah 3:62  ,            This is the true account: There is no god except Allah; and Allah-He is indeed the Exalted in Power the Wise,Akika nana gayi etan yan gaskiyao amade Tsoci ndondoa saide Soko. Akika ma Soko gayi Etsu zankpeo U ga mayi Etsu hikimao.
Surah 3:63,     But if they turn back Allah hath full knowledge of those who do mischief,Ama ga bea zuma zheta to akika Soko yi be kpikpe yan za nazhie nyin yan kpata na.
Surah 3:64,                              Say: "O People of the Book! come to common terms as between us and you: That we worship none but Allah; that we associate no partners with him; that we erect not from among ourselves Lords and patrons other than Allah." If then they turn back say ye: "Bear witness that we (at least) are Muslims (bowing to Allah´s Will), Gan gan: Ya ye za ba litafizhi! Edabe yi bey tsun egan nini na mayi nini tsakani yi bo be ye yin na: Yi-ga jin bawta ya zandondo ma saide Soko . Yima'y ga la yandocia pa'u baci ma. Sashi yizhi ma'aga la sashi Tsocizhi ke Soko lugwa ma. Ama ga bea zuma zheta to ye ye gan gan: E jin ri ke de akika yi musulumizhi yi yio na
Surah 3:65,             Ye People of the Book! Why dispute ye about Abraham when the Law and the Gospel Were not revealed Till after him Have ye no understandingYa ye za ba litafizhi ki'ila ye cie gbomi eti Ibrahima bo Ama cin Attaura be Inji'ilae zhin'a sai zuma'ubo kashi ye de ankali dea.
Surah 3:66,                 Ah! Ye are those who fell to disputing (Even) in matters of which ye had some knowledge! but why dispute ye in matters of which ye have no knowledge It is Allah Who knows and ye who know not!,Ye' dan-na ye gbomi dan mini yan na yetso kpe na to ki'ila ye cie gbomi dan mini yan na ye de ilimi wun'a na'yin'o Soko ma yi be kpikpe ye ma kpea.
Surah 3:67,             Abraham was not a Jew nor yet a Christian; but he was true in Faith and bowed his will to Allah´s (Which is Islam) and he joined not gods with Allah,Ibrahimau fe Yahudia Uma fe Nasara' amma'ade wyun'afe eza nae ya pa gaskiyana na'a kpatsun ta ya foro Soko na uma fe dan mini za nazhie la yan pa Soko baci na boa.
Surah 3:68,            Without doubt among men the nearest of kin to Abraham are those who follow him as are also this Prophet and those who believe: And Allah is the Protector of those who have faith,Akika za nazhi gwoyin gan eba tsonbao be Ibrahimuy na agayi za nazhia emi tu'u nao to Annabi (Muhammad) na na to za nazhia imani jin na. Soko ga ma yi Ndakata yan Muminizhio.
Surah 3:69 ,           It is the wish of a section of the People of the Book to lead you astray. But they shall lead astray (Not you) but themselves and they do not perceive!, Jama'a ndocizhi mini zaba Litafizhio ajin guri na'aga ye gbin'na a ma'a gbin zandondo sai de eti'atso ammaa afe zanazhie wo sansan wuncin na'a.
Surah 3:70,       Ye People of the Book! Why reject ye the Signs of Allah of which ye are (Yourselves) witnessesYa ye zaba Litafizhi! Ki-la yecie jin kafirinci be aya Soko zhi yin'o alali ma ye tso jin ri ke gaskiya ayio nao.
Surah 3:71 ,        Ye People of the Book! Why do ye clothe Truth with falsehood and conceal the Truth while ye have knowledgeYa ye zaba Litafizhi! Ki'la ye cie bo gaskiya keba be ganmana yin'o ye cie la ganmana swo yetso ma kpe (ke ganmana uyio nao).
Surah 3:72,               A section of the People of the Book say: "Believe in the morning what is revealed to the believers but reject it at the end of the day; perchance they may (themselves) Turn back,Jama'a ndocizhi mini zaba Litafizhio ci gan: Yea imani jin be yan na acin be ya zanazhia imani jin (be Muhammadui)na 'caba yan yigidiy yemae lae jin kafirinci beu yin zobau yin ujin wo be wuncin'y atsoa dazhin.
