"Lawn, n., Kpèsa.","Leave alone, v., Kégǎṇ.",,
"Lay, v., La cici.","Leave off, v., Ya.",,
"Lay about, n., Langbafati.","Leave moorings, v., Wadan.",,
"Lay egg, v., Wa zhi.","Leech, n., Tuturu.",,
"Layer, n., Kókpegi.","Leech-tub, n., Gbòdo.",,
"Layering, n., Kukókpe.","Leek, n., Lowokpa.",,
"Layman, n., Zàṇà.","Leery, adj.,Santi",,
"Laxative, n., Cigbe forofo.","Lees, n., Rìrǐ.",,
"Lazybones, n., Eza gbwarwa.","Left, adj., n., Gwapin.",,
"Lazy person, n., Komara.","Leftover, n., Jekun.",,
"Lea, n., Kato.","Leg, n., Bici.",,
"Leach, v., Pa.","Legion, n., Kamako.",,
"Leach, n., Dodo.","Leisurely, adv., Gadagbo.",,
"Leach, n., Sásáṇto.","Lemon, n., Lèmǔkuṇ.",,
"Leach pot, n., Gbodo.","Lemon grass, n., Etó lèmǔ.",,
"Lead, n., Èvǎ.","Lend, v., Jin Aro.",,
"Lead (rope), n., Ègbiaṇ.","Lending, n., Arojin.",,
"Lead, v., Shìdzò.","Length (height), n., Kpama.",,
"Leader, n., Edzòshìci.","Length (measure), n., Kpere.",,
"Lead singer, n., Madiwu.","Lengthy, adj., Màkpa.",,
"Leaf, n., Fiṇni.","Legislation, n., Èlògá.",,
"Leaf (maize), n., Fere.","Lens, n., Lówòci.",,
"Leaf (paper), n., Kpege.","Lentil, n., Sungbárági.",,
"Leak, v., Lù.","Leopard, n., Ṇàmpà.",,
"Lean (emaciate), v., adj., Wa.","Leper, n., Sokogunci.",,
"Leprosy, n., Sokogun.","Library, n., Takadaba.",,
"Lesbian, n., Madigo.","Lick, v., Ni; Nimu.",,
"Lesion, n., Tsukpa.","Lid, n., Kperè.",,
"Lest, conj., Kacin a.","Liden, n., Fifinikoci.",,
"Let, v., Lugwa.","Lie, n., Egbo.",,
"Let alone, conj., Bele.","Lie, v., Gbómi.",,
"Lethargic, adj., Lotò.","Lie (recline), n., Yiyaci.",,
"Let’s go, v., Be yida, Bida.","Lie (recline), v., Yaci.",,
"Letter (mail), n., Báritsaká.","Liege, n., Zàtsu; Ezà etsu.",,
"Letter (alphabet), n., Tsakági; Etsa","Life (animal) n., Ena.",,
kági.,"Life (biological) n., Esuṇ.",,
"Letter opener, n., Magán.","Life (spirit), n., Eye.",,
"Lettuce, n., Sanbogi.","Lifeless, adj., Zùṇsuṇ.",,
"Lettuce (water lettuce), n., Gbádá.","Lift, v., Dzú; Dzúfìṇ; Dzú lófìṇ.",,
"Leucoma, n., Yebi.","Lift (up), v., Kekàṇ.",,
"Levee, n., Gàkpàṇ.","Lift, n., Èfìṇdzú.",,
"Level, v., Tafi.","Light, n., òun.",,
"Level, n., Tàràkuṇ.","Light (increase brightness), v., Bia.",,
"Levelled (flat), adj., Tàrà.","Light (illuminate), v., Mana.",,
"Lever, n., Gwalagi.","Light (weightless), adj., Foko.",,
"Levy, n., Nyapa.","Lighten (flash), v., Dzwáṇ.",,
"Lewd, adj., De kunca.","Lighten (reduce weight), v., Kofo.",,
"Lewdness, n., Kunca.","Lighter, n., Edzwangi.",,
"Liar, n., Egbóci.","Lightheaded, adj., Vugavuga.",,
"Libate, v., Làba.","Lighting, n., Dzwàṇgi; Èdzwàṇgi.",,
"Libation, n., Ebala.","Lights, n., Edzwangizhi.",,
"Libator, n., Ebalaci.","Lightning, n., Dzwàṇko; Èdzwàṇko.",,
"Libel, v., Kiàgbà.","Lightning bolt, n., Egbà.",,
"Libel, n., Egbàkià.","Like (love), v., Yébó.",,
"Liberal, adj., Jengi.","Like (pleased), v., Ba.",,
"Liberate, v., Bò; Bòya.","Like, adv., Ke… nạ.",,
"Liberated, adj., Bòyaci.","Like (similar), adj., Dòzhǐ.",,
"Liberation, n., Èbwagi; Èbògi.","Like (love), n., Bǒyé.",,
"Liberator, n., Èbwagici.","Like that, adv., Acinga.",,
"Liberty, n., Èbò.","Like this, adv., Aninga.",,
"Librarian, n., Takadabaci.","Liken, v., Sàṇtátuṇ.",,
"Likeness, n., Sisàṇtátuṇ.","Litter, n.,Nyasan",,
"Liking, n., Bǒyé; Ebóyé.","Little, n., Tetengi",,
"Lily, n., Yàbàgi.","Little finger, n., Egwakatigi.",,
"Lily (red), n., Tàsàbi yàbàgi.","Live, v., Yéyé.",,
"Lily (White), n., Dinkoro.","Live charcoal, n., Ena cikara.",,
"Lima bean, n., Gbambara.","Liver, n., Eye.",,
"Limb, n., Gába.","Livestock, n., Nankpa.",,
"Lime, n., Lèmǔgá.","Living, n., Nagici; Enagici.",,
"Limestone, n., Bulia.","Living thing, n., Nyanagi; Enya",,
"Limit, n., Nugun.",enagi.,,
"Limit, v., Kpan Nugun.","Lizard, n., Nyakuṇ; Nyạkuṇgbárá.",,
"Limp, v., Da dukun.","Load, n., Kàrà.",,
"Limp, n., Dukunda.","Load (Arrange), v., Tá Kàrà.",,
"Limper, n., Dukundaci.","Load (Upload), v., Dinkara.",,
"Limpet, n., Kolú.","Loafer, n., Fàngbalú.",,
"Limping, n., Dukunda.","Loam, n., Ledu.",,
"Line, n., Esùṇ.","Loan, v., La aro.",,
"Lineage, n.,Tanmi; Etanmi","Loan, n., Aro.",,
"Linen, n., Ceyigi.","Loathe, v., Cáfià",,
"Lineup, n., Ekpa.","Loather, n., Efiàcáci.",,
"Linger, v., Tuntilo.","Loathing, n., Efiàcá.",,
"Lingual, adj., Kadi.","Lobby, n., Katamba.",,
"Lintel, n., Cigwazun; Cigban","Lobster, n., Kapin.",,
gwazun.,"Locality, n., Naruba.",,
"Lion, n., Gábá.","Locate, v., Nyako.",,
"Lip, n., Gbemi.","Location, n., Konya.",,
"Liquid, n., Ròro.","Lock, v., Fidạn.",,
"Liquid, adj., Ròrogi.","Lock, n., Fifidạn.",,
"List, v., Bàyé; Bà eyé.","Lock (hair), n., Nyìkáṇ; Enyì èkáṇ.",,
"List, n., Yèbà.","Locust, n., Ebò; Bòrò.",,
"Listen, v.. Shitukpa.","Locust bean, n., Elo kosun.",,
"Listening, n., Tukpashi.","Locust bean tree, n., Lonci.",,
"Lit, v., Ke; Kena.","Locust bean fruit, n., Elo.",,
"Lit, n., Nake.","Locust bean fruit (unripe), n.,",,
"Lithe, adj.,Dzwagwa",Nyangudu.,,
"Lithely, adv., Dzwagwagi.","Locust bean pulp, n., Elé.",,
"Locust fruit pod, n., Elo kpara.","Loose, adj., Gbwa.",,
"Locust fruit powder, n., Busu.","Loosen, v., Tò.",,
"Locust fruit curry, n., Kula.","Lope, v., Bakonya.",,
"Lofty, adj., Gogoro.","Lord, n., Eba.",,
"Lodge, n., Ecinba.","Lord, n., Tsóci.",,
"Log, n., Cigbantun; Etun.","Lore, n., Gbànạ.",,
"Loin, n., Kusu.","Lose, v., Ya; Gbinya.",,
"Loincloth, n., Bènte.","Lose (miss), v., Cinbo.",,
"Loll, v., Tashin.","Lose (business), v., Zunya.",,
"Lollipop, n., Dondokoria.","Loss, n., Gbigbinya; Asara.",,
"Lolly, n.,Aligariwo","Lost (property), v., Ya.",,
"Lollygagger, n.,Bo gi n lele n ci.","Lost (direction), v., Gbinka.",,
"Lone, adj., Kanlo.","Lot (group), n., Dwanyi.",,
"Loneliness, n., Yègbàṇ.","Lot (land), n., Ègò.",,
"Lonely, adj., v., Gbàṇyé.","Loud, adj., Gbogun.",,
"Lonesome, adj., Gbàṇyé.","Loud, n., Gungbo; Egungbo.",,
"Long (things), adj., Duru.","Lounge, v., Yáyé.",,
"Long (articles), adj., Dàrà.","Louse, n., Kokota.",,
"Long (elongated), adj., Gara.","Lout, n., Dzan.",,
"Long (desire), v., Faboye","Love, v., Cin.",,
"Long (in time), v., Ganka.","Love, n., Cincin.",,
"Longer, adj., Yára.","Loveable, adj., Yefaci.",,
"Long-horned beetle, n., Ndako","Loveableness, n., Etimananci.",,
kontoro.,"Love grass, n., Esogi luko.",,
"Longing, n., Marimari","Lovely, adj., bolobolo; bolobologi.",,
"Long-standing, adj., Yakace.","Lover, n., Nyàciṇ.",,
"Loofa, n., Kankani.","Low, adj., Kukunyi.",,
"Look, v., Ciṇlě.","Lower, v., Dá.",,
"Look around, v., Banye; Banye za.","Lower, adj., v., Sama ashi.",,
"Loom, n., Masaka.","Lowering, n., Samashi.",,
"Loom (women’s), n., Ekpa.","Lowland, n., Kinbata.",,
"Loom (the upright one), n., Kpasa.","Lubricious, adj., Cinamia; Cin’a mia.",,
"Loop, n., Tofà.","Lucid, adj., Gbagi.",,
"Loose (untie), v., Lo.","Luck, n., Sa.",,
"Loose (not tight), adj., To.","Lucky, v., De sa.",,
"Loose (grain), n., Wawa.","Ludicrous, n., Shiririta.",,
"Luggage, n., Pokun.",,,
"Lull, v., Vo.",,,
"Lukewarm, adj., Wàgiwàgǐ.",,,
"Lump, adj., n., Kporo.",,,
"Lump (gruel), n., Gbwàlwàgi.",,,
"Lunch, n., Yidu.",,,
"Lunch, v., Gi yidu.",,,
"Lung, n., Yefuka; Eye fuka.",,,
"Lungfish, n., Edan; Edangi.",,,
"Lure, v., Nyamu.",,,
"Lure, n., Munya; Emunya.",,,
"Lust, n., Vunba.",,,
"Lust, v., Bavùṇ.",,,
"Lustrous, adj., Daragi.",,,
"Lute (hunter’s), n., Dùngùrù.",,,
"Lye, n., Gbodo.",,,
"Lye (for dye pit), n., Zanta.",,,
"Lye (wood), n., Swaka.",,,
"Lymph node, n., Kutagi.",,,
"Lymph node (swelling), n., Kodagi.",,,
"Lynx, n., Gaba dzurugi.",,,
M,,,"Maize (a cultivar), n., Liákpiági."
,,,"Major, adj., n., Gbongbo."
"Mace, n., Eman.",,,
,,,"Majority, n., Gbongboci."
"Machete, n., Gada.",,,
,,,"Make, v., Jin."
"Machine, n., Kpantugi; Ekpatugi.",,,
,,,"Make peace, v., Jin giaria."
"Mackerel, n., Demidemigi.",,,
,,,"Make way for, v., Sa; Saya."
"Mad, adj., v., Dzuyila.",,,
,,,"Making, n., Jinjin."
"Madam, n., Nṇǎ.",,,
,,,"Malady, n., Egunko."
"Madman, n., Yilandzuci.",,,
,,,"Malagueta pepper, n., Cutafu."
"Madness, n., Yiladzu.",,,
,,,"Malamute, n., Màlámútìci."
"Magenta, n., Wanyegi.",,,
,,,"Male, n., Ékó."
"Maghrib (Islamic devotions), n.,",,,
,,,"Malevolent, adj., Gbakùn."
,Máṇgárì.,,
,,,"Malign, v., Shi ayibi."
"Magic, n., Enyạṃà.",,,
,,,"Malinger, v., Etunzhici."
"Magic, perform, v., Ṃànyạ.",,,
,,,"Malingerer, n., Etunzhici."
"Magician, n., Enyạṃàci.",,,
,,,"Mallam, n., Malan; Mallam."
"Maggot, n., Konkwania; Kunkwania.",,,
,,,"Mallet, n., Kpokpogi.."
"Magnet, n., Ndǎshîn.",,,
,,,"Malt, n., Dara."
"Magnitude, n., Gbángágbà;",,,
,,,"Mammoth, adj., Dambo."
,Gbángágbàngà.,,
,,,"Mammy, n., Mami."
"Magnify, v., Mà.",,,
,,,"Man (male), n., Bagi."
"Mahdi, n., Màdǐ.",,,
,,,"Man (person), n., Nda."
"Mahogany, n., Wuci.",,,
,,,"Man (human being), n., Zawangi;"
"Maiden, n., Nyạntsu.",,,
,,,Ezawangi.
"Maid of honour, n., Yàwǒ sànci.",,,
,,,"Man (male), n., Zabagi; Eza bagi."
"Mail, v., Gífúfù.",,,
,,,"Manage, v., Lagbe."
"Mail, n., Fúfù.",,,
,,,"Management, n., Gbela; Egbela."
"Mail (armour), n., Wòkpa; Èwò",,,
,,,"Manager, n., Gbelaci; Egbelaci."
,nyạnkpa.,,
,,,"Manatee, n., Enaṇgbakuṇ."
"Mailing, n., Fúfùgí.",,,
,,,"Mandolin, n., Malogi."
"Main, adj., Dundu.",,,
,,,"Mane, n., Rwàrwà."
"Mainly, adv., Dundugi.",,,
,,,"Maneuver, v., Voya."
"Maintain (insist), v., Nyitu.",,,
,,,"Mange, n., Kuru."
"Maintain (sustain), v., Shìgwa.",,,
,,,"Manger, n., Donci doko."
"Maize, n., Kaba.",,,
,,,"Mango, n., Kondo."
"Maize (a cultivar), n., Ejégi.",,,
,,,"Mango (fibrous type), n., Dzarigi."
"Maize (a cultivar), n., Èkpo.",,,
,,107,
"Mango (Pointed type), n., Swarwagi.","Marry (for a divorcee or widow), v.,",,
"Manifest, v., Takpe.",Pa yawo.,,
"Manhood, n., Ètsu.","Marsh, n., Danpa.",,
"Mankind, n., Zankoci.","Marshal, v., Bǎdòkò; Ebá dòkòci.",,
"Manners, n., Ladabi; Ledabi.","Martingale, n., Dangaba.",,
"Manor, n.,Emikoci","Martin, n., Elutanta.",,
"Mansion, n., Epin.","Marvel, v., Jin alajinbi.",,
"Mantis, n., Làvonlàvogi; làvonlàvo.","Marvel, n., Alajinbi.",,
"Mantle (cloak), n, Kàbǐdò.","Mascot, n., Duwa.",,
"Manufacture, v., Tswagwa.","Masculine, adj., Nugba.",,
"Manufacturing, n., Gwatswa.","Mash, v., Bǒ.",,
"Many, adj., Kàṇṃà.","Mashed, adj., Lukpan.",,
"Map, n., Zhepa; Nyizhepa; Nyizhe","Mask, n., Kpátá.",,
para.,"Mask, v., Kan kpátá.",,
"Marabou, n., Gàmàṇdzà; Gàjiṇ.","Mason, n., Lànkpàtáci.",,
"Marbling (meat), n., Musùn.","Masquerade, n., Ndǎkógbòyǎ.",,
"March, v., Lǎbitâ.","Masquerade (a type), n., Mạmạ.",,
"March, n., Bitâlǎ.","Masquerade (a Yoruba type), n.,",,
"Mare, n., Doko yiwo.",Kpàràká.,,
"Margin, n., Emiko.","Mass, n., Mạmạ.",,
"Marijuana, n., Raman.","Mass (religious), n., Bàtsá; Mbà",,
"Mark, n., Etsa.",tsátsá.,,
"Mark, v., Katsa; Ka etsa.","Massage, v., Pànạkàṇ.",,
"Mark (an enemy), v., Na.","Massage, n., Nạkàṇpà.",,
"Market, n., Dzukó.","Masses, n., Zamạmạzhi; Eza",,
"Market, v., Gidzukó.",mạmạzhi.,,
"Marketeer, n., Dzukóci.","Massif, n., Patiko.",,
"Marketer, n., Dzukólóci.","Massive, adj., Gbakara.",,
"Market place, n., Dzukódàn.","Mast, n., Dende.",,
"Marl, n., Èlwàgi; Bulia.","Master, n., Ǹdǎ.",,
"Marriage, n., Yawo.","Master, v., Dàṇ.",,
"Married woman, n., Ròké.","Massy, adj., Gbanti.",,
"Marrow, n., Emu; Emugi","Mat, n., Zogun.",,
"Marry (for a man), v., Jin yawo.","Mat (a large type), n., Mìạmìạ.",,
"Marry (for a woman), v., Lo yawo.","Match (fire stick), n., Nạnsági.",,
,"Match, v., Ma.",,
"Match, n., Mima.","Measured, adv., Miṃàci.",,
"Matchless, adj., Tu.","Measurement, n., Èmàṇ.",,
"Mate, n., Yézùṇ.","Measuring, n., Miṃà.",,
"Mate, v., Tú.","Meat, n., Nạkàṇ.",,
"Material, n., Kpánkpán.","Meat (cooked), n., Eni.",,
"Materialize, v., Jin kpánkpán.","Meat (edible), n., Elu.",,
"Materialism, n., Kpánkpáncijin.","Meat (flesh), n., Èduṇ; Dunu.",,
"Materialistic, adj.,Kpánkpánci.","Meat (raw), n., Edìṇ.",,
"Matron of honour, n., Yàwǒ sàci.","Meat (white meat), n., Nyavun.",,
"Matter, n., Ekpà.","Mecca, n., Mákàṇ.",,
"Mattress, n., Katifa.","Mechanic, n., Kpantugici.",,
"Mature (puberty), v., Gbáṇ.","Mechanical, adj., Kpantutugi.",,
"Mature (fruit, ripe), adj., v., Ko.","Mechanize, v., Tu kpantugi.",,
"Maturity (puberty), n., Gbáṇgbǎṇ.","Mechanism, v., Èkparò.",,
"Maturity (ripeness), n., Kuko.","Medal, n., Kpàndzànà; Nyạnkpa",,
"Maul, n., Etsupata; Etsu tipatagi",dzànà.,,
"Maximum, adj.,Kuye","Meddle, v., Cemidan.",,
"May, mv., Ko.","Mediate, v., Liṇà.",,
"Maybe, adv., Bando.","Mediator, n., Lǐṇà.",,
"Mayor, n., Zhìtsu.","Medical, adj., Gunka.",,
"Me, n., Mi; Èmi.","Medicine, n., Egùṇ. Cf: Herb =",,
"Meager, adj.,Gobogodan.",Cigbe.,,
"Meal, n., Jeko.","Medicine man, n., Egùṇjinci.",,
"Mean (stingy), adj., Kpǎkpǎ.","Medina, n., Madina.",,
"Meander, v., Labà.","Meditate, v, Shidan.",,
"Mean person, n., Egwabaci.","Meditation, n., Edanshi.",,
"Meaning, n., Mana.","Meek, adj., Gbàmi.",,
"Meanwhile, adv., Kanga gancin.","Meekness, n., Emigbà.",,
"Measles, n., Fulu.","Meet (run into), v., Gun.",,
"Measles (informal), n., Dusagi.","Meet (find), v., Tsun.",,
"Measure, n., Èṃà.","Meet (come across), v., Kefi.",,
"Measure, v., Ṃà.","Meet, v., Kebá.",,
"Measure (foodstuff), v., Dá.","Meeting, n., Bǎke; Ebáke.",,
"Measure (clothing), v., Dà.","Meeting (gathering), n., Ekanye.",,
"Measure (weighing machine), n.,","Mellow, adv., Bibi.",,
Mànya.,"Melody, n., Ètò.",,
"Accursed, adj., Nyạmibóci.","Acetazolamide, n.,",,
"Accusation, n., Ebódatú.",Sạnmạrizhìsuṇyìsábá.,,
"Accusative, adj., Bódatúgi.","Acetic, adj., Yìsábági.",,
"Accusatorial, adj., Bódatúgà.","Acetic acid, n., Tsárigi yìsábági.",,
"Accusatory, n., Bódatúgàri.","Acetic anhydride, n., Ràmạnuwạnri",,
"Accuse, v., Dabótú.",yìsábági.,,
"Accused, n., Bódatúci.","Acetify, v., Sàyìsábági.",,
"Accuser, n., Zàbódaci.","Aceto- , prefix, - yìsábá.",,
"Accusing, n., Bódaci.","Acetohexamide, n., Sạnmạritágùṇci",,
"Accustom, vt., Páyé.",yìsábá.,,
"Accustomed, adj., Páyéci.","Acetone, n., Yìsábányạ.",,
"Ace, n., Túnnígi; Etú niní.","Acetone body, n., Kámàṇ yìsábányạ.",,
"Acebutolol, n., Míkònìsábá.","Acetyl, n., Yìsábári.",,
"Acellular, n., Kiáwuṇcinboci.","Acetyl Coezyme A, n., Nímbǒbà A",,
"Acentric, adj., Ràtàciṇ.",Yìsábári.,,
"Acepahlous, adj., Ràtí.","Acetylate, v., Bayìsábá",,
"Acequia, n., Jèyé.","Acetylcholine, n., Gàrigiyìsábári.",,
"Acequia madre, n., Jèyé Nnǎkuṇ.","Acetylcholinesterase, n.,",,
"Acer, n.,",Gàrigiyìsábárikòci.,,
"Acerb, adj., Wukù.","Acetylene, n., Yìsábági.",,
"Acerbate, v., Gíkùwu.","Acetylide, n., Yìsábágici.",,
"Acerbation, n., Kùwugí.","Acey-deucy, n., Túnnígi bàgǐgi.",,
"Acerbic, adj., Wukùgi.","Ach! Interj., Nhún!",,
"Acerbity, n., Ekùwu.","ACH, n., É si ecì.",,
"Acervulus, n., Kìtìrì.","Acha, n., Suru.",,
"Acet- , prefix, - yìsábá.","Achaea, n., Akáyíyà.",,
"Acetabulum, n., Kùṇkodo;","Achaean, n., Akáyíyàci.",,
Tsúkùṇkodo.,"Achaemenid, n., Akáménici.",,
"Acetal, n., Yìsábáge; Yìsábági ege.","Achalasia, n., Ràfávùn.",,
"Acetaldehyde, n., Geràsábá;","Achar, n., Aká.",,
Geràmạnu yìsábá.,"Acharya, n., Akáriyá.",,
"Acetamide, n., Sạnmạriyìsábá.","Achcha! Interj., Úhǔn!",,
"Acetaminophen, n., Geyésạnmạgà","Ache (body), v., Tán.",,
yìsábá.,"Ache (head), v., Sáṇ.",,
"Acetanilide, n., Zhìshígiciyìsábári.","Achene, n., Ràkpégi.",,
"Acetate, n., Yìsábákùn.","Acheron, n., Akironi.",,
"Melon, n., Eshí.","Metre, n., Dǎmugi; Ndǎ mugi.",,
"Melon (seed), n., Epingi.","Metres, two, n., Bari.",,
"Melon (sweet), n., Paragi.","Miasma, n., Girigizhi.",,
"Melon (water), n., Kadan gbani.","Mica, n., Dàṇdǎ.",,
"Melon seed, n., Epingi.","Michael, n., Minkayilà.",,
"Melt, v., Zun.","Microbe, n., Enagi.",,
"Member (thing), n., Bagungi.","Micturate, v., Va vidinni.",,
"Member (person), n., Bagunci.","Midday, n., Yigidi ti tacin.",,
"Memorize, v., Pagbàṇ.","Middle, n., Gandan.",,
"Memory, n.,Egbàṇpa.","Middleman, n., Baranda.",,
"Ménage, n., Efako.","Midget, n., Liàliǎ.",,
"Mend, v., Yegǎ.","Midnight, n., Sàdù.",,
"Mendicant, n., Lukpa.","Might (may), v., Wunjin wo.",,
"Menial, adj., Fenugi.","Might (power), n., Ewò.",,
"Menial, n., Fenu.","Mighty (powerful), n., Wógbo.",,
"Menses, n., Shikan.","Migraine, n., Nyaká.",,
"Menstruation, n., Nàzhí.","Mild, adj., Langi.",,
"Mention, v., Tuṇye.","Mild (medicine), adj., Tiá.",,
"Mentor, n., Tswana.","Mildew, n., Rufuku.",,
"Mercenary, n., Ègùṇ.","Mildew, v., Kurufu.",,
"Merchant, n., Kodagba.","Mile, n., Kpózàṇ.",,
"Merchant prince, n., Madugu.","Military, n., Gunkama; Egunkama.",,
